fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;medicamento;0000076899;12;;SIGMA PHARMA;ZAARPRESS 100MG 15CPDS;;;;;;;;;;;;;;2.953;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000084885;12;;SIGMA PHARMA;ZAARPRESS 100MG 2X15CPDS;;;;;;;;;;;;;;2.503;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000076897;12;;SIGMA PHARMA;ZAARPRESS 25MG 30CPDS REV.;;;;;;;;;;;;;;1.025;SIMPRO_VIG;2017-04-01;20;
SIMPRO;2026-04-12;medicamento;0000076898;12;;SIGMA PHARMA;ZAARPRESS 50MG 30CPDS REV.;;;;;;;;;;;;;;1.778;SIMPRO_VIG;2017-04-01;20;
SIMPRO;2026-04-12;medicamento;0000138300;12;;SIGMA PHARMA;ZAARPRESS HCT 100+25MG 3X10CPDS REV.;;;;;;;;;;;;;;2.07;SIMPRO_VIG;2015-04-01;20;
SIMPRO;2026-04-12;medicamento;0000138299;12;;SIGMA PHARMA;ZAARPRESS HCT 50+12,5MG 30CPDS REV.;;;;;;;;;;;;;;1.48;SIMPRO_VIG;2017-04-01;20;
SIMPRO;2026-04-12;medicamento;0000281860;12;;ZODIAC;ZABRUX 100MG 5CAPS;;;;;;;;;;;;;;887.408;SIMPRO_VIG;2021-04-06;20;
SIMPRO;2026-04-12;medicamento;0000281861;12;;ZODIAC;ZABRUX 20MG 5CAPS;;;;;;;;;;;;;;177.48;SIMPRO_VIG;2021-04-06;20;
SIMPRO;2026-04-12;medicamento;0000281862;12;;ZODIAC;ZABRUX 250MG 5CAPS;;;;;;;;;;;;;;2174.172;SIMPRO_VIG;2021-04-06;20;
SIMPRO;2026-04-12;medicamento;0000099699;12;;UCI-FARMA;ZADINE 75MG 10CPDS;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-07-06;20;
SIMPRO;2026-04-12;medicamento;0000099701;12;;UCI-FARMA;ZADINE 75MG 200CPDS;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-07-06;20;
SIMPRO;2026-04-12;medicamento;0000077999;12;;NOVARTIS;ZADITEN 0,25MG COL.5ML;;;;;;;;;;;;;;31.57;SIMPRO_VIG;2014-04-09;20;
SIMPRO;2026-04-12;medicamento;0000253728;12;;VALEANT;ZADITEN 0,276MG/ML XPE.120ML;;;;;;;;;;;;;;0.594;SIMPRO_VIG;2016-09-20;20;
SIMPRO;2026-04-12;medicamento;0000253726;12;;VALEANT;ZADITEN 0,345MG/ML SOL.OFT.10ML;;;;;;;;;;;;;;7.456;SIMPRO_VIG;2016-09-20;20;
SIMPRO;2026-04-12;medicamento;0000253727;12;;VALEANT;ZADITEN 1,375MG/ML SOL.OFT.30ML;;;;;;;;;;;;;;8.669;SIMPRO_VIG;2016-09-20;20;
SIMPRO;2026-04-12;medicamento;0000253725;12;;VALEANT;ZADITEN 1,38MG 20CPDS;;;;;;;;;;;;;;2.988;SIMPRO_VIG;2016-09-20;20;
SIMPRO;2026-04-12;medicamento;0000285342;12;;SANOFI MEDLEY;ZALTRAP 25MG/ML SOL.DIL.INFUS.1FA 4ML;;;;;;;;;;;;;;1782.18;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000285343;12;;SANOFI MEDLEY;ZALTRAP 25MG/ML SOL.DIL.INFUS.1FA 8ML;;;;;;;;;;;;;;3564.4;SIMPRO_VIG;2025-04-01;20;
SIMPRO;2026-04-12;medicamento;0000106290;12;;AMGEN;ZAMADOL 100MG/2ML 50AMP 2ML;;;;;;;;;;;;;;5.792;SIMPRO_VIG;2011-03-31;20;
SIMPRO;2026-04-12;medicamento;0000094377;12;;BERGAMO;ZAMADOL 100MG/2ML 6AMP 2ML;;;;;;;;;;;;;;6.303;SIMPRO_VIG;2010-11-19;20;
