fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;reagente;0000150186;12;;D.G.L;ACIDO ACETICO 20% 1000ML;;;;;;;;;;;;;;0.116;SIMPRO_VIG;2010-11-04;19;
SIMPRO;2026-04-12;reagente;0000134435;12;;D.G.L;ACIDO ACETICO 30% 1000ML;;;;;;;;;;;;;;0.013;SIMPRO_VIG;2010-11-04;19;
SIMPRO;2026-04-12;reagente;0000129586;12;;D.G.L;ACIDO ACETICO GLACIAL 1KG;;;;;;;;;;;;;;7.2;SIMPRO_VIG;2008-06-09;19;
SIMPRO;2026-04-12;reagente;0001905050;12;;D.G.L;ACIDO BORICO 1000GRS;;;;;;;;;;;;;;0.01;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;reagente;0000129587;12;;D.G.L;ACIDO CLORIDRICO P.A. 1KG;;;;;;;;;;;;;;3.4;SIMPRO_VIG;2008-06-09;19;
SIMPRO;2026-04-12;reagente;0001905051;12;;D.G.L;ACIDO CLORIDRICO P.A.1000ML;;;;;;;;;;;;;;0.022;SIMPRO_VIG;2009-01-21;19;
SIMPRO;2026-04-12;reagente;0001905052;12;;D.G.L;ACIDO FENICO 1000GRS;;;;;;;;;;;;;;0.042;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;reagente;0000004683;12;;D.G.L;ACIDO MURIATICO 1000ML;;;;;;;;;;;;;;0.006;SIMPRO_VIG;2009-01-21;19;
SIMPRO;2026-04-12;reagente;0000129588;12;;D.G.L;ACIDO MURIATICO 1KG;;;;;;;;;;;;;;2.2;SIMPRO_VIG;2008-06-09;19;
SIMPRO;2026-04-12;reagente;0000004686;12;;D.G.L;ACIDO OXALICO 1000GRS;;;;;;;;;;;;;;0.018;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;reagente;0000004691;12;;D.G.L;ACIDO SULFURICO P.A.1000ML;;;;;;;;;;;;;;0.045;SIMPRO_VIG;2009-01-21;19;
SIMPRO;2026-04-12;reagente;0001905055;12;;D.G.L;AGUA DEIONIZADA 1000ML;;;;;;;;;;;;;;0.002;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;reagente;0001905056;12;;D.G.L;AGUA DEIONIZADA 5000ML;;;;;;;;;;;;;;0.001;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;reagente;0000015414;12;;ICAR;AGUA DESMINERALIZADA 15LTS;;;;;;;;;;;;;;0.002;SIMPRO_VIG;2009-05-26;19;
SIMPRO;2026-04-12;reagente;0000015415;12;;ICAR;AGUA DESMINERALIZADA 6LTS;;;;;;;;;;;;;;0.002;SIMPRO_VIG;2009-05-26;19;
SIMPRO;2026-04-12;reagente;0001905057;12;;D.G.L;AGUA FENICADA 1000ML;;;;;;;;;;;;;;0.004;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;reagente;0000134437;12;;D.G.L;ALCOOL ABSOLUTO 99,5% 5000ML;;;;;;;;;;;;;;0.005;SIMPRO_VIG;2011-02-23;19;
SIMPRO;2026-04-12;reagente;0000068534;12;;RIOQUIMICA;ALCOOL ABSOLUTO 99,5GRAUS 1000ML 0050;;;;;;;;;;;;;;0.009;SIMPRO_VIG;2009-05-05;19;
SIMPRO;2026-04-12;reagente;0006260039;12;;RIOQUIMICA;ALCOOL ETILICO 96GRAUS GLIC.1000ML 0052;;;;;;;;;;;;;;0.012;SIMPRO_VIG;2011-09-02;19;
SIMPRO;2026-04-12;reagente;0001905067;12;;D.G.L;ALCOOL METILICO P.A.1000ML;;;;;;;;;;;;;;0.016;SIMPRO_VIG;2005-01-21;19;
SIMPRO;2026-04-12;reagente;0000004729;12;;D.G.L;AMONIACO 1000ML;;;;;;;;;;;;;;0.007;SIMPRO_VIG;2003-01-15;19;
SIMPRO;2026-04-12;reagente;0003555021;12;;ICAR;AMONIACO 1000ML;;;;;;;;;;;;;;0.01;SIMPRO_VIG;2004-04-14;19;
SIMPRO;2026-04-12;reagente;0006260045;12;;RIOQUIMICA;AMONIACO 100ML 0064;;;;;;;;;;;;;;0.02;SIMPRO_VIG;2015-01-13;19;
