fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000004662;12;;D.G.L;ACIDO ACETICO 2% 1000ML;;;;;;;;;;;;;;0.008;SIMPRO_VIG;2012-01-16;19;
SIMPRO;2026-04-12;saneante;0005165011;12;;MIYAKO;ACIDO ACETICO 2% 1000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121331;12;;MIYAKO;ACIDO ACETICO 2% 5000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121332;12;;MIYAKO;ACIDO ACETICO 2% AZUL 5000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121347;12;;MIYAKO;ACIDO ACETICO 20% 1000ML;;;;;;;;;;;;;;0.007;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121348;12;;MIYAKO;ACIDO ACETICO 20% 5000ML;;;;;;;;;;;;;;0.007;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000150187;12;;D.G.L;ACIDO ACETICO 20% 5000ML;;;;;;;;;;;;;;0.012;SIMPRO_VIG;2012-01-16;19;
SIMPRO;2026-04-12;saneante;0000121349;12;;MIYAKO;ACIDO ACETICO 20% AZUL 5000ML;;;;;;;;;;;;;;0.007;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121352;12;;MIYAKO;ACIDO ACETICO 20% BOMB.200LTS;;;;;;;;;;;;;;6.371;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121350;12;;MIYAKO;ACIDO ACETICO 20% BOMB.20LTS;;;;;;;;;;;;;;6.629;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121351;12;;MIYAKO;ACIDO ACETICO 20% BOMB.50LTS;;;;;;;;;;;;;;6.495;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000298319;12;;CONCEITOS MEDICAL;ACIDO ACETICO 20% DESINCRUSTANTE 1000ML;;;;;;;;;;;;;;0.077;SIMPRO_VIG;2018-05-08;19;
SIMPRO;2026-04-12;saneante;0000121358;12;;MIYAKO;ACIDO ACETICO 30% 1000ML;;;;;;;;;;;;;;0.008;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121357;12;;MIYAKO;ACIDO ACETICO 30% 5000ML;;;;;;;;;;;;;;0.007;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000134436;12;;D.G.L;ACIDO ACETICO 30% 5000ML;;;;;;;;;;;;;;0.013;SIMPRO_VIG;2012-01-16;19;
SIMPRO;2026-04-12;saneante;0000121356;12;;MIYAKO;ACIDO ACETICO 30% AZUL 5000ML;;;;;;;;;;;;;;0.007;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121353;12;;MIYAKO;ACIDO ACETICO 30% BOMB.200LTS;;;;;;;;;;;;;;6.777;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121355;12;;MIYAKO;ACIDO ACETICO 30% BOMB.20LTS;;;;;;;;;;;;;;7.052;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121354;12;;MIYAKO;ACIDO ACETICO 30% BOMB.50LTS;;;;;;;;;;;;;;6.91;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000004666;12;;D.G.L;ACIDO ACETICO 5% 1000ML;;;;;;;;;;;;;;0.011;SIMPRO_VIG;2012-01-16;19;
SIMPRO;2026-04-12;saneante;0005165012;12;;MIYAKO;ACIDO ACETICO 5% 1000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000004667;12;;D.G.L;ACIDO ACETICO 5% 5000ML;;;;;;;;;;;;;;0.01;SIMPRO_VIG;2012-01-16;19;
SIMPRO;2026-04-12;saneante;0000121343;12;;MIYAKO;ACIDO ACETICO 5% AZUL 5000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121346;12;;MIYAKO;ACIDO ACETICO 5% BOMB.200LTS;;;;;;;;;;;;;;2.928;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121344;12;;MIYAKO;ACIDO ACETICO 5% BOMB.20LTS;;;;;;;;;;;;;;3.046;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121345;12;;MIYAKO;ACIDO ACETICO 5% BOMB.50LTS;;;;;;;;;;;;;;2.985;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0001905049;12;;D.G.L;ACIDO ACETICO GLACIAL 1000ML;;;;;;;;;;;;;;0.015;SIMPRO_VIG;2012-01-16;19;
SIMPRO;2026-04-12;saneante;0000004673;12;;D.G.L;ACIDO ACETICO GLACIAL 5000ML;;;;;;;;;;;;;;0.013;SIMPRO_VIG;2009-08-24;19;
SIMPRO;2026-04-12;saneante;0000121360;12;;MIYAKO;ACIDO ACETICO GLACIAL 99,5% 5000ML;;;;;;;;;;;;;;0.014;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121361;12;;MIYAKO;ACIDO ACETICO GLACIAL 99,5% AZUL 5000ML;;;;;;;;;;;;;;0.013;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121364;12;;MIYAKO;ACIDO ACETICO GLACIAL 99,5% BOMB.200LTS;;;;;;;;;;;;;;12.809;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121362;12;;MIYAKO;ACIDO ACETICO GLACIAL 99,5% BOMB.20LTS;;;;;;;;;;;;;;13.329;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121363;12;;MIYAKO;ACIDO ACETICO GLACIAL 99,5% BOMB.50LTS;;;;;;;;;;;;;;13.059;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000121359;12;;MIYAKO;ACIDO ACETICO GLACIAL 99,5% PLAST.1000ML;;;;;;;;;;;;;;0.015;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0005165013;12;;MIYAKO;ACIDO ACETICO GLACIAL 99,5% VD.1000ML;;;;;;;;;;;;;;0.016;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000249262;12;;D.G.L;ACIDO CITRICO 20% CITREX 1000ML;;;;;;;;;;;;;;7.8;SIMPRO_VIG;2015-04-06;19;
SIMPRO;2026-04-12;saneante;0000249263;12;;D.G.L;ACIDO CITRICO 20% CITREX 5000ML;;;;;;;;;;;;;;35;SIMPRO_VIG;2015-04-06;19;
SIMPRO;2026-04-12;saneante;0000249265;12;;D.G.L;ACIDO CITRICO 40% CITREX 1000ML;;;;;;;;;;;;;;0.01;SIMPRO_VIG;2015-04-06;19;
SIMPRO;2026-04-12;saneante;0000249266;12;;D.G.L;ACIDO CITRICO 40% CITREX 5000ML;;;;;;;;;;;;;;46;SIMPRO_VIG;2015-04-06;19;
