fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000325636;12;;BRASQUIMICA;BASE SELADORA P/NIVELAR DIVERSOS TP.PISOS PREST SELADOR 5LT;;;;;;;;;;;;;;0.035;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000283421;12;;TAUROVITA;BELL CITRIC 50 ACIDO CITRICO 50% DESINCRUSTANTE P/MAQUINA HEMODIALISE 5LT;;;;;;;;;;;;;;495;SIMPRO_VIG;2017-03-14;19;
SIMPRO;2026-04-12;saneante;0005165041;12;;MIYAKO;BENZINA RETIFICADA 1000ML;;;;;;;;;;;;;;0.01;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000070572;12;;MIYAKO;BENZINA RETIFICADA 100ML;;;;;;;;;;;;;;0.019;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0005165042;12;;MIYAKO;BENZINA RETIFICADA ESPECIAL 1000ML;;;;;;;;;;;;;;0.01;SIMPRO_VIG;2012-01-13;19;
SIMPRO;2026-04-12;saneante;0000130508;12;;EUROFARMA-SEG;BIO ENZIM 3 PLUS 1000ML;;;;;;;;;;;;;;44.27;SIMPRO_VIG;2012-01-20;19;
SIMPRO;2026-04-12;saneante;0000130509;12;;EUROFARMA-SEG;BIO ENZIM 3 PLUS 5000ML;;;;;;;;;;;;;;113.75;SIMPRO_VIG;2012-01-20;19;
SIMPRO;2026-04-12;saneante;0000145490;12;;EUROFARMA-SEG;BIO ENZIM 4 1000ML;;;;;;;;;;;;;;53.9;SIMPRO_VIG;2012-01-20;19;
SIMPRO;2026-04-12;saneante;0000145491;12;;EUROFARMA-SEG;BIO ENZIM 4 5000ML;;;;;;;;;;;;;;150;SIMPRO_VIG;2012-01-20;19;
SIMPRO;2026-04-12;saneante;0000178920;12;;CICLO FARMA;BM CICLO ALCOOL ANIDRO 99,3° FR 1000ML;;;;;;;;;;;;;;7.45;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178921;12;;CICLO FARMA;BM CICLO ALCOOL ANIDRO 99,3° GL 5000ML;;;;;;;;;;;;;;33.1;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178918;12;;CICLO FARMA;BM CICLO ALCOOL HIDRATADO 96° FR 1000ML;;;;;;;;;;;;;;6.55;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178919;12;;CICLO FARMA;BM CICLO ALCOOL HIDRATADO 96° GL 5000ML;;;;;;;;;;;;;;28.5;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178898;12;;CICLO FARMA;BM CICLO HOSPITALAR 70°GL FR 1000ML;;;;;;;;;;;;;;3.9;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178899;12;;CICLO FARMA;BM CICLO HOSPITALAR 70°GL GL 5000ML;;;;;;;;;;;;;;19;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178902;12;;CICLO FARMA;BM CICLO HOSPITALAR 70INPM ALMOT.100ML;;;;;;;;;;;;;;1.25;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178900;12;;CICLO FARMA;BM CICLO HOSPITALAR 70INPM FR 1000ML;;;;;;;;;;;;;;4.05;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178901;12;;CICLO FARMA;BM CICLO HOSPITALAR 70INPM GL 5000ML;;;;;;;;;;;;;;20;SIMPRO_VIG;2013-07-17;19;
