fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000283438;12;;TAUROVITA;CERA ACRILICA LIQUIDA PRONTO USO P/PISO 20LT;;;;;;;;;;;;;;3360;SIMPRO_VIG;2017-03-14;19;
SIMPRO;2026-04-12;saneante;0000283437;12;;TAUROVITA;CERA ACRILICA LIQUIDA PRONTO USO P/PISO 5LT;;;;;;;;;;;;;;840;SIMPRO_VIG;2017-03-14;19;
SIMPRO;2026-04-12;saneante;0000325638;12;;BRASQUIMICA;CERA LIQUIDA ACRILICA AUTO BRILHO P/DIVERSOS TP.PISOS PREST C 5LT;;;;;;;;;;;;;;0.019;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000325639;12;;BRASQUIMICA;CERA LIQUIDA CARNAUBA P/VIVERSOS TP.PISOS ORK POLIMENTAVEL 5LT;;;;;;;;;;;;;;0.013;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000178893;12;;CICLO FARMA;CICLO BAKARIS FR 1000ML;;;;;;;;;;;;;;5.5;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178894;12;;CICLO FARMA;CICLO BAKARIS GL 5000ML;;;;;;;;;;;;;;25.65;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178895;12;;CICLO FARMA;CICLO BIO GEL ALMOT.100ML;;;;;;;;;;;;;;2.25;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178896;12;;CICLO FARMA;CICLO BIO GEL FR 1000ML;;;;;;;;;;;;;;6.6;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178897;12;;CICLO FARMA;CICLO BIO GEL FR 5000ML;;;;;;;;;;;;;;31.8;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178905;12;;CICLO FARMA;CICLO CLORO 2,5% FR 1000ML;;;;;;;;;;;;;;2.16;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178906;12;;CICLO FARMA;CICLO CLORO 2,5% GL 5000ML;;;;;;;;;;;;;;8.87;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178903;12;;CICLO FARMA;CICLO CLORO+ 1% FR 1000ML;;;;;;;;;;;;;;1.65;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178904;12;;CICLO FARMA;CICLO CLORO+ 1% GL 5000ML;;;;;;;;;;;;;;6.7;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178907;12;;CICLO FARMA;CICLO GEL 70 ALMOT.100ML;;;;;;;;;;;;;;1.44;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178908;12;;CICLO FARMA;CICLO GEL 70 FR 1000ML;;;;;;;;;;;;;;4.78;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178909;12;;CICLO FARMA;CICLO GEL 70 GL 5000ML;;;;;;;;;;;;;;23;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178912;12;;CICLO FARMA;CICLO NEUTRO FR 1000ML;;;;;;;;;;;;;;3.1;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178913;12;;CICLO FARMA;CICLO NEUTRO GL 5000ML;;;;;;;;;;;;;;13.7;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178910;12;;CICLO FARMA;CICLO ZYME EXTRA 4ENZIMAS FR 1000ML;;;;;;;;;;;;;;21;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178911;12;;CICLO FARMA;CICLO ZYME EXTRA 4ENZIMAS GL 5000ML;;;;;;;;;;;;;;100.83;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000054446;12;;JP;CLEAN CART A TUBO;;;;;;;;;;;;;;20;SIMPRO_VIG;2013-05-08;19;
SIMPRO;2026-04-12;saneante;0000054447;12;;JP;CLEAN CART C TUBO;;;;;;;;;;;;;;21;SIMPRO_VIG;2013-05-08;19;
SIMPRO;2026-04-12;saneante;0000354693;12;;SEVEN GREEN;CLEANNER GEL ALCOOL ETILICO 70% 4UN 5LT 9384;;;;;;;;;;;;;;56.7;SIMPRO_VIG;2024-08-27;19;
SIMPRO;2026-04-12;saneante;0000129609;12;;D.ARAUJO;CLORETO SODIO USP.25KG;;;;;;;;;;;;;;0.067;SIMPRO_VIG;2011-03-10;19;
SIMPRO;2026-04-12;saneante;0000256199;12;;D.G.L;CLORO ATIVO 2,5% 50ML;;;;;;;;;;;;;;0.024;SIMPRO_VIG;2015-04-06;19;
SIMPRO;2026-04-12;saneante;0000150195;12;;D.G.L;CLORO ATIVO 2,5% DESINF.P/FORTIFRUTICOLA 1000ML;;;;;;;;;;;;;;3.8;SIMPRO_VIG;2015-04-06;19;
SIMPRO;2026-04-12;saneante;0000150194;12;;D.G.L;CLORO ATIVO 2,5% DESINF.P/FORTIFRUTICOLA 100ML;;;;;;;;;;;;;;0.015;SIMPRO_VIG;2015-04-06;19;
SIMPRO;2026-04-12;saneante;0000150196;12;;D.G.L;CLORO ATIVO 2,5% DESINF.P/FORTIFRUTICOLA 5000ML;;;;;;;;;;;;;;12.8;SIMPRO_VIG;2015-04-06;19;
SIMPRO;2026-04-12;saneante;0000251853;12;;RIOQUIMICA;CLORO RIO PASTILHA 25PAST.5G;;;;;;;;;;;;;;19.76;SIMPRO_VIG;2018-04-03;19;
SIMPRO;2026-04-12;saneante;0000245425;12;;RIOQUIMICA;CLORO RIO PASTILHA 75PAST.1G;;;;;;;;;;;;;;4.333;SIMPRO_VIG;2018-04-03;19;
SIMPRO;2026-04-12;saneante;0000169686;12;;VIC PHARMA;CLORO VIC 1% (HIPOCLORITO 1%)1000ML;;;;;;;;;;;;;;0.028;SIMPRO_VIG;2024-11-19;19;
SIMPRO;2026-04-12;saneante;0000169687;12;;VIC PHARMA;CLORO VIC 1%(HIPOCLORITO 1%)5000ML;;;;;;;;;;;;;;0.025;SIMPRO_VIG;2024-11-19;19;
SIMPRO;2026-04-12;saneante;0000266526;12;;RIOQUIMICA;CLORO-RIO 2,5% 1000ML 0142;;;;;;;;;;;;;;0.01;SIMPRO_VIG;2016-01-13;19;
SIMPRO;2026-04-12;saneante;0006260078;12;;RIOQUIMICA;CLORO-RIO 2,5% 100ML 0022;;;;;;;;;;;;;;0.023;SIMPRO_VIG;2011-09-02;19;
SIMPRO;2026-04-12;saneante;0006260079;12;;RIOQUIMICA;CLORO-RIO 2,5% 30ML 0023;;;;;;;;;;;;;;0.061;SIMPRO_VIG;2011-09-02;19;
SIMPRO;2026-04-12;saneante;0000266527;12;;RIOQUIMICA;CLORO-RIO 2,5% 5000ML 0143;;;;;;;;;;;;;;0.007;SIMPRO_VIG;2016-01-13;19;
SIMPRO;2026-04-12;saneante;0000016915;12;;RIOQUIMICA;CLORO-RIO 2,5% 50ML 0318;;;;;;;;;;;;;;0.041;SIMPRO_VIG;2011-09-02;19;
SIMPRO;2026-04-12;saneante;0000354694;12;;SEVEN GREEN;CLOROCLEAN 1 HIPOCLORITO 1% 4UN 5LT 9413;;;;;;;;;;;;;;13.37;SIMPRO_VIG;2024-08-27;19;
SIMPRO;2026-04-12;saneante;0000145485;12;;EUROFARMA;CLOROLABOR 1,0% 1000ML;;;;;;;;;;;;;;0.004;SIMPRO_VIG;2012-07-20;19;
SIMPRO;2026-04-12;saneante;0000145487;12;;EUROFARMA;CLOROLABOR 1,0% 5000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2012-07-20;19;
SIMPRO;2026-04-12;saneante;0000130510;12;;EUROFARMA-SEG;CLOROLABOR 1,3% 5000ML;;;;;;;;;;;;;;0.002;SIMPRO_VIG;2009-03-10;19;
SIMPRO;2026-04-12;saneante;0000145488;12;;EUROFARMA;CLOROLABOR 2,5% 1000ML;;;;;;;;;;;;;;0.005;SIMPRO_VIG;2012-07-20;19;
SIMPRO;2026-04-12;saneante;0000145489;12;;EUROFARMA;CLOROLABOR 2,5% 5000ML;;;;;;;;;;;;;;0.004;SIMPRO_VIG;2012-07-20;19;
