fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000108850;12;;FBM;D-CROST 1KG;;;;;;;;;;;;;;25;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000108852;12;;FBM;D-CROST 5KG;;;;;;;;;;;;;;18.54;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000325633;12;;BRASQUIMICA;DESENGRAXANTE ALCALINO P/BANCADAS PAREDES EQUIPAMENTOS COZINHA BRAS SOLV 200 5LT;;;;;;;;;;;;;;0.019;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000325596;12;;BRASQUIMICA;DESENGRAXANTE DESENGORDURANTE P/REMOCAO DIVERSOS TP.MANCHAS LAVANDERIA BRAS SOLV 5LT;;;;;;;;;;;;;;0.074;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000166510;12;;RIOQUIMICA;DESINFETANTE ALTO NIVEL PERAX RIO 0,2% 1LT.;;;;;;;;;;;;;;0.143;SIMPRO_VIG;2020-04-07;19;
SIMPRO;2026-04-12;saneante;0000166511;12;;RIOQUIMICA;DESINFETANTE ALTO NIVEL PERAX RIO 0,2% 5LT.;;;;;;;;;;;;;;0.105;SIMPRO_VIG;2020-04-07;19;
SIMPRO;2026-04-12;saneante;0000332907;12;;RIOQUIMICA;DESINFETANTE ALTO NIVEL PERAX RIO 0,2% PRONTO USO 1LT.;;;;;;;;;;;;;;160.54;SIMPRO_VIG;2022-06-22;19;
SIMPRO;2026-04-12;saneante;0000325361;12;;RIOQUIMICA;DESINFETANTE ALTO NIVEL PERAX RIO 0,2% PRONTO USO 1LT. 12FR;;;;;;;;;;;;;;13.378;SIMPRO_VIG;2022-05-10;19;
SIMPRO;2026-04-12;saneante;0000332908;12;;RIOQUIMICA;DESINFETANTE ALTO NIVEL PERAX RIO 0,2% PRONTO USO 5LT.;;;;;;;;;;;;;;574.54;SIMPRO_VIG;2022-06-22;19;
SIMPRO;2026-04-12;saneante;0000325362;12;;RIOQUIMICA;DESINFETANTE ALTO NIVEL PERAX RIO 0,2% PRONTO USO 5LT. 4GL;;;;;;;;;;;;;;143.635;SIMPRO_VIG;2022-05-10;19;
