fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000108856;12;;FBM;E-GLUT 14 1LT;;;;;;;;;;;;;;0.004;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000108857;12;;FBM;E-GLUT 14 5LT;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000108858;12;;FBM;E-GLUT 28 1LT;;;;;;;;;;;;;;0.005;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000108859;12;;FBM;E-GLUT 28 5LT;;;;;;;;;;;;;;0.004;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000337984;12;;VIC PHARMA;ENZIMA POWER 1000ML;;;;;;;;;;;;;;0.202;SIMPRO_VIG;2024-11-19;19;
SIMPRO;2026-04-12;saneante;0000337985;12;;VIC PHARMA;ENZIMA POWER 5000ML;;;;;;;;;;;;;;0.182;SIMPRO_VIG;2024-11-19;19;
SIMPRO;2026-04-12;saneante;0000307386;12;;COSMODERMA;ESTERELIZANTE EXCLUSIVO P/PROCESSAMENTO DIALISADORA HEMOPERAC 35 5000ML;;;;;;;;;;;;;;0.06;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;saneante;0000308728;12;;COSMODERMA;ESTERELIZANTE EXCLUSIVO P/PROCESSAMENTO DIALISADORA HEMOPERAC 50 5000ML;;;;;;;;;;;;;;0.067;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;saneante;0000042467;12;;LIFEMED;ESTERILIZANTE QUIM.A FRIO 5LTS STERILIFE;;;;;;;;;;;;;;0.153;SIMPRO_VIG;2007-01-11;19;
SIMPRO;2026-04-12;saneante;0001905076;12;;D.G.L;ETER COMERCIAL SOL.50% 1000ML;;;;;;;;;;;;;;0.019;SIMPRO_VIG;2012-01-16;19;
SIMPRO;2026-04-12;saneante;0000134420;12;;D.G.L;ETER COMERCIAL SOL.50% 100ML;;;;;;;;;;;;;;0.026;SIMPRO_VIG;2011-02-23;19;
