fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000347424;12;;FARMARIN;FARMASTERIL 5% 5LT.;;;;;;;;;;;;;;250;SIMPRO_VIG;2023-10-11;19;
SIMPRO;2026-04-12;saneante;0006260165;12;;RIOQUIMICA;FENOL-RIO 1000ML 0303;;;;;;;;;;;;;;0.032;SIMPRO_VIG;2015-01-13;19;
SIMPRO;2026-04-12;saneante;0006260164;12;;RIOQUIMICA;FENOL-RIO 5000ML 0300;;;;;;;;;;;;;;0.027;SIMPRO_VIG;2015-01-13;19;
SIMPRO;2026-04-12;saneante;0000283426;12;;TAUROVITA;FITA P/DETECCAO NIVEIS ACIDO PERACETICO BANHO SOLUCAO 100UN;;;;;;;;;;;;;;1080;SIMPRO_VIG;2017-03-14;19;
SIMPRO;2026-04-12;saneante;0000242445;12;;RIOQUIMICA;FITA P/GLUTARALDEIDO 0,5 A 2,5PPM FR30UNID;;;;;;;;;;;;;;7.058;SIMPRO_VIG;2014-01-14;19;
SIMPRO;2026-04-12;saneante;0000170885;12;;RIOQUIMICA;FITA PERAX RIO 250-2000PPM 30UN;;;;;;;;;;;;;;12.106;SIMPRO_VIG;2022-05-10;19;
SIMPRO;2026-04-12;saneante;0000266531;12;;RIOQUIMICA;FITA RIOSCOPE OPA-30UNID;;;;;;;;;;;;;;7.343;SIMPRO_VIG;2016-01-13;19;
SIMPRO;2026-04-12;saneante;0000244191;12;;RIOQUIMICA;FITA TESTE GLUTARON TEST STRIPS 30UN;;;;;;;;;;;;;;15.939;SIMPRO_VIG;2022-05-10;19;
SIMPRO;2026-04-12;saneante;0000271611;12;;RIOQUIMICA;FITA TESTE RIOSCOPE OPA TEST STRIPS(BILINGUE)40UN;;;;;;;;;;;;;;15.094;SIMPRO_VIG;2022-05-10;19;
SIMPRO;2026-04-12;saneante;0001905078;12;;D.G.L;FORMOL 10% 1000ML;;;;;;;;;;;;;;0.006;SIMPRO_VIG;2015-04-06;19;
SIMPRO;2026-04-12;saneante;0000134421;12;;D.G.L;FORMOL 10% 100ML;;;;;;;;;;;;;;0.015;SIMPRO_VIG;2015-04-06;19;
SIMPRO;2026-04-12;saneante;0000003935;12;;D.G.L;FORMOL 10% 5000ML;;;;;;;;;;;;;;0.005;SIMPRO_VIG;2015-04-06;19;
SIMPRO;2026-04-12;saneante;0000249260;12;;D.G.L;FORMOL 10% TAMPONADO 1000ML;;;;;;;;;;;;;;0.013;SIMPRO_VIG;2014-09-11;19;
SIMPRO;2026-04-12;saneante;0000298327;12;;CONCEITOS LOJA;FORMOL 10% TAMPONADO 1000ML;;;;;;;;;;;;;;0.078;SIMPRO_VIG;2018-05-08;19;
SIMPRO;2026-04-12;saneante;0000249261;12;;D.G.L;FORMOL 10% TAMPONADO 5000ML;;;;;;;;;;;;;;0.011;SIMPRO_VIG;2014-09-11;19;
SIMPRO;2026-04-12;saneante;0000298328;12;;CONCEITOS LOJA;FORMOL 10% TAMPONADO 5000ML;;;;;;;;;;;;;;0.06;SIMPRO_VIG;2018-05-08;19;
SIMPRO;2026-04-12;saneante;0000073932;12;;D.G.L;FORMOL 37% 1000ML;;;;;;;;;;;;;;0.007;SIMPRO_VIG;2011-02-23;19;
SIMPRO;2026-04-12;saneante;0000150188;12;;D.G.L;FORMOL 37% 100ML;;;;;;;;;;;;;;0.018;SIMPRO_VIG;2012-01-16;19;
SIMPRO;2026-04-12;saneante;0000150189;12;;D.G.L;FORMOL 37% 5000ML;;;;;;;;;;;;;;0.007;SIMPRO_VIG;2012-01-16;19;
