fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000283436;12;;TAUROVITA;GEL ALCOOLICO ANTISEPTICO HIDRATANTE 5LT;;;;;;;;;;;;;;562;SIMPRO_VIG;2017-03-14;19;
SIMPRO;2026-04-12;saneante;0000242447;12;;RIOQUIMICA;GERMI-RIO PLUS 1000ML;;;;;;;;;;;;;;0.146;SIMPRO_VIG;2016-01-13;19;
SIMPRO;2026-04-12;saneante;0000108880;12;;FBM;GLICERINA 1000ML;;;;;;;;;;;;;;0.022;SIMPRO_VIG;2015-12-17;19;
SIMPRO;2026-04-12;saneante;0000108879;12;;FBM;GLICERINA 100ML;;;;;;;;;;;;;;0.05;SIMPRO_VIG;2015-12-17;19;
SIMPRO;2026-04-12;saneante;0001905082;12;;D.G.L;GLICERINA BIDESTILADA 1000ML;;;;;;;;;;;;;;0.012;SIMPRO_VIG;2012-01-16;19;
SIMPRO;2026-04-12;saneante;0000004350;12;;D.G.L;GLICERINA BIDESTILADA 100ML;;;;;;;;;;;;;;0.022;SIMPRO_VIG;2009-08-24;19;
SIMPRO;2026-04-12;saneante;0000130511;12;;EUROFARMA;GLUTALABOR 14DIAS 5000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2010-06-28;19;
SIMPRO;2026-04-12;saneante;0000288254;12;;COSMODERMA;GLUTAMAX FITA TESTE P/GLUTARALDEIDO POTE 30FITAS;;;;;;;;;;;;;;9.667;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;saneante;0000288256;12;;COSMODERMA;GLUTAMAX PO INATIVADOR GLUTARALDEIDO 2% POTE 230G;;;;;;;;;;;;;;0.278;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;saneante;0000288255;12;;COSMODERMA;GLUTAMAX PO INATIVADOR GLUTARALDEIDO 2% POTE 46G;;;;;;;;;;;;;;0.51;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;saneante;0000059191;12;;MIYAKO;GLUTARALDEIDO 2% 14DD 1000ML;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-10-02;19;
SIMPRO;2026-04-12;saneante;0000059199;12;;MIYAKO;GLUTARALDEIDO 2% 14DD 5000ML;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-10-02;19;
SIMPRO;2026-04-12;saneante;0000078160;12;;MIYAKO;GLUTARALDEIDO 2% 14DD AZUL 5000ML;;;;;;;;;;;;;;0;SIMPRO_VIG;2009-10-02;19;
SIMPRO;2026-04-12;saneante;0000083491;12;;L.M.FARMA;GLUTARALDEIDO 2% 14DIAS 1000ML D-05;;;;;;;;;;;;;;0.004;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;saneante;0000071635;12;;L.M.FARMA;GLUTARALDEIDO 2% 14DIAS 5000ML D-06;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;saneante;0000098612;12;;L.M.FARMA;GLUTARALDEIDO 2% 28DIAS 1000ML D-17;;;;;;;;;;;;;;0.004;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;saneante;0000098613;12;;L.M.FARMA;GLUTARALDEIDO 2% 28DIAS 5000ML D-18;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2006-04-19;19;
SIMPRO;2026-04-12;saneante;0006260174;12;;RIOQUIMICA;GLUTARON 2% 14DD 1000ML 0304;;;;;;;;;;;;;;0.007;SIMPRO_VIG;2010-04-06;19;
SIMPRO;2026-04-12;saneante;0006260173;12;;RIOQUIMICA;GLUTARON 2% 14DD 5000ML 0307;;;;;;;;;;;;;;0.005;SIMPRO_VIG;2010-04-06;19;
SIMPRO;2026-04-12;saneante;0006260176;12;;RIOQUIMICA;GLUTARON II 2% 28DD 1000ML 0308;;;;;;;;;;;;;;0.008;SIMPRO_VIG;2010-04-06;19;
SIMPRO;2026-04-12;saneante;0006260175;12;;RIOQUIMICA;GLUTARON II 2% 28DD 5000ML 0305;;;;;;;;;;;;;;0.006;SIMPRO_VIG;2010-04-06;19;
