fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000108882;12;;FBM;HIGIODINE ALCOOLICO 1000ML;;;;;;;;;;;;;;0.02;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000108881;12;;FBM;HIGIODINE ALCOOLICO 100ML;;;;;;;;;;;;;;0.026;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000108884;12;;FBM;HIGIODINE AQUOSO 1000ML;;;;;;;;;;;;;;0.014;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000108883;12;;FBM;HIGIODINE AQUOSO 100ML;;;;;;;;;;;;;;0.024;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000108885;12;;FBM;HIPOCLORITO 1% 1000ML;;;;;;;;;;;;;;0.002;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000108886;12;;FBM;HIPOCLORITO 1% 5000ML;;;;;;;;;;;;;;0.001;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000256209;12;;D.G.L;HIPOCLORITO 10 A 12% 1000ML;;;;;;;;;;;;;;4.9;SIMPRO_VIG;2015-04-06;19;
SIMPRO;2026-04-12;saneante;0000256201;12;;D.G.L;HIPOCLORITO 10 A 12% 20LT;;;;;;;;;;;;;;3.6;SIMPRO_VIG;2015-04-06;19;
SIMPRO;2026-04-12;saneante;0000256200;12;;D.G.L;HIPOCLORITO 10 A 12% 5000ML;;;;;;;;;;;;;;22;SIMPRO_VIG;2015-04-06;19;
SIMPRO;2026-04-12;saneante;0000108889;12;;FBM;HIPOCLORITO 10% 20LTS;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000108888;12;;FBM;HIPOCLORITO 10% 5000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000108890;12;;FBM;HIPOCLORITO 2,5% 1000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000108891;12;;FBM;HIPOCLORITO 2,5% 5000ML;;;;;;;;;;;;;;0.002;SIMPRO_VIG;2007-07-16;19;
SIMPRO;2026-04-12;saneante;0000108892;12;;FBM;HIPOCLORITO 5% 1000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2007-07-16;19;
