fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000325637;12;;BRASQUIMICA;IMPERMEABILIZANTE ACRILICO P/PROTEGER/DAR BRILHO PISOS PREST 5LT;;;;;;;;;;;;;;0.058;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000244193;12;;RIOQUIMICA;INATIVADOR GLUTARON 200G;;;;;;;;;;;;;;0.552;SIMPRO_VIG;2022-08-25;19;
SIMPRO;2026-04-12;saneante;0000244192;12;;RIOQUIMICA;INATIVADOR GLUTARON 40G;;;;;;;;;;;;;;1.38;SIMPRO_VIG;2022-08-25;19;
SIMPRO;2026-04-12;saneante;0000266532;12;;RIOQUIMICA;INATIVADOR RIOSCOPE OPA GLICINA 33G;;;;;;;;;;;;;;1.457;SIMPRO_VIG;2022-05-10;19;
SIMPRO;2026-04-12;saneante;0000298330;12;;CONCEITOS LOJA;INDACLEAR DETERGENTE NEUTRO LIQ.1000ML;;;;;;;;;;;;;;0.045;SIMPRO_VIG;2018-05-08;19;
SIMPRO;2026-04-12;saneante;0000298331;12;;CONCEITOS LOJA;INDACLEAR DETERGENTE NEUTRO LIQ.5000ML;;;;;;;;;;;;;;0.039;SIMPRO_VIG;2018-05-08;19;
SIMPRO;2026-04-12;saneante;0000298329;12;;CONCEITOS LOJA;INDACLEAR DETERGENTE NEUTRO LIQ.500ML;;;;;;;;;;;;;;0.043;SIMPRO_VIG;2018-05-08;19;
SIMPRO;2026-04-12;saneante;0000298332;12;;CONCEITOS LOJA;INDACLEAR MAX DETERGENTE LIQ.CONCENTRADO 1000ML;;;;;;;;;;;;;;0.069;SIMPRO_VIG;2018-05-08;19;
SIMPRO;2026-04-12;saneante;0000298333;12;;CONCEITOS LOJA;INDACLEAR MAX DETERGENTE LIQ.CONCENTRADO 5000ML;;;;;;;;;;;;;;0.06;SIMPRO_VIG;2018-05-08;19;
SIMPRO;2026-04-12;saneante;0000298334;12;;CONCEITOS MEDICAL;INDACLOR HIPOCLORITO SODIO 1% 1000ML;;;;;;;;;;;;;;0.06;SIMPRO_VIG;2022-11-24;19;
