fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000257257;12;;LABNEWS;LABSEPTIC DETERGENTE/DESINFETANTE P/SUPERFICIE/ARTIGO N/CRITICO ESPUMA 1000ML;;;;;;;;;;;;;;0.158;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257258;12;;LABNEWS;LABSEPTIC DETERGENTE/DESINFETANTE P/SUPERFICIE/ARTIGO N/CRITICO ESPUMA 750ML;;;;;;;;;;;;;;0.168;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257259;12;;LABNEWS;LABSEPTIC DETERGENTE/DESINFETANTE P/SUPERFICIE/ARTIGO N/CRITICO ESPUMA BEIRA LEITO 150ML;;;;;;;;;;;;;;73.5;SIMPRO_VIG;2016-11-09;19;
SIMPRO;2026-04-12;saneante;0000257256;12;;LABNEWS;LABSEPTIC PP DETERGENTE/DESINFETANTE 1000ML;;;;;;;;;;;;;;0.315;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257255;12;;LABNEWS;LABSEPTIC PP DETERGENTE/DESINFETANTE 5000ML;;;;;;;;;;;;;;0.263;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000305634;12;;COSMODERMA;LIMPADOR ANTIEMBACANTE USO GERAL MAXVISION 120ML;;;;;;;;;;;;;;22.4;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;saneante;0000305635;12;;COSMODERMA;LIMPADOR ANTIEMBACANTE USO GERAL MAXVISION 750ML;;;;;;;;;;;;;;73.6;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;saneante;0000325628;12;;BRASQUIMICA;LIMPADOR CONCENTRADO MULTI USO P/LIMPEZA SECO BANCADAS/PISOS RESOLV 5LT;;;;;;;;;;;;;;0.02;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000042457;12;;LIFEMED;LIMPADOR ENZIMATICO LIFEZYME 5LTS;;;;;;;;;;;;;;0.222;SIMPRO_VIG;2008-11-25;19;
SIMPRO;2026-04-12;saneante;0000091139;12;;LIFEMED;LIMPADOR ENZIMATICO LIFEZYME ECO 5LTS;;;;;;;;;;;;;;0.137;SIMPRO_VIG;2007-01-11;19;
SIMPRO;2026-04-12;saneante;0000325605;12;;BRASQUIMICA;LIMPADOR LIMPADOR DESINCRUSTANTE ACIDO P/LIMPEZA REJUNTES AZULEJOS/CERAMICA BRASLIM 5LT;;;;;;;;;;;;;;0.012;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000325598;12;;BRASQUIMICA;LIMPADOR SECO MULTI USO CONCENTRADO P/LIMPEZA PAREDES VIDROS RESOLV 5LT;;;;;;;;;;;;;;0.024;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000261155;12;;VIC PHARMA;LUBRI VIC LUBRIFICANTE P/ARTIGOS MEDICOS 1FR 1000ML;;;;;;;;;;;;;;0.182;SIMPRO_VIG;2019-06-04;19;
SIMPRO;2026-04-12;saneante;0000261156;12;;VIC PHARMA;LUBRI VIC LUBRIFICANTE P/ARTIGOS MEDICOS 1GL 5000ML;;;;;;;;;;;;;;0.117;SIMPRO_VIG;2019-06-04;19;
SIMPRO;2026-04-12;saneante;0000153438;12;;RIOQUIMICA;LUBRIFICANTE MAXSLIP 1LT.;;;;;;;;;;;;;;105.34;SIMPRO_VIG;2022-05-10;19;
SIMPRO;2026-04-12;saneante;0000153440;12;;RIOQUIMICA;LUBRIFICANTE MAXSLIP 5LT.;;;;;;;;;;;;;;0.083;SIMPRO_VIG;2018-04-03;19;
