fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000138097;12;;MIYAKO;MIALCOOL 46% CITRICO 1000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2009-05-27;19;
SIMPRO;2026-04-12;saneante;0000138096;12;;MIYAKO;MIALCOOL 46% CITRICO 500ML;;;;;;;;;;;;;;0.005;SIMPRO_VIG;2009-05-27;19;
SIMPRO;2026-04-12;saneante;0000138093;12;;MIYAKO;MIALCOOL 46% EUCALIPTO 1000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2009-05-27;19;
SIMPRO;2026-04-12;saneante;0000138092;12;;MIYAKO;MIALCOOL 46% EUCALIPTO 500ML;;;;;;;;;;;;;;0.005;SIMPRO_VIG;2009-05-27;19;
SIMPRO;2026-04-12;saneante;0000138095;12;;MIYAKO;MIALCOOL 46% FLORAL 1000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2009-05-27;19;
SIMPRO;2026-04-12;saneante;0000138094;12;;MIYAKO;MIALCOOL 46% FLORAL 500ML;;;;;;;;;;;;;;0.005;SIMPRO_VIG;2009-05-27;19;
SIMPRO;2026-04-12;saneante;0000138091;12;;MIYAKO;MIALCOOL 46% LAVANDA 1000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2009-05-27;19;
SIMPRO;2026-04-12;saneante;0000138090;12;;MIYAKO;MIALCOOL 46% LAVANDA 500ML;;;;;;;;;;;;;;0.005;SIMPRO_VIG;2009-05-27;19;
SIMPRO;2026-04-12;saneante;0000138089;12;;MIYAKO;MIALCOOL 46% TRADIC.1000ML;;;;;;;;;;;;;;0.003;SIMPRO_VIG;2009-05-27;19;
SIMPRO;2026-04-12;saneante;0000138088;12;;MIYAKO;MIALCOOL 46% TRADIC.500ML;;;;;;;;;;;;;;0.004;SIMPRO_VIG;2009-05-27;19;
SIMPRO;2026-04-12;saneante;0000132155;12;;RIOQUIMICA;MUND PERACETIC 1000ML 0886;;;;;;;;;;;;;;0.083;SIMPRO_VIG;2010-04-06;19;
SIMPRO;2026-04-12;saneante;0000132156;12;;RIOQUIMICA;MUND PERACETIC 5000ML 0887;;;;;;;;;;;;;;0.073;SIMPRO_VIG;2010-04-06;19;
