fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000257247;12;;LABNEWS;NEOCLEAN ALCALINO 1000ML;;;;;;;;;;;;;;0.111;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257246;12;;LABNEWS;NEOCLEAN ALCALINO 5000ML;;;;;;;;;;;;;;0.124;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257250;12;;LABNEWS;NEOSEC SECANTE 5000ML;;;;;;;;;;;;;;0.126;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257251;12;;LABNEWS;NEOSEC SECANTE/LUBRIFICANTE 1000ML;;;;;;;;;;;;;;0.095;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257243;12;;LABNEWS;NEOZIME 5 DETERGENTE MULTENZIMATICO 5ENZIMAS 1000ML;;;;;;;;;;;;;;0.088;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257242;12;;LABNEWS;NEOZIME 5 DETERGENTE MULTENZIMATICO 5ENZIMAS 5000ML;;;;;;;;;;;;;;0.084;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257245;12;;LABNEWS;NEOZIME DETERGENTE MULTENZIMATICO 1000ML;;;;;;;;;;;;;;0.07;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257244;12;;LABNEWS;NEOZIME DETERGENTE MULTENZIMATICO 5000ML;;;;;;;;;;;;;;0.06;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257240;12;;LABNEWS;NEOZIME ECO DETERGENTE MULTENZIMATICO 5ENZIMAS -0,1% DILUICAO N/ESPUMANTE ECOL.5000ML;;;;;;;;;;;;;;0.125;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257241;12;;LABNEWS;NEOZIME ECO DETERGENTE MULTENZIMATICO 5ENZIMAS 1000ML;;;;;;;;;;;;;;0.143;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000325615;12;;BRASQUIMICA;NEUTRALIZADOR MAUS ODORES LIXEIRAS/CIGARRO P/LIMPEZA ESSENCIALE NX 5LT;;;;;;;;;;;;;;0.048;SIMPRO_VIG;2021-08-24;19;
