fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000337995;12;;VIC PHARMA;OPA HLD 5000ML;;;;;;;;;;;;;;0.228;SIMPRO_VIG;2024-11-19;19;
SIMPRO;2026-04-12;saneante;0000305632;12;;COSMODERMA;OPAMAX FITA TESTE P/ORTOFTALALDEIDO POTE 40FITAS;;;;;;;;;;;;;;11.5;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;saneante;0000305633;12;;COSMODERMA;OPAMAX PO INATIVADOR ORTOFTALALDEIDO POTE 33G;;;;;;;;;;;;;;1.241;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;saneante;0000337990;12;;VIC PHARMA;OXI REMOV 1000ML(REMOVEDOR OXIDACAO/DESINCROSTANTE);;;;;;;;;;;;;;0.175;SIMPRO_VIG;2024-11-19;19;
SIMPRO;2026-04-12;saneante;0000337991;12;;VIC PHARMA;OXI REMOV 5000ML(REMOVEDOR OXIDACAO/DESINCROSTANTE);;;;;;;;;;;;;;0.132;SIMPRO_VIG;2024-11-19;19;
SIMPRO;2026-04-12;saneante;0000261153;12;;VIC PHARMA;OXI VIC LIMPADOR ANTIFERRUGINOSO 1FR 1000ML;;;;;;;;;;;;;;0.01;SIMPRO_VIG;2023-02-01;19;
SIMPRO;2026-04-12;saneante;0000261154;12;;VIC PHARMA;OXI VIC LIMPADOR ANTIFERRUGINOSO 1GL 1000ML;;;;;;;;;;;;;;0.023;SIMPRO_VIG;2015-04-01;19;
SIMPRO;2026-04-12;saneante;0000257253;12;;LABNEWS;OXICLEAN REMOVEDOR OXIDACAO 1000ML;;;;;;;;;;;;;;0.105;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257252;12;;LABNEWS;OXICLEAN REMOVEDOR OXIDACAO 5000ML;;;;;;;;;;;;;;0.084;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000251854;12;;RIOQUIMICA;OXIMAX ANTIOXIDANTE INSTRUMENTAL 500ML;;;;;;;;;;;;;;0.094;SIMPRO_VIG;2015-01-13;19;
SIMPRO;2026-04-12;saneante;0000242460;12;;RIOQUIMICA;OXIRIO PLUS 1000ML;;;;;;;;;;;;;;0.146;SIMPRO_VIG;2015-01-13;19;
