fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000242452;12;;RIOQUIMICA;PERAX RIO AN5 1000ML;;;;;;;;;;;;;;0.051;SIMPRO_VIG;2015-01-13;19;
SIMPRO;2026-04-12;saneante;0000259452;12;;OLIGAM;POLIDESIN 120ML;;;;;;;;;;;;;;1.125;SIMPRO_VIG;2015-07-14;19;
SIMPRO;2026-04-12;saneante;0000259454;12;;OLIGAM;POLIDESIN 160ML;;;;;;;;;;;;;;0.96;SIMPRO_VIG;2015-07-14;19;
SIMPRO;2026-04-12;saneante;0000259458;12;;OLIGAM;POLIDESIN 1LT;;;;;;;;;;;;;;320;SIMPRO_VIG;2015-07-14;19;
SIMPRO;2026-04-12;saneante;0000259456;12;;OLIGAM;POLIDESIN 500ML;;;;;;;;;;;;;;0.32;SIMPRO_VIG;2015-07-14;19;
SIMPRO;2026-04-12;saneante;0000259459;12;;OLIGAM;POLIDESIN 5LT;;;;;;;;;;;;;;320;SIMPRO_VIG;2015-07-14;19;
SIMPRO;2026-04-12;saneante;0000259457;12;;OLIGAM;POLIDESIN 750ML;;;;;;;;;;;;;;0.32;SIMPRO_VIG;2015-07-14;19;
SIMPRO;2026-04-12;saneante;0000337992;12;;VIC PHARMA;POWER SEPTIC PRONTO USO 1000ML;;;;;;;;;;;;;;0.04;SIMPRO_VIG;2024-11-19;19;
SIMPRO;2026-04-12;saneante;0000337993;12;;VIC PHARMA;POWER SEPTIC PRONTO USO 5000ML;;;;;;;;;;;;;;0.035;SIMPRO_VIG;2024-11-19;19;
SIMPRO;2026-04-12;saneante;0000337994;12;;VIC PHARMA;POWER SEPTIC PRONTO USO 750ML;;;;;;;;;;;;;;0.108;SIMPRO_VIG;2024-11-19;19;
SIMPRO;2026-04-12;saneante;0000337988;12;;VIC PHARMA;PRATICZYME 1000ML;;;;;;;;;;;;;;0.114;SIMPRO_VIG;2024-11-19;19;
SIMPRO;2026-04-12;saneante;0000337989;12;;VIC PHARMA;PRATICZYME 5000ML;;;;;;;;;;;;;;0.106;SIMPRO_VIG;2024-11-19;19;
SIMPRO;2026-04-12;saneante;0000298345;12;;CONCEITOS LOJA;PRIMECLEAR SOLUCAO P/PRE LIMPEZA 750ML SPRAY;;;;;;;;;;;;;;0.573;SIMPRO_VIG;2018-05-08;19;
SIMPRO;2026-04-12;saneante;0000257263;12;;LABNEWS;PROLAB ACIDO(DETERGENTE ACIDO LABORATORIAL N/ESPUMANTE P/LAVADORA)5000ML;;;;;;;;;;;;;;157.5;SIMPRO_VIG;2016-11-09;19;
SIMPRO;2026-04-12;saneante;0000257261;12;;LABNEWS;PROLAB ALCALINO(DETERGENTE ALCALINO LABORATORIAL)5000ML;;;;;;;;;;;;;;157.5;SIMPRO_VIG;2016-11-09;19;
SIMPRO;2026-04-12;saneante;0000257264;12;;LABNEWS;PROLAB LAV(DETERGENTE ALCALINO LABORATORIAL N/ESPUMANTE P/LAVADORA) 5000ML;;;;;;;;;;;;;;157.5;SIMPRO_VIG;2016-11-09;19;
SIMPRO;2026-04-12;saneante;0000257262;12;;LABNEWS;PROLAB N/IONICO(DETERGENTE NEUTRO LABORATORIAL/HOSPITALAR)5000ML;;;;;;;;;;;;;;0.032;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257260;12;;LABNEWS;PROLAB NEUTRO(DETERGENTE NEUTRO LABORATORIAL/HOSPITALAR)5000ML;;;;;;;;;;;;;;157.5;SIMPRO_VIG;2016-11-09;19;
SIMPRO;2026-04-12;saneante;0000257248;12;;LABNEWS;PROLUB LUBRIFICANTE 5000ML;;;;;;;;;;;;;;357;SIMPRO_VIG;2016-11-09;19;
SIMPRO;2026-04-12;saneante;0000257249;12;;LABNEWS;PROLUB LUBRIFICANTE SPRAY 1000ML;;;;;;;;;;;;;;0.147;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000257254;12;;LABNEWS;PROXI PLUS REMOVEDOR OXIDACAO 750ML;;;;;;;;;;;;;;0.196;SIMPRO_VIG;2015-05-06;19;
SIMPRO;2026-04-12;saneante;0000149325;12;;FRESENIUS MEDIC.CARE;PROXITANE ST 20000ML;;;;;;;;;;;;;;0.063;SIMPRO_VIG;2025-10-24;19;
SIMPRO;2026-04-12;saneante;0000149324;12;;FRESENIUS MEDIC.CARE;PROXITANE ST 5000ML;;;;;;;;;;;;;;0.064;SIMPRO_VIG;2025-10-24;19;
SIMPRO;2026-04-12;saneante;0000149323;12;;FRESENIUS MEDIC.CARE;PURISTERIL 340 5000ML;;;;;;;;;;;;;;0.064;SIMPRO_VIG;2025-10-24;19;
