fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000301882;12;;COSMODERMA;REMOVEDOR ADESIVO/ETIQUETA 250ML SPRAY;;;;;;;;;;;;;;166;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;saneante;0000354902;12;;RIOQUIMICA;REMOVEDOR ADESIVOS RIOVEX SPRAY 250ML;;;;;;;;;;;;;;0.362;SIMPRO_VIG;2024-09-10;19;
SIMPRO;2026-04-12;saneante;0000283440;12;;TAUROVITA;REMOVEDOR CERA/IMPERMEABILIZACAO PISO;;;;;;;;;;;;;;652;SIMPRO_VIG;2017-03-14;19;
SIMPRO;2026-04-12;saneante;0000325635;12;;BRASQUIMICA;REMOVEDOR CONCENTRADO CERAS IMPERMEABILIZANTES P/TRATAMENTO PISO ANTI PREST 5LT;;;;;;;;;;;;;;0.029;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000325597;12;;BRASQUIMICA;REMOVEDOR FERRUGEM TECIDOS LAVANDERIA FERROSOLV 5LT;;;;;;;;;;;;;;0.023;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000282623;12;;COSMODERMA;REMOVEDOR OXIDACAO MEGANOX 1000ML;;;;;;;;;;;;;;135.8;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;saneante;0000282622;12;;COSMODERMA;REMOVEDOR OXIDACAO MEGANOX 5000ML;;;;;;;;;;;;;;560;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;saneante;0000282624;12;;COSMODERMA;REMOVEDOR OXIDACAO P/AUTOCLAVES MEGANOX PLUS ESPUMA 750ML;;;;;;;;;;;;;;108;SIMPRO_VIG;2023-12-12;19;
SIMPRO;2026-04-12;saneante;0000283414;12;;TAUROVITA;REMOVEDOR RESIDUO ADESIVO/COLA/ETIQUETA 200ML;;;;;;;;;;;;;;211.5;SIMPRO_VIG;2017-03-14;19;
SIMPRO;2026-04-12;saneante;0000132150;12;;RIOQUIMICA;RIALCOOL 46 1000ML 0867;;;;;;;;;;;;;;0.005;SIMPRO_VIG;2009-05-05;19;
SIMPRO;2026-04-12;saneante;0000040593;12;;RIOQUIMICA;RIALCOOL 70% 5000ML 0087;;;;;;;;;;;;;;0.018;SIMPRO_VIG;2018-04-03;19;
SIMPRO;2026-04-12;saneante;0000253292;12;;RIOQUIMICA;RIO HDL(DESINFETANTE ALTO NIVEL) 5000ML;;;;;;;;;;;;;;0.226;SIMPRO_VIG;2015-01-13;19;
SIMPRO;2026-04-12;saneante;0000253293;12;;RIOQUIMICA;RIO HDL(DESINFETANTE ALTO NIVEL)KIT TESTE 10KITS;;;;;;;;;;;;;;19.965;SIMPRO_VIG;2015-01-13;19;
SIMPRO;2026-04-12;saneante;0000259677;12;;RIOQUIMICA;RIO HLD 5L;;;;;;;;;;;;;;226.27;SIMPRO_VIG;2015-07-14;19;
SIMPRO;2026-04-12;saneante;0000253294;12;;RIOQUIMICA;RIOSCOPE OPA 1000ML;;;;;;;;;;;;;;0.106;SIMPRO_VIG;2015-01-13;19;
