fonte;edicao;tipo_item;codigo_fonte;tabela_fonte;chave_fonte;laboratorio;produto;apresentacao;principio_ativo;ean;registro_anvisa;codigo_tuss;ggrem;generico;restrito_hospitalar;qtd_embalagem;pf_total;pmc_total;pf_unit;pmc_unit;preco_ref;tipo_preco;vigencia;tabela87_sugerida;precos_extra
SIMPRO;2026-04-12;saneante;0000283435;12;;TAUROVITA;SABONETE LIQUIDO P/ANTISEPSIA MAO 5LT;;;;;;;;;;;;;;495;SIMPRO_VIG;2017-03-14;19;
SIMPRO;2026-04-12;saneante;0000283434;12;;TAUROVITA;SANITIZANTE ALGICIDA BASE AMONIA QUARTENARIA 5LT;;;;;;;;;;;;;;1125;SIMPRO_VIG;2017-03-14;19;
SIMPRO;2026-04-12;saneante;0000325634;12;;BRASQUIMICA;SANIZANTES PO P/FRUTAS VERDURAS OVOS SANIVEG 5LT;;;;;;;;;;;;;;0.086;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000325621;12;;BRASQUIMICA;SECANTE ABRILHANTADOR SECAGEM AUTOMATICA P/COZINHA KITMATIC SECANTE 5LT;;;;;;;;;;;;;;0.044;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000325623;12;;BRASQUIMICA;SECANTE P/MAQUINA LAVAR LOCAS KITMATIC 20LT;;;;;;;;;;;;;;0.037;SIMPRO_VIG;2021-08-24;19;
SIMPRO;2026-04-12;saneante;0000283439;12;;TAUROVITA;SELADORA ACRILICA IMPERMEABILIZANTE P/PISO 05LT;;;;;;;;;;;;;;480;SIMPRO_VIG;2017-03-14;19;
SIMPRO;2026-04-12;saneante;0000178914;12;;CICLO FARMA;SOAP CLEAN GLICERINADO FR 1000ML;;;;;;;;;;;;;;4.15;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178915;12;;CICLO FARMA;SOAP CLEAN GLICERINADO GL 5000ML;;;;;;;;;;;;;;20.35;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178916;12;;CICLO FARMA;SOAP CLEAN PEROLADO TALCO SUAVE FR 1000ML;;;;;;;;;;;;;;3.69;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000178917;12;;CICLO FARMA;SOAP CLEAN PEROLADO TALCO SUAVE GL 5000ML;;;;;;;;;;;;;;18.1;SIMPRO_VIG;2013-07-17;19;
SIMPRO;2026-04-12;saneante;0000170619;12;;B.BRAUN;SOFTALIND PURE BOTTLER DP 10FR 1000ML;;;;;;;;;;;;;;157.5;SIMPRO_VIG;2014-03-07;19;
