dominio;codigo;descricao
dm_CBOS;131220;gerontologo
dm_CBOS;201115;Geneticista
dm_CBOS;203015;Pesquisador em biologia de microorganismos e parasitas
dm_CBOS;213150;Físico médico
dm_CBOS;221105;Biólogo
dm_CBOS;221205;Biomédico
dm_CBOS;223204;Cirurgião dentista - auditor
dm_CBOS;223208;Cirurgião dentista - clínico geral
dm_CBOS;223212;Cirurgião dentista - endodontista
dm_CBOS;223216;Cirurgião dentista - epidemiologista
dm_CBOS;223220;Cirurgião dentista - estomatologista
dm_CBOS;223224;Cirurgião dentista - implantodontista
dm_CBOS;223228;Cirurgião dentista - odontogeriatra
dm_CBOS;223232;Cirurgião dentista - odontologista legal
dm_CBOS;223236;Cirurgião dentista - odontopediatra
dm_CBOS;223240;Cirurgião dentista - ortopedista e ortodontista
dm_CBOS;223244;Cirurgião dentista - patologista bucal
dm_CBOS;223248;Cirurgião dentista - periodontista
dm_CBOS;223252;Cirurgião dentista - protesiólogo bucomaxilofacial
dm_CBOS;223256;Cirurgião dentista - protesista
dm_CBOS;223260;Cirurgião dentista - radiologista
dm_CBOS;223264;Cirurgião dentista - reabilitador oral
dm_CBOS;223268;Cirurgião dentista - traumatologista bucomaxilofacial
dm_CBOS;223272;Cirurgião dentista de saúde coletiva
dm_CBOS;223276;Cirurgião dentista - odontologia do trabalho
dm_CBOS;223280;Cirurgião dentista - dentística
dm_CBOS;223284;Cirurgião dentista - disfunção temporomandibular e dor orofacial
dm_CBOS;223288;Cirurgião dentista - odontologia para pacientes com necessidades especiais
dm_CBOS;223293;Cirurgião-dentista da estratégia de saúde da família
dm_CBOS;223405;Farmacêutico
dm_CBOS;223415;Farmacêutico analista clínico
dm_CBOS;223420;Farmacêutico de alimentos
dm_CBOS;223425;Farmacêutico práticas integrativas e complementares
dm_CBOS;223430;Farmacêutico em saúde pública
dm_CBOS;223435;Farmacêutico industrial
dm_CBOS;223440;Farmacêutico toxicologista
dm_CBOS;223445;Farmacêutico hospitalar e clínico
dm_CBOS;223505;Enfermeiro
dm_CBOS;223510;Enfermeiro auditor
dm_CBOS;223515;Enfermeiro de bordo
dm_CBOS;223520;Enfermeiro de centro cirúrgico
dm_CBOS;223525;Enfermeiro de terapia intensiva
dm_CBOS;223530;Enfermeiro do trabalho
dm_CBOS;223535;Enfermeiro nefrologista
dm_CBOS;223540;Enfermeiro neonatologista
dm_CBOS;223545;Enfermeiro obstétrico
dm_CBOS;223550;Enfermeiro psiquiátrico
dm_CBOS;223555;Enfermeiro puericultor e pediátrico
dm_CBOS;223560;Enfermeiro sanitarista
dm_CBOS;223565;Enfermeiro da estratégia de saúde da família
dm_CBOS;223570;Perfusionista
dm_CBOS;223575;Obstetriz
dm_CBOS;223605;Fisioterapeuta geral
dm_CBOS;223625;Fisioterapeuta respiratória
dm_CBOS;223630;Fisioterapeuta neurofuncional
dm_CBOS;223635;Fisioterapeuta traumato-ortopédica funcional
dm_CBOS;223640;Fisioterapeuta osteopata
dm_CBOS;223645;Fisioterapeuta quiropraxista
dm_CBOS;223650;Fisioterapeuta acupunturista
dm_CBOS;223655;Fisioterapeuta esportivo
dm_CBOS;223660;Fisioterapeuta do trabalho
dm_CBOS;223705;Dietista
dm_CBOS;223710;Nutricionista
dm_CBOS;223810;Fonoaudiólogo
dm_CBOS;223815;Fonoaudiólogo educacional
dm_CBOS;223820;Fonoaudiólogo em audiologia
dm_CBOS;223825;Fonoaudiólogo em disfagia
dm_CBOS;223830;Fonoaudiólogo em linguagem
dm_CBOS;223835;Fonoaudiólogo em motricidade orofacial
dm_CBOS;223840;Fonoaudiólogo em saúde coletiva
dm_CBOS;223845;Fonoaudiólogo em voz
dm_CBOS;223905;Terapeuta ocupacional
dm_CBOS;223910;Ortoptista
dm_CBOS;223915;psicomotricista
dm_CBOS;224105;Avaliador físico
dm_CBOS;224110;Ludomotricista
dm_CBOS;224115;Preparador de atleta
dm_CBOS;224120;Preparador físico
dm_CBOS;224125;Técnico de desporto individual e coletivo (exceto futebol)
dm_CBOS;224130;Técnico de laboratório e fiscalização desportiva
dm_CBOS;224135;Treinador profissional de futebol
dm_CBOS;224140;profissional de educação fisica na saude
dm_CBOS;225103;Médico infectologista
dm_CBOS;225105;Médico acupunturista
dm_CBOS;225106;Médico legista
dm_CBOS;225109;Médico Nefrologista
dm_CBOS;225110;Médico alergista e imunologista
dm_CBOS;225112;Médico neurologista
dm_CBOS;225115;Médico angiologista
dm_CBOS;225118;Médico nutrologista
dm_CBOS;225120;Médico cardiologista
dm_CBOS;225121;Médico oncologista
dm_CBOS;225121;Médico oncologista
dm_CBOS;225122;Médico cancerologista pediátrico
dm_CBOS;225124;Médico pediatra
dm_CBOS;225125;Médico clínico
dm_CBOS;225127;Médico pneumologista
dm_CBOS;225130;Médico de família e comunidade
dm_CBOS;225133;Médico psiquiatra
dm_CBOS;225135;Médico dermatologista
dm_CBOS;225136;Médico reumatologista
dm_CBOS;225139;Médico sanitarista
dm_CBOS;225140;Médico do trabalho
dm_CBOS;225142;Médico da estratégia de saúde da família
dm_CBOS;225145;Médico em medicina de tráfego
dm_CBOS;225148;Médico anatomopatologista
dm_CBOS;225150;Médico em medicina intensiva
dm_CBOS;225151;Médico anestesiologista
dm_CBOS;225154;Médico antroposófico
dm_CBOS;225155;Médico endocrinologista e metabologista
dm_CBOS;225160;Médico fisiatra
dm_CBOS;225165;Médico gastroenterologista
dm_CBOS;225170;Médico generalista
dm_CBOS;225175;Médico geneticista
dm_CBOS;225180;Médico geriatra
dm_CBOS;225185;Médico Hematologista
dm_CBOS;225190;Médico Hemoterapeuta
dm_CBOS;225195;Médico Homeopata
dm_CBOS;225203;Médico em cirurgia vascular
dm_CBOS;225210;Médico cirurgião cardiovascular
dm_CBOS;225215;Médico cirurgião de cabeça e pescoço
dm_CBOS;225220;Médico cirurgião do aparelho digestivo
dm_CBOS;225225;Médico cirurgião geral
dm_CBOS;225230;Médico cirurgião pediátrico
dm_CBOS;225235;Médico cirurgião plástico
dm_CBOS;225240;Médico cirurgião torácico
dm_CBOS;225245;Médico foniatra
dm_CBOS;225250;Médico ginecologista e obstetra
dm_CBOS;225255;Médico Mastologista
dm_CBOS;225260;Médico neurocirurgião
dm_CBOS;225265;Médico oftalmologista
dm_CBOS;225270;Médico ortopedista e traumatologista
dm_CBOS;225275;Médico otorrinolaringologista
dm_CBOS;225280;Médico proctologista
dm_CBOS;225285;Médico urologista
dm_CBOS;225290;Médico cancerologista cirúrgico
dm_CBOS;225295;Médico cirurgião da mão
dm_CBOS;225305;Médico citopatologista
dm_CBOS;225310;Médico em endoscopia
dm_CBOS;225315;Médico em medicina nuclear
dm_CBOS;225320;Médico em radiologia e diagnóstico por imagem
dm_CBOS;225325;Médico patologista clínico
dm_CBOS;225325;Médico patologista clínico
dm_CBOS;225330;Médico radioterapeuta
dm_CBOS;225335;Médico patologista clínico / medicina laboratorial
dm_CBOS;225340;Médico hemoterapeuta
dm_CBOS;225345;Médico hiperbarista
dm_CBOS;225350;Médico neurofisiologista
dm_CBOS;225355;medico radiologista intervencionista
dm_CBOS;226105;quiropraxista
dm_CBOS;226110;osteopata
dm_CBOS;226305;Musicoterapeuta
dm_CBOS;226310;arteterapeuta
dm_CBOS;226315;equoterapeuta
dm_CBOS;226320;naturologo
dm_CBOS;239425;Psicopedagogo
dm_CBOS;239440;neuropsicopedagogo clinico
dm_CBOS;239445;neuropsicopedagogo institucional
dm_CBOS;251510;Psicólogo clínico
dm_CBOS;251545;Neuropsicólogo
dm_CBOS;251550;Psicanalista
dm_CBOS;251555;psicologo acunpunturista
dm_CBOS;251605;Assistente social
dm_CBOS;322120;massoterapeuta
dm_CBOS;322125;terapeuta holistico
dm_CBOS;322135;doula
dm_CBOS;322205;Técnico de enfermagem
dm_CBOS;322220;Técnico de enfermagem psiquiátrica
dm_CBOS;322225;Instrumentador cirúrgico
dm_CBOS;322230;Auxiliar de enfermagem
dm_CBOS;516210;Cuidador de idosos
dm_CBOS;999999;CBO-S desconhecido ou não informado pelo solicitante
dm_CBOSmonitor;131120;
dm_CBOSmonitor;131205;
dm_CBOSmonitor;131210;
dm_CBOSmonitor;2011;
dm_CBOSmonitor;201115;Geneticista
dm_CBOSmonitor;201115;Geneticista
dm_CBOSmonitor;203010;
dm_CBOSmonitor;203015;Pesquisador em biologia de microorganismos e parasitas
