competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;19;Terminologia de OPME;104731893;A-Oss Collagen;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731907;A-Oss Collagen - BAC100B;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731915;A-Oss Collagen - BAC150B;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731923;A-Oss Collagen - BAC250B;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731931;A-Oss Collagen - BAC500B;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731788;A-Oss Pen;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731842;A-Oss Pen - BAL02SG35;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731877;A-Oss Pen - BAL02SG54;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731850;A-Oss Pen - BAL05SG35;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731818;A-Oss Pen - BAL05SG54;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731826;A-Oss Pen - BAL10SG54;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731834;A-Oss Pen - BAS02SG35;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731869;A-Oss Pen - BAS02SG54;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731885;A-Oss Pen - BAS05SG35;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731796;A-Oss Pen - BAS05SG54;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104731800;A-Oss Pen - BAS10SG54;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618858;ABEVMY;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618866;ABEVMY;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676760;Accero Stent;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676779;Accero Stent - 01-000800;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676787;Accero Stent - 01-000801;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676914;Accero Stent - 01-000802;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676795;Accero Stent - 01-000803;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676809;Accero Stent - 01-000804;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676817;Accero Stent - 01-000805;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676825;Accero Stent - 01-000806;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676833;Accero Stent - 01-000807;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676841;Accero Stent - 01-000808;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676850;Accero Stent - 01-000810;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676868;Accero Stent - 01-000811;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676876;Accero Stent - 01-000813;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676884;Accero Stent - 01-000814;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676892;Accero Stent - 01-000841;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676906;Accero Stent - 01-000845;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814837;AccessPlus BBT;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90621123;ACSISA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620917;ADAPALENO + PERÓXIDO DE BENZOÍLA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816198;Adesivo CGM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620585;ADLYV;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104701781;ADVACRYL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104701773;ADVACRYL RAPID;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104701790;ADVAMRYL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814632;AGE ÓLEO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814500;AGESANI  Gaze de Rayon;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812540;Agulha de coleta de sangue múltipla de segurança;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813660;AGULHA DE INSUFLAÇÃO REUTILIZÁVEL E-MED;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815779;Agulha de Veress Descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815817;Agulha de Veress Descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813830;Agulha de Veress laparosAid;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816740;Agulha para Aspiração Ponta Romba;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816759;Agulha para Aspiração Ponta Romba;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816201;Agulha para Caneta de Insulina I;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816376;Agulha tipo Huber;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814411;Agulhas Arthrex;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812699;Alcool Swab;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619650;ALENTHUS XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619668;ALENTHUS XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619676;ALENTHUS XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619684;ALENTHUS XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812702;Algodão Apolo;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813865;Algodão ClinOff;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104817119;ALGODÃO FLOC;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814829;Algodão Hidrófilo Nature Care;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618629;ANASTROZOL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618637;ANASTROZOL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618645;ANASTROZOL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724668;Âncoras Fix2Lock Biocombi;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724676;Âncoras Fix2Lock Biocombi - BHD-4521-1030 - ANCORA FIX2LOCK BIOCOMBI KNOTLESS 4.5 - UMA FITA N2 - WH - GR - VENT HOLE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724684;Âncoras Fix2Lock Biocombi - BHD-5021-1030 - ANCORA FIX2LOCK BIOCOMBI KNOTLESS 5.0 - UMA FITA N2 - WH - GR - VENT HOLE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724781;Âncoras Fix2Lock Biocombi - BPD-4750-1030 - ANCORA FIX2LOCK BIOCOMBI KNOTLESS 4.75 - UMA FITA N2 - WH - GR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724692;Âncoras Fix2Lock Biocombi - BPH-4521-1030 - ANCORA FIX2LOCK BIOCOMBI HEALMAX LATERAL 4.5 - UMA SUTURA N2 - WH - GR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724790;Âncoras Fix2Lock Biocombi - BPH-4521-1110 - ANCORA FIX2LOCK BIOCOMBI HEALMAX LATERAL 4.5 - UMA SUTURA N2 - WH;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724706;Âncoras Fix2Lock Biocombi - BPH-4521-1120 - ANCORA FIX2LOCK BIOCOMBI HEALMAX LATERAL 4.5 - UMA SUTURA N2 - BL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724803;Âncoras Fix2Lock Biocombi - BPH-4521-1130 - ANCORA FIX2LOCK BIOCOMBI HEALMAX LATERAL 4.5 - UMA SUTURA N2 - WH - BK;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724714;Âncoras Fix2Lock Biocombi - BPH-4521-1140 - ANCORA FIX2LOCK BIOCOMBI HEALMAX LATERAL 4.5 - UMA SUTURA N2 - WH - BL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724811;Âncoras Fix2Lock Biocombi - BPH-4521-1910 - ANCORA FIX2LOCK BIOCOMBI KNOTLESS 4.5 - UMA FITA N2 - WH - VENT HOLE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724722;Âncoras Fix2Lock Biocombi - BPH-5021-1030 - ANCORA FIX2LOCK BIOCOMBI HEALMAX LATERAL 5.0 - UMA SUTURA N2 - WH - GR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724820;Âncoras Fix2Lock Biocombi - BPH-5021-1110 - ANCORA FIX2LOCK BIOCOMBI HEALMAX LATERAL 5.0 - UMA SUTURA N2 - WH;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724730;Âncoras Fix2Lock Biocombi - BPH-5021-1120 - ANCORA FIX2LOCK BIOCOMBI HEALMAX LATERAL 5.0 - UMA SUTURA N2 - BL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724838;Âncoras Fix2Lock Biocombi - BPH-5021-1130 - ANCORA FIX2LOCK BIOCOMBI HEALMAX LATERAL 5.0 - UMA SUTURA N2 - WH - BK;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724749;Âncoras Fix2Lock Biocombi - BPH-5021-1140 - ANCORA FIX2LOCK BIOCOMBI HEALMAX LATERAL 5.0 - UMA SUTURA N2 - WH - BL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724846;Âncoras Fix2Lock Biocombi - BPH-5021-1910 - ANCORA FIX2LOCK BIOCOMBI KNOTLESS 5.0 - UMA FITA N2 - WH - VENT HOLE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724757;Âncoras Fix2Lock Biocombi - BPL-4750-1030 - ANCORA FIX2LOCK BIOCOMBI LATERAL 4.75 - UMA SUTURA N2 - WH-GR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724854;Âncoras Fix2Lock Biocombi - BPL-4750-1110 - ANCORA FIX2LOCK BIOCOMBI KNOTLESS 4.75 - UMA SUTURA N2 - WH;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104724765;Âncoras Fix2Lock Biocombi - BPL-4750-1120 - ANCORA FIX2LOCK BIOCOMBI KNOTLESS 4.75 - UMA SUTURA N2 -BL;2026-02-01;;2026-04-30;Incluído
