competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;19;Terminologia de OPME;104814683;Bainha de Acesso Ureteral com Sucção ENDOSURG (modelo Y-Type);2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816350;Bainha de Acesso Ureteral Hidrofílico;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815760;Bainha Guia;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812842;BALÃO DE EXTRAÇÃO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815604;BANDAGEM DE TRAUMA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815345;BIO PREMA DIET - FRASCO DE NUTRIÇÃO ENTERAL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813547;BioChronic - Kit para Tratamento de dor Crônica;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90621107;BISINTEX;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90621115;BISINTEX;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812664;Bisturi Oftalmológico Descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618823;BLENREP;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618831;BLENREP;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813083;Bocal para Teste Respiratório;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816686;Bolsa Coletora de Urina;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816694;Bolsa Coletora de Urina Sistema Fechado;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816651;Bolsa de Drenagem;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815680;Bolsa Descartável para Coleta de Amostras Endoscópicas;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813210;BOLSA GELO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813032;BOLSA PARA COLETA DE SANGUE DEHP CPDA-1;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816821;Bolsa para Drenagem de Urina Sistema Fechado Vitromed;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814225;Bolsa para Estomia 1 Peça Drenável BeCare;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814217;Bolsa para Estomia 1 Peça Drenável com Clipe BeCare;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814233;Bolsa para Estomia 2 Peças BeCare;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814241;Bolsa para Estomia 2 Peças com Clipe BeCare;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813040;BOLSA PARA TRANSFERÊNCIA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814691;Bolsa Térmica Gel;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620534;BRATELM HCT;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620542;BRATELM HCT;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620550;BRATELM HCT;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620569;BRATELM HCT;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620577;BRATELM HCT;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815922;Broca Canulada para Endoscopia Monoportal Trinity Wolf;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618963;BUPICAN;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90621140;BUTANTAN-DV;2026-02-01;;2026-04-30;Incluído
