competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;20;Terminologia de Medicamentos;90619021;DANPEZIL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619030;DANPEZIL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619790;DAPAGLE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619803;DAPAGLE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619765;DAPAGLIFLOZINA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104817054;Deflex - Classic SR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104817062;DEFLEX ACETAL AC;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104817089;Deflex Acrilato FD;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104817046;Deflex M10 XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104817070;Deflex MELTYX;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104817038;DEFLEX SUPRA SF;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619692;DELUMI;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619706;DELUMI;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619714;DELUMI;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619722;DELUMI;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619730;DELUMI;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619749;DELUMI;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619757;DELUMI;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812850;Denssicath Multi- Purpose Drainage Catheter with Needle;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812869;Denssicath Multi-Purpose Drainage Catheter;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812877;Denssicath Multi-Purpose Drainage Catheter SET;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814551;Dental Zirconia Blank;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814780;Dermilon Película Protetora - Lenço Umedecido Estéril;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814799;Dermilon Plus Estéril;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619838;DESLORATADINA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619846;DESLORATADINA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619862;DICLORIDRATO DE LEVOCETIRIZINA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814560;DigiLine Direct Print Resin;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812419;Dima Print Denture Base 2;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619900;DIPBE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619919;DIPBE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619927;DIPIRONA SÓDICA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619889;DISP H;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620518;DISP H;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620526;DISP H;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812974;Dispositivo de Inflação EnlargerPro;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812966;Dispositivo de Insuflação Precombo;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816155;Dispositivo de Lavagem Nasal 240ml;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815728;Dispositivo de sutura de parede abdominal descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815744;Dispositivo descartável para hemorroidas anais;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812958;Dispositivo para Inflar Balões (tipo semi-pistola);2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812940;Dispositivo para Inflar Balões Shun Fountain;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676922;Dispositivo para Selamento Vascular Vasseal;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676930;Dispositivo para Selamento Vascular Vasseal - VCD-VS-5F - Dispositivo de Oclusão Vascular Vasseal 5F;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676949;Dispositivo para Selamento Vascular Vasseal - VCD-VS-6F - Dispositivo de Oclusão Vascular Vasseal 6F;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676957;Dispositivo para Selamento Vascular Vasseal - VCD-VS-7F - Dispositivo de Oclusão Vascular Vasseal 7F;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815965;DISPOSITIVO TASSO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104817135;DOCTIVE BLUE - EVIDENCIADOR DE PLACAS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104817143;DOCTIVE ORANGE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620135;DORE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104675276;Dragonfly Transcatheter Mitral Valve Repair System;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104675284;Dragonfly Transcatheter Mitral Valve Repair System - O sistema é composto de um Guiding Sheath (código: GS24800) e um Valve Clip System (código: SN0409);2026-02-01;;2026-04-30;Incluído
