competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;19;Terminologia de OPME;104814349;E-SolutionZir;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814845;Easy Flex Pro;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620089;ECZO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620097;ECZO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620100;ECZO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620119;ECZO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676450;Edwards EVOQUE Tricuspid Valve Replacement System;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676485;Edwards EVOQUE Tricuspid Valve Replacement System - 10500RL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676493;Edwards EVOQUE Tricuspid Valve Replacement System - 9850BA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676507;Edwards EVOQUE Tricuspid Valve Replacement System - 9850DK;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676515;Edwards EVOQUE Tricuspid Valve Replacement System - 9850EV44;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676523;Edwards EVOQUE Tricuspid Valve Replacement System - 9850EV48;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676531;Edwards EVOQUE Tricuspid Valve Replacement System - 9850EV52;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676574;Edwards EVOQUE Tricuspid Valve Replacement System - 9850LS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676469;Edwards EVOQUE Tricuspid Valve Replacement System - 9850LSA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676540;Edwards EVOQUE Tricuspid Valve Replacement System - 9850LSB;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676558;Edwards EVOQUE Tricuspid Valve Replacement System - 9850PT;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676566;Edwards EVOQUE Tricuspid Valve Replacement System - 9850SB;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676477;Edwards EVOQUE Tricuspid Valve Replacement System - 9850SZ;2026-02-01;;2026-04-30;Incluído
