competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;19;Terminologia de OPME;104816295;FACEMOLD AOMED;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687029;Família de Brocas Endodônticas Finishing RTD;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687037;Família de Brocas Endodônticas Finishing RTD - 1520111 - D.T. LIGHT-POST FINISHING DRILL #1;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687045;Família de Brocas Endodônticas Finishing RTD - 1520112 - D.T. LIGHT-POST FINISHING DRILL #2;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687053;Família de Brocas Endodônticas Finishing RTD - 1520113 - D.T. LIGHT-POST FINISHING DRILL #3;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687061;Família de Brocas Endodônticas Finishing RTD - 4520121 - FINISHING DRILL MACRO-LOCK #1;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687070;Família de Brocas Endodônticas Finishing RTD - 4520122 - FINISHING DRILL MACRO-LOCK #2;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687088;Família de Brocas Endodônticas Finishing RTD - 4520123 - FINISHING DRILL MACRO-LOCK #3;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687096;Família de Brocas Endodônticas Finishing RTD - 4520124 - FINISHING DRILL MACRO-LOCK #4;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687100;Família de Brocas Endodônticas Finishing RTD - 4520125 - FINISHING DRILL MACRO-LOCK #5;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687118;Família de Brocas Endodônticas Finishing RTD - 4520126 - FINISHING DRILL MACRO-LOCK #6;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687126;Família de Brocas Endodônticas Finishing RTD - 4820210 - MATCHPOST FINISHING DRILL 1.0;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687134;Família de Brocas Endodônticas Finishing RTD - 4820212 - MATCHPOST FINISHING DRILL 1.2;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687142;Família de Brocas Endodônticas Finishing RTD - 4820214 - MATCHPOST FINISHING DRILL 1.4;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687150;Família de Brocas Endodônticas Finishing RTD - 4820216 - MATCHPOST FINISHING DRILL 1.6;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104686960;Família de Brocas Endodônticas Universal e Starter RTD;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104686979;Família de Brocas Endodônticas Universal e Starter RTD - 1520110 - D.T. LIGHT-POST UNIVERSAL DRILL #0.5;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104686987;Família de Brocas Endodônticas Universal e Starter RTD - 4520119 - STARTER DRILL MACRO-LOCK #2;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104686995;Família de Brocas Endodônticas Universal e Starter RTD - 4520120 - STARTER DRILL MACRO-LOCK #1;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687002;Família de Brocas Endodônticas Universal e Starter RTD - 4820101 - MATCHPOST STARTER DRILL 1.0  1.2;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104687010;Família de Brocas Endodônticas Universal e Starter RTD - 4820102 - MATCHPOST STARTER DRILL 1.4  1.6;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814578;FAMÍLIA DE CACANHEIRA DE SILICONE PARA ESPORÃO CENTROPÉ;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104665947;FAMÍLIA DE COMPONENTES DE PRÓTESES EXTERNAS DE MEMBROS INFERIORES AMPARO II;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104665955;FAMÍLIA DE COMPONENTES DE PRÓTESES EXTERNAS DE MEMBROS INFERIORES AMPARO II - EVK - Elevated Vacuum Kit;2026-02-01;;2026-04-30;Incluído
