competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;20;Terminologia de Medicamentos;90619811;GAPOBAK;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619820;GAPOBAK;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813725;Garrote Red Care;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816309;Gaze comprimida em Z;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816333;GEL DE SILICONE PARA CICATRIZES - ALEXER;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814306;GENOVEN - MEIAS COMPRESSIVAS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619269;GLIFAGE XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619277;GLIFAGE XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619285;GLIFAGE XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619293;GLIFAGE XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619307;GLIFAGE XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619315;GLIFAGE XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619323;GLIFAGE XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619331;GLIFAGE XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619340;GLIFAGE XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619358;GLIFAGE XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619366;GLIFAGE XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619374;GLIFAGE XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619382;GLIFAGE XR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104668857;GORE EXCLUDER Conformable AAA Endoprosthesis;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104669179;GORE EXCLUDER Conformable AAA Endoprosthesis - CXA200005K (Endoprótese Extensor Aórtico);2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104669187;GORE EXCLUDER Conformable AAA Endoprosthesis - CXA230005K (Endoprótese Extensor Aórtico);2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104669195;GORE EXCLUDER Conformable AAA Endoprosthesis - CXA260005K (Endoprótese Extensor Aórtico);2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104669209;GORE EXCLUDER Conformable AAA Endoprosthesis - CXA280005K (Endoprótese Extensor Aórtico);2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104669217;GORE EXCLUDER Conformable AAA Endoprosthesis - CXA320005K (Endoprótese Extensor Aórtico);2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104669225;GORE EXCLUDER Conformable AAA Endoprosthesis - CXA360005K (Endoprótese Extensor Aórtico);2026-02-01;;2026-04-30;Incluído
