competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;19;Terminologia de OPME;104814080;HAIR IMPLANTER SHOMEA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661160;Halo One;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661232;Halo One (Revestido);2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661240;Halo One (Revestido) - HLO41018FH;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661259;Halo One (Revestido) - HLO41035FH;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661267;Halo One (Revestido) - HLO42535H;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661275;Halo One (Revestido) - HLO44535;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661283;Halo One (Revestido) - HLO47035;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661291;Halo One (Revestido) - HLO49035;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661305;Halo One (Revestido) - HLO51018FH;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661313;Halo One (Revestido) - HLO51035FH;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661321;Halo One (Revestido) - HLO52535H;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661330;Halo One (Revestido) - HLO54535;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661348;Halo One (Revestido) - HLO57035;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661356;Halo One (Revestido) - HLO59035;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661364;Halo One (Revestido) - HLO61035FH;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661372;Halo One (Revestido) - HLO62535H;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661380;Halo One (Revestido) - HLO64535;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661399;Halo One (Revestido) - HLO67035;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661402;Halo One (Revestido) - HLO69035;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104661178;Halo One - HLO41035F;2026-02-01;;2026-04-30;Incluído
