competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;19;Terminologia de OPME;104814586;I-MOTION;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620852;IMAAVY;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620860;IMAAVY;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673303;IMPLANTE LITE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673567;IMPLANTE LITE - LTCM 3507 - IMP. LITE CM11.5° Ø3.5X7MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673583;IMPLANTE LITE - LTCM 3510 - IMP. LITE CM11.5° Ø3.5X10MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673591;IMPLANTE LITE - LTCM 3511 - IMP. LITE CM11.5° Ø3.5X11.5MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673575;IMPLANTE LITE - LTCM 3513 - IMP. LITE CM11.5° Ø3.5X13MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673605;IMPLANTE LITE - LTCM 3515 - IMP. LITE CM11.5° Ø3.5X15MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673311;IMPLANTE LITE - LTCM 3518 - IMP. LITE CM11.5° Ø3.5X18MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673613;IMPLANTE LITE - LTCM 3585 - IMP. LITE CM11.5° Ø3.5X8.5MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673320;IMPLANTE LITE - LTCM 3807 - IMP. LITE CM11.5° Ø3.8X7MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673621;IMPLANTE LITE - LTCM 3810 - IMP. LITE CM11.5° Ø3.8X10MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673630;IMPLANTE LITE - LTCM 3811 - IMP. LITE CM11.5° Ø3.8X11.5MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673338;IMPLANTE LITE - LTCM 3813 - IMP. LITE CM11.5° Ø3.8X13MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673648;IMPLANTE LITE - LTCM 3815 - IMP. LITE CM11.5° Ø3.8X15MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673346;IMPLANTE LITE - LTCM 3818 - IMP. LITE CM11.5° Ø3.8X18MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673656;IMPLANTE LITE - LTCM 3885 - IMP. LITE CM11.5° Ø3.8X8.5MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673354;IMPLANTE LITE - LTCM 4007 - IMP. LITE CM11.5° Ø4.0X7MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673664;IMPLANTE LITE - LTCM 4010 - IMP. LITE CM11.5° Ø4.0X10MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673672;IMPLANTE LITE - LTCM 4011 - IMP. LITE CM11.5° Ø4.0X11.5MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673362;IMPLANTE LITE - LTCM 4013 - IMP. LITE CM11.5° Ø4.0X13MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673680;IMPLANTE LITE - LTCM 4015 - IMP. LITE CM11.5° Ø4.0X15MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673370;IMPLANTE LITE - LTCM 4018 - IMP. LITE CM11.5° Ø4.0X18MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673699;IMPLANTE LITE - LTCM 4085 - IMP. LITE CM11.5° Ø4.0X8.5MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673702;IMPLANTE LITE - LTCM 4507 - IMP. LITE CM11.5° Ø4.5X7MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673710;IMPLANTE LITE - LTCM 4510 - IMP. LITE CM11.5° Ø4.5X10MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673729;IMPLANTE LITE - LTCM 4511 - IMP. LITE CM11.5° Ø4.5X11.5MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673737;IMPLANTE LITE - LTCM 4513 - IMP. LITE CM11.5° Ø4.5X13MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673745;IMPLANTE LITE - LTCM 4515 - IMP. LITE CM11.5° Ø4.5X15MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673753;IMPLANTE LITE - LTCM 4518 - IMP. LITE CM11.5° Ø4.5X18MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673761;IMPLANTE LITE - LTCM 4585 - IMP. LITE CM11.5° Ø4.5X8.5MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673770;IMPLANTE LITE - LTCM 5007 - IMP. LITE CM11.5° Ø5.0X7MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673397;IMPLANTE LITE - LTCM 5010 - IMP. LITE CM11.5° Ø5.0X10MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673788;IMPLANTE LITE - LTCM 5011 - IMP. LITE CM11.5° Ø5.0X11.5MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673400;IMPLANTE LITE - LTCM 5013 - IMP. LITE CM11.5° Ø5.0X13MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673796;IMPLANTE LITE - LTCM 5015 - IMP. LITE CM11.5° Ø5.0X15MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673800;IMPLANTE LITE - LTCM 5018 - IMP. LITE CM11.5° Ø5.0X18MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673419;IMPLANTE LITE - LTCM 5085 - IMP. LITE CM11.5° Ø5.0X8.5MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673818;IMPLANTE LITE - LTHE 3210 - IMP. LITE HE Ø3.25X10MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673427;IMPLANTE LITE - LTHE 3211 - IMP. LITE HE Ø3.25X11.5MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673826;IMPLANTE LITE - LTHE 3213 - IMP. LITE HE Ø3.25X13MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673435;IMPLANTE LITE - LTHE 3215 - IMP. LITE HE Ø3.25X15MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673834;IMPLANTE LITE - LTHE 3218 - IMP. LITE HE Ø3.25X18MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673842;IMPLANTE LITE - LTHE 3285 - IMP. LITE HE Ø3.25X8.5MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673443;IMPLANTE LITE - LTHE 3507 - IMP. LITE HE Ø3.5X7MM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673850;IMPLANTE LITE - LTHE 3510 - IMP. LITE HE Ø3.5X10MM;2026-02-01;;2026-04-30;Incluído
