competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;20;Terminologia de Medicamentos;90620593;KIRSTY;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620607;KIRSTY;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620615;KIRSTY;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814438;KIT ATM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815116;KIT BIODISCECTOMIA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814187;Kit Campo Cirúrgico para Prótese de Quadril por Via Anterior OrtoMedical;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814381;KIT CÂNULA ACTIVEJOINT;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813121;Kit Cânula b.ClinicPro;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815868;Kit Cânula Broca Perfuração;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814969;Kit Cânula Carpo Access - HCS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816279;Kit Cânula CurActive Atlas FlexExpand;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815167;Kit Cânula de Agulha Easy Biopsy;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815159;Kit Cânula de Agulha Smart Biopsy;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814870;KIT CANULA DE APLICAÇÃO NEPHROSPEC;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815884;Kit Cânula de Discectomia Mecânica;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814543;KIT CÂNULA DE DISCECTOMIA PERCUTÂNEA VERODISC;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816112;KIT CÂNULA DEBRIDAÇÃO CORTANTE OVAL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816120;KIT CÂNULA DEBRIDAÇÃO DIAMANTADA OVAL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815132;Kit Cânula Dirigível para Bloqueio Bidirecional ORTHOGUIDE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815914;Kit Cânula Discectomy Block;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815191;Kit Cânula Dynamical EndoClear;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815221;Kit Cânula Dynamical Impact;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816287;Kit Cânula EndoDisc NeuroPoint;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816244;Kit Cânula EndoDisc OsteoPro;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816260;Kit Cânula EndoDisc PassClear Access;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816252;Kit Cânula EndoDisc UniBlock;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815841;Kit Cânula EXTRC Broca Cortante;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815892;Kit Cânula EXTRC Broca Diamantada;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814977;Kit Cânula Osteo Graft - HCS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815140;Kit Cânula para Endoscopia de Coluna ORTHODISC;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815833;Kit Cânula Relief Prime;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815876;Kit Cânula RFM Broca Cortante;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815850;Kit Cânula RFM Broca Diamantada;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815078;KIT CÂNULA SIALOGLANDS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815906;Kit Cânula Smart Block;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815205;Kit Cânula Spineedle EndoGuard;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815183;Kit Cânula Spineedle NeuroCore Pro;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815213;Kit Cânula Spineedle OsteoFix;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815990;Kit Cânula Therma Pain Twin;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816570;KIT CÂNULAS PARA BLOQUEIO NEURAL PERIFÉRICO COM OBTENÇÃO DE AMOSTRA TECIDUAL ÓSSEA E BIÓPSIA LOGAN;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815930;KIT CATETER DUPLO J;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816856;Kit Cateter Ureteral Duplo J;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815353;KIT CIRURGICO CATETERISMO VESICAL ESTÉRIL TAG;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813997;Kit Cirúrgico em U - Quadril II;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813059;KIT CIRÚRGICO ESTÉRIL GINECO / URO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813075;KIT CIRÚRGICO ORTOPEDIA DE JOELHO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813067;KIT CIRÚRGICO PARA CESÁREA;2026-02-01;;2026-04-30;Incluído
