competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;20;Terminologia de Medicamentos;90620674;LACOSAMIDA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620682;LACOSAMIDA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620690;LACOSAMIDA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620704;LACOSAMIDA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620712;LACOSAMIDA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618882;LACRIFILM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815795;Lâmina de Laringoscópio Descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813814;Lanceta para Glicosímetro MedLevensohn;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620143;LARC;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812478;LEAF EXPANDER EXPANSOR ORTODÔNTICO LEONE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673273;Lente Acrílica Hidrofóbica Intraocular Dobrável Extend;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673281;Lente Acrílica Hidrofóbica Intraocular Dobrável Extend - Extend BN;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673290;Lente Acrílica Hidrofóbica Intraocular Dobrável Extend - Extend SL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673222;Lente Acrílica Hidrofóbica Intraocular Dobrável Intensity HP;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673230;Lente Acrílica Hidrofóbica Intraocular Dobrável Intensity HP - Intensity BN HP;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104673249;Lente Acrílica Hidrofóbica Intraocular Dobrável Intensity HP - Intensity SL HP;2026-02-01;;2026-04-30;Incluído
