competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;19;Terminologia de OPME;104812761;M-TEC CURATIVO HIDROFIBRA EXTRA COM PRATA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104817240;Malhas Pós-Cirúrgica;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815256;MANTA TÉRMICA Unik e Easy Control;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816520;Marcapasso Externo;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812370;Máscara Cirúrgica Descartável UNIQMED;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816341;Máscara CPAP;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812486;Máscara de Silicone com Coxim Inflável Newmed;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814330;MÁSCARA DESCARTÁVEL CIRURGICA NANOLIFE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815590;Mascara KN95;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812575;Máscara Oronasal NIV ClassicStar Plus;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814519;MÁSCARA PARA TRAQUEOSTOMIA - HAIFLOW;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814390;MÁSCARA RCP;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816910;MÁSCARA TRIPLA DESCARTÁVEL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816104;Máscara Tripla Descartável BetterCare;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816635;MASCARA TRIPLA DESCARTÁVEL COM ELASTICO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813903;Máscara tripla descartável Zelara;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815493;Matriz de eletrodos Neuroscan Quick-Cap - Compumedics;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620798;MEBENDAZOL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815507;Medifin - Compressa de Gaze Parafinada;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815515;Mediswab - Compressa de Gaze (Estéril);2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90621093;METALYSE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813580;Microcateter ASAHI Tellus Ponta Angulada;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813598;Microcateter ASAHI Tellus Ponta Reta;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814250;Micromanipulador de Laser;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678119;MINI PARAFUSO OASYS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678127;MINI PARAFUSO OASYS - 30.60.0601 - Inter-radicular - Ø1,6 x 6,0 x 1,0 mm  Premium/Plus - 02 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678135;MINI PARAFUSO OASYS - 30.60.0602 - Inter-radicular - Ø1,6 x 6,0 x 2,0 mm  Premium/Plus - 02 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678143;MINI PARAFUSO OASYS - 30.60.0603 - Inter-radicular - Ø1,6 x 6,0 x 1,0 mm  Premium/Plus - 01 peça;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678151;MINI PARAFUSO OASYS - 30.60.0604 - Inter-radicular - Ø1,6 x 6,0 x 2,0 mm  Premium/Plus - 01 peça;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678160;MINI PARAFUSO OASYS - 30.60.0801 - Inter-radicular - Ø1,6 x 8,0 x 1,0 mm  Premium/Plus - 02 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678178;MINI PARAFUSO OASYS - 30.60.0802 - Inter-radicular - Ø1,6 x 8,0 x 2,0 mm  Premium/Plus - 02 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678186;MINI PARAFUSO OASYS - 30.60.0803 - Inter-radicular - Ø1,6 x 8,0 x 1,0 mm  Premium/Plus - 01 peça;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678194;MINI PARAFUSO OASYS - 30.60.0804 - Inter-radicular - Ø1,6 x 8,0 x 2,0 mm  Premium/Plus - 01 peça;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678208;MINI PARAFUSO OASYS - 30.61.0804 - Extra-alveolar - Ø2,1 x 8,0 x 4,0 mm  Premium/Plus - 01 peça;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678216;MINI PARAFUSO OASYS - 30.61.0805 - Extra-alveolar - Ø2,1 x 8,0 x 4,0 mm  Premium/Plus - 02 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678224;MINI PARAFUSO OASYS - 30.61.1004 - Extra-alveolar - Ø2,1 x 10,0 x 4,0 mm  Premium/Plus - 01 peça;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678232;MINI PARAFUSO OASYS - 30.61.1005 - Extra-alveolar - Ø2,1 x 10,0 x 4,0 mm  Premium/Plus - 02 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678240;MINI PARAFUSO OASYS - 30.61.1204 - Extra-alveolar - Ø2,1 x 12,0 x 4,0 mm  Premium/Plus - 01 peça;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678259;MINI PARAFUSO OASYS - 30.61.1205 - Extra-alveolar - Ø2,1 x 12,0 x 4,0 mm  Premium/Plus - 02 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678267;MINI PARAFUSO OASYS - 30.62.9000 - Kit Premium/Plus Completo - 11 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678275;MINI PARAFUSO OASYS - 30.62.9001 - Kit Premium/Plus Completo - 14 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678283;MINI PARAFUSO OASYS - 30.62.9002 - Kit Premium/Plus Completo - 07 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678291;MINI PARAFUSO OASYS - 30.62.9003 - Kit Inter-radicular Premium/Plus - 08 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678305;MINI PARAFUSO OASYS - 30.62.9004 - Kit Inter-radicular Premium/Plus - 04 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678313;MINI PARAFUSO OASYS - 30.62.9005 - Kit Extra-alveolar Premium/Plus - 03 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678321;MINI PARAFUSO OASYS - 30.62.9006 - Kit Extra-alveolar Premium/Plus - 06 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678330;MINI PARAFUSO OASYS - 30.62.9007 - Kit Standard Completo - 11 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678348;MINI PARAFUSO OASYS - 30.62.9008 - Kit Standard Completo - 14 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678356;MINI PARAFUSO OASYS - 30.62.9009 - Kit Standard Completo - 07 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678364;MINI PARAFUSO OASYS - 30.62.9010 - Kit Inter-radicular Standard - 08 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678372;MINI PARAFUSO OASYS - 30.62.9011 - Kit Inter-radicular Standard - 04 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678380;MINI PARAFUSO OASYS - 30.62.9012 - Kit Extra-alveolar Standard - 03 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678399;MINI PARAFUSO OASYS - 30.62.9013 - Kit Extra-alveolar Standard - 06 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678402;MINI PARAFUSO OASYS - 31.60.0601 - Inter-radicular - Ø1,6 x 6,0 x 1,0 mm  Standard - 02 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678410;MINI PARAFUSO OASYS - 31.60.0602 - Inter-radicular - Ø1,6 x 6,0 x 2,0 mm  Standard - 02 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678429;MINI PARAFUSO OASYS - 31.60.0603 - Inter-radicular - Ø1,6 x 6,0 x 1,0 mm  Standard - 01 peça;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678437;MINI PARAFUSO OASYS - 31.60.0604 - Inter-radicular - Ø1,6 x 6,0 x 2,0 mm  Standard - 01 peça;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678445;MINI PARAFUSO OASYS - 31.60.0801 - Inter-radicular - Ø1,6 x 8,0 x 1,0 mm  Standard - 02 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678453;MINI PARAFUSO OASYS - 31.60.0802 - Inter-radicular - Ø1,6 x 8,0 x 2,0 mm  Standard - 02 peças;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678461;MINI PARAFUSO OASYS - 31.60.0803 - Inter-radicular - Ø1,6 x 8,0 x 1,0 mm  Standard - 01 peça;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678470;MINI PARAFUSO OASYS - 31.60.0804 - Inter-radicular - Ø1,6 x 8,0 x 2,0 mm  Standard - 01 peça;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104678488;MINI PARAFUSO OASYS - 31.61.0804 - Extra-alveolar - Ø2,1 x 8,0 x 4,0 mm  Standard - 01 peça;2026-02-01;;2026-04-30;Incluído
