competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;20;Terminologia de Medicamentos;90620828;NAPROXENO SODICO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620836;NAPROXENO SODICO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619528;NARANETY;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619498;NARATRIN;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619501;NARCEF;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814942;NasoGuide;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104701803;NC Loach;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702354;NC Loach - 6956014428184 - 1 UNIDADE: NCRX 2.0×9 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.0mm, Comprimento do balão 9mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702362;NC Loach - 6956014428188 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 2.0×9 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.0mm, Comprimento do balão 9mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704217;NC Loach - 6956014428232 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 2.25×9 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.25mm, Comprimento do balão 9mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702370;NC Loach - 6956014428238 - 1 UNIDADE: NCRX 2.25×9 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.25mm, Comprimento do balão 9mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704225;NC Loach - 6956014428263 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 2.5×9 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.5mm, Comprimento do balão 9mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704233;NC Loach - 6956014428269 - 1 UNIDADE: NCRX 2.5×9 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.5mm, Comprimento do balão 9mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704241;NC Loach - 6956014428270 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 2.75×9 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.75mm, Comprimento do balão 9mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702150;NC Loach - 6956014428276 - 1 UNIDADE: NCRX 2.75×9 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.75mm, Comprimento do balão 9mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704250;NC Loach - 6956014428283 - 1 UNIDADE: NCRX 3.0×9 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 3.0mm, Comprimento do balão 9mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702168;NC Loach - 6956014428287 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 3.0×9 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 3.0mm, Comprimento do balão 9mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702176;NC Loach - 6956014428331 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 3.5×12 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 3.5mm, Comprimento do balão 12mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704268;NC Loach - 6956014428337 - 1 UNIDADE: NCRX 3.5×12 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 3.5mm, Comprimento do balão 12mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702184;NC Loach - 6956014428375 - 1 UNIDADE: NCRX 3.75×12 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 3.75mm, Comprimento do balão 12mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704276;NC Loach - 6956014428379 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 3.75×12 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 3.75mm, Comprimento do balão 12mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702192;NC Loach - 6956014428382 - 1 UNIDADE: NCRX 4.0×12 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 4.0mm, Comprimento do balão 12mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704284;NC Loach - 6956014428386 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 4.0×12 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 4.0mm, Comprimento do balão 12mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702206;NC Loach - 6956014428481 - 1 UNIDADE: NCRX 4.5×12 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 4.5mm, Comprimento do balão 12mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702214;NC Loach - 6956014428485 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 4.5×12 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 4.5mm, Comprimento do balão 12mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704292;NC Loach - 6956014428492 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 5.0×12 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 5.0mm, Comprimento do balão 12mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702222;NC Loach - 6956014428498 - 1 UNIDADE: NCRX 5.0×12 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 5.0mm, Comprimento do balão 12mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704306;NC Loach - 6956014428553 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 5.5×12 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 5.5mm, Comprimento do balão 12mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702230;NC Loach - 6956014428559 - 1 UNIDADE: NCRX 5.5×12 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 5.5mm, Comprimento do balão 12mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704314;NC Loach - 6956014438015 - 1 UNIDADE: NCRX 3.5×6 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 3.5mm, Comprimento do balão 6mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104701811;NC Loach - 6956014438019 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 3.5×6 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 3.5mm, Comprimento do balão 6mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104701820;NC Loach - 6956014438022 - 1 UNIDADE: NCRX 2.0×6 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.0mm, Comprimento do balão 6mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704322;NC Loach - 6956014438026 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 2.0×6 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.0mm, Comprimento do balão 6mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104701838;NC Loach - 6956014438033 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 2.0×30 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.0mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704330;NC Loach - 6956014438039 - 1 UNIDADE: NCRX 2.0×30 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.0mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104701846;NC Loach - 6956014438040 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 2.5×30 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.5mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704349;NC Loach - 6956014438046 - 1 UNIDADE: NCRX 2.5×30 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.5mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104701854;NC Loach - 6956014438053 - 1 UNIDADE: NCRX 2.75×30 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.75mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704357;NC Loach - 6956014438057 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 2.75×30 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 2.75mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704365;NC Loach - 6956014438060 - 1 UNIDADE: NCRX 3.75×8 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 3.75mm, Comprimento do balão 8mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104701889;NC Loach - 6956014438064 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 3.75×8 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 3.75mm, Comprimento do balão 8mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704373;NC Loach - 6956014438071 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 4.0×8 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 4.0mm, Comprimento do balão 8mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702010;NC Loach - 6956014438077 - 1 UNIDADE: NCRX 4.0×8 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 4.0mm, Comprimento do balão 8mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704381;NC Loach - 6956014438084 - 1 UNIDADE: NCRX 4.5×8 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 4.5mm, Comprimento do balão 8mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702028;NC Loach - 6956014438088 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 4.5×8 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 4.5mm, Comprimento do balão 8mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702036;NC Loach - 6956014438091 - 1 UNIDADE: NCRX 5.0×8 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 5.0mm, Comprimento do balão 8mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704390;NC Loach - 6956014438095 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 5.0×8 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 5.0mm, Comprimento do balão 8mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702044;NC Loach - 6956014438121 - 1 UNIDADE: NCRX 1.5×6 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 1.5mm, Comprimento do balão 6mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704403;NC Loach - 6956014438125 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 1.5×6 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 1.5mm, Comprimento do balão 6mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104702052;NC Loach - 6956014438132 - 50 UNIDADES POR CAIXA DE EMBARQUE: NCRX 1.5×8 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 1.5mm, Comprimento do balão 8mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704411;NC Loach - 6956014438138 - 1 UNIDADE: NCRX 1.5×8 - Cateter Balão para Dilatação Coronária NC, Diâmetro do Balão 1.5mm, Comprimento do balão 8mm;2026-02-01;;2026-04-30;Incluído
