competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;19;Terminologia de OPME;104816031;OPTA CORPUS MALHAS COMPRESSIVAS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620941;OPTINÓVIS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620950;OPTINÓVIS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816619;ORTESE COMPRESSIVA ABDOMINAL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816147;Órtese de Remodelação Craniana Starlight;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814209;Órteses para Correção Postural Dellamed;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816929;ÓRTESES TEXBOM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814314;Ostomy Bag (Bolsa de Ostomia);2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620232;OTOSYLASE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618513;OVIDREL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620887;OXALATO DE ESCITALOPRAM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104817232;Oxigenador de membrana descartável LifeMotion;2026-02-01;;2026-04-30;Incluído
