competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;19;Terminologia de OPME;104816392;Palmilha anatômica supinada;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620895;PANTOPRAZOL MAGNÉSICO DIIDRATADO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620909;PANTOPRAZOL SÓDICO SESQUI-HIDRATADO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814179;PARAFUSOS PRÓTETICOS, CLINICOS E PARA PILARES.;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620771;PARAGRIPE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620780;PARAGRIPE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618505;PAVBLU;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619587;PAZOVANT;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619595;PAZOVANT;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104695714;PERFECTHA DERM LIDOCAINE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104695722;PERFECTHA DERM LIDOCAINE - PDL - 1 blíster contendo 1 (uma) seringa com 1ml do ativo.;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104695730;PERFECTHA FINELINES LIDOCAINE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104695749;PERFECTHA FINELINES LIDOCAINE - PDFLL - 1 blíster contendo 1 (uma) seringa com 1ml do ativo.;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814489;Perio-Mate Powder;2026-02-01;;2026-04-30;Incluído
