competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;20;Terminologia de Medicamentos;90620801;RAZAPINA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813024;Recargas ECHELON LINEAR;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619471;REDUXALT;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619480;REDUXALT;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816830;RegenKit-THT;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813601;Rennova Cannula PERFECT FLOW;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104679425;Rennova Club - Ácido Hialurônico;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104679441;Rennova Club - Ácido Hialurônico - Rennova Lift Vibe Lido;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104679433;Rennova Club - Ácido Hialurônico - Rennova Lift Volume Lido Club;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104679395;Rennova Club - Preenchimento Dérmico;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104679417;Rennova Club - Preenchimento Dérmico - Rennova Fill Glow Lido;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104679409;Rennova Club - Preenchimento Dérmico - Rennova Fill Lido Club;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104679360;Rennova Club - Preenchimento Dérmico de ácido hialurônico;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104679379;Rennova Club - Preenchimento Dérmico de ácido hialurônico - Rennova Lift Derm Lido Club;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104679387;Rennova Club - Preenchimento Dérmico de ácido hialurônico - Rennova Lift Enjoy Lido;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812532;RESINA COMPOSTA NANO-HÍBRIDA FLUIDA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814276;Respireo Hospital F2 NV com válvula anti asfixia - Descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814284;Respireo Hospital NV com válvula anti asfixia - Descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104790407;RESTOREXL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104790415;RESTOREXL - RestoreXL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620968;ROSUVASTATINA CÁLCICA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620976;ROSUVASTATINA CALCICA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816597;Roupa Privativa;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813644;Russell Chest Seal;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813652;Russell PneumoFix-8;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815400;RZ Agulha de Sutura;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815396;RZ Kit Agulhas para Sutura;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815418;RZ Passador de Sutura;2026-02-01;;2026-04-30;Incluído
