competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;19;Terminologia de OPME;104816945;SAFEBRUSH - Intensive Oral Care;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813695;SALTS - FILME BARREIRA - Lenço;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813679;SALTS - Pasta para Estomia;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813687;SALTS - Removedor de Adesivos - Spray;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813148;Scalp Biobase;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676620;Scan Body;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676639;Scan Body - TSMSBC;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676655;Scan Body - TSNSBML;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676736;Scan Body - TSNSBMLTH;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676647;Scan Body - TSNSBMS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676728;Scan Body - TSNSBMSTH;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676671;Scan Body - TSNSBRL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676752;Scan Body - TSNSBRLTH;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676663;Scan Body - TSNSBRS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676744;Scan Body - TSNSBRSTH;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676698;Scan Body - TSNSBSML;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676680;Scan Body - TSNSBSMS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676710;Scan Body - TSNSBSRL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104676701;Scan Body - TSNSBSRS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620623;SEMGLEE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620631;SEMGLEE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814071;SenoMark UltraCor MRI Titanium;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816724;Seringa Descartável Bico Cateter;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816473;SF BLOCK;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704616;Shun Loach;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704624;Shun Loach - 6596014429123 - 50 UNIDADES POR CAIXA DE EMBARQUE: RX 3.25×30 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 3.25mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704640;Shun Loach - 6596014429129 - 1 UNIDADE: RX 3.25×30 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 3.25mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704632;Shun Loach - 6956014428023 - 1 UNIDADE: RX 1.5×9 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 1.5mm, Comprimento do balão 9mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704659;Shun Loach - 6956014428027 - 50 UNIDADES POR CAIXA DE EMBARQUE: RX 1.5×9 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 1.5mm, Comprimento do balão 9mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104707089;Shun Loach - 6956014428030 - 1 UNIDADE: RX 1.5×30 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 1.5mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104707097;Shun Loach - 6956014428034 - 50 UNIDADES POR CAIXA DE EMBARQUE: RX 1.5×30 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 1.5mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704667;Shun Loach - 6956014428041 - 50 UNIDADES POR CAIXA DE EMBARQUE: RX 1.75×30 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 1.75mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104707100;Shun Loach - 6956014428047 - 1 UNIDADE: RX 1.75×30 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 1.75mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704675;Shun Loach - 6956014428054 - 1 UNIDADE: RX 2.0×30 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 2.0mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104707119;Shun Loach - 6956014428058 - 50 UNIDADES POR CAIXA DE EMBARQUE: RX 2.0×30 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 2.0mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704683;Shun Loach - 6956014428061 - 1 UNIDADE: RX 2.5×30 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 2.5mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704691;Shun Loach - 6956014428065 - 50 UNIDADES POR CAIXA DE EMBARQUE: RX 2.5×30 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 2.5mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104707127;Shun Loach - 6956014428072 - 50 UNIDADES POR CAIXA DE EMBARQUE: RX 2.75×30 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 2.75mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104704705;Shun Loach - 6956014428078 - 1 UNIDADE: RX 2.75×30 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 2.75mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104707135;Shun Loach - 6956014428085 - 1 UNIDADE: RX 3.5×30 - Cateter Balão para Dilatação PTCA, Diâmetro do Balão 3.5mm, Comprimento do balão 30mm;2026-02-01;;2026-04-30;Incluído
