competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;20;Terminologia de Medicamentos;90620755;TAMIRAM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812362;Tampa protetora PureHub;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814160;Tennis Elbow Duplo;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816937;TIPOIA ORTOPÉDICA TEXBOM;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90619617;TOLREST;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816732;Torneira 3 vias Descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816074;TORNEIRA 3 VIAS RESISTENTE A LIPIDIOS;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812400;TORNEIRA DE TRÊS VIAS INJEX;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812796;TORNEIRA DE TRÊS VIAS SURPLUG AD;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815710;Torniquete descartável para artéria radial;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620640;TOSSEXPEC;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816970;TOUCA DESCARTÁVEL - ALPDESK;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813920;Touca descartável com elástico Zelara;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816023;TOUCAS E GORROS MEDTÊXTIL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618521;TRANQUINAL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618530;TRANQUINAL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618548;TRANQUINAL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104816880;TRAQUEIA DE SILICONE;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618556;TRIFAMOX;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618564;TRIFAMOX;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618572;TRIFAMOX;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618580;TRIFAMOX;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618599;TRIFAMOX;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90618602;TRIFAMOX;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620658;TRIKAFTA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620666;TRIKAFTA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815787;Trocarte Laparoscópico Descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815809;Trocarte Laparoscópico Descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815663;Trocarte Laparoscópico Descartável Multicanal de Porta Única;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814195;Trocarte para Laparoscopia OrtoMedical;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815698;Trocarte Torácico Descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815612;TROCARTER LAPAROSCÓPICO ENDO + BRASIL;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813555;Tropovisc PRP Kit;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815655;Tubo de Irrigação e Sucção Descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815450;TUBO DE TRAQUEOSTOMIA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815736;Tubo endobronquial de duplo lúmen estéril descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104815647;Tubo Endotraqueal Descartável;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813954;Tubo extensor para equipo ZELARA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812788;TUBO EXTENSOR SURPLUG AD;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104812923;TUBO PARA ALIMENTAÇÃO GASTRO-JEJUNAL MIC* - COLOCAÇÃO ENDOSCÓPICA E RADIOLÓGICA;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104814012;Tubos de Amostra de Gases Para Capnografia  Estéreis ETO;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104813849;TUBOS PARA MANGUITO DE PRESSÃO NÃO INVASIVA (PNI) E CONECTORES PARA MANGUITO DE PRESSÃO NÃO INVASIVA (PNI);2026-02-01;;2026-04-30;Incluído
