competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;19;Terminologia de OPME;104793252;Velofix;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793295;Velofix - PE141205 CERVICAL 14X12X5;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793309;Velofix - PE141206 CERVICAL 14X12X6;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793317;Velofix - PE141207 CERVICAL 14X12X7;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793325;Velofix - PE141208 CERVICAL 14X12X8;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793333;Velofix - PE141209 CERVICAL 14X12X9;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793341;Velofix - PE141210 CERVICAL 14X12X10;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793350;Velofix - PE141405 CERVICAL 14X14X5;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793368;Velofix - PE141406 CERVICAL 14X14X6;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793376;Velofix - PE141407 CERVICAL 14X14X7;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793384;Velofix - PE141408 CERVICAL 14X14X8;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793392;Velofix - PE141409 CERVICAL 14X14X9;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793406;Velofix - PE141410 CERVICAL 14X14X10;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793414;Velofix - PE161405 CERVICAL 16X14X5;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793422;Velofix - PE161406 CERVICAL 16X14X6;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793430;Velofix - PE161407 CERVICAL 16X14X7;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793449;Velofix - PE161408 CERVICAL 16X14X8;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793457;Velofix - PE161409 CERVICAL 16X14X9;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793465;Velofix - PE161410 CERVICAL 16X14X10;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793473;Velofix - PLA1007 LOMBAR 22X0OX7;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793481;Velofix - PLA1008 LOMBAR 22X0OX8;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793490;Velofix - PLA1009 LOMBAR 22X0OX9;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793503;Velofix - PLA1010 LOMBAR 22X0OX10;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793511;Velofix - PLA1011 LOMBAR 22X0OX11;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793520;Velofix - PLA1012 LOMBAR 22X0OX12;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793538;Velofix - PLA1013 LOMBAR 22X0OX13;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793546;Velofix - PLA1014 LOMBAR 22X0OX14;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793554;Velofix - PLA1016 LOMBAR 22X0OX16;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793562;Velofix - PLA1408 LOMBAR 22X4OX8;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793570;Velofix - PLA1409 LOMBAR 22X4OX9;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793589;Velofix - PLA1410 LOMBAR 22X4OX10;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793597;Velofix - PLA1411 LOMBAR 22X4OX11;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793600;Velofix - PLA1412 LOMBAR 22X4OX12;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104794429;Velofix - PLA1413 LOMBAR 22X4OX13;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104793619;Velofix - PLA1414 LOMBAR 22X4OX14;2026-02-01;;2026-04-30;Incluído
