competencia;codigo_terminologia;terminologia;codigo_termo;termo;inicio_vigencia;fim_vigencia;fim_implantacao;tipo_acao
Janeiro/2026;19;Terminologia de OPME;104815124;Zirconia Dental Ceramics;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700602;Zynlastic TM Sistema de Stent;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700610;Zynlastic TM Sistema de Stent - ZY1010060P - stent P 10x10mm x 60mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700629;Zynlastic TM Sistema de Stent - ZY1010060X - stent X 10x10mm x 60mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700637;Zynlastic TM Sistema de Stent - ZY1010080P - stent P 10x10mm x 80mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700645;Zynlastic TM Sistema de Stent - ZY1010080X - stent X 10x10mm x 80mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700653;Zynlastic TM Sistema de Stent - ZY1010100X - stent X 10x10mm x 100mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700661;Zynlastic TM Sistema de Stent - ZY1210080P - stent P 12x10mm x 80mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700670;Zynlastic TM Sistema de Stent - ZY1210080X - stent X 12x10mm x 80mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700688;Zynlastic TM Sistema de Stent - ZY1210100X - stent X 12x10mm x 100mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700696;Zynlastic TM Sistema de Stent - ZY1210120X - stent X 12x10mm x 120mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700700;Zynlastic TM Sistema de Stent - ZY1212060P - stent P 12x12mm x 60mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700718;Zynlastic TM Sistema de Stent - ZY1212060X - stent X 12x12mm x 60mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700823;Zynlastic TM Sistema de Stent - ZY1212080P - stent P 12x12mm x 80mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700831;Zynlastic TM Sistema de Stent - ZY1212080X - stent X 12x12mm x 80mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700840;Zynlastic TM Sistema de Stent - ZY1212100X - stent X 12x12mm x 100mm sheath 9Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700858;Zynlastic TM Sistema de Stent - ZY1410120X - stent X 14x10mm x 120mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700866;Zynlastic TM Sistema de Stent - ZY1412080P - stent P 14x12mm x 80mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700874;Zynlastic TM Sistema de Stent - ZY1412080X - stent X 14x12mm x 80mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700882;Zynlastic TM Sistema de Stent - ZY1412100X - stent X 14x12mm x 100mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700890;Zynlastic TM Sistema de Stent - ZY1412120X - stent X 14x12mm x 120mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700904;Zynlastic TM Sistema de Stent - ZY1414060P - stent P 14x14mm x 60mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700912;Zynlastic TM Sistema de Stent - ZY1414060X - stent X 14x14mm x 60mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700920;Zynlastic TM Sistema de Stent - ZY1414080P - stent P 14x14mm x 80mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700939;Zynlastic TM Sistema de Stent - ZY1414080X - stent X 14x14mm x 80mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700726;Zynlastic TM Sistema de Stent - ZY1414100X - stent X 14x14mm x 100mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700734;Zynlastic TM Sistema de Stent - ZY1414120X - stent X 14x14mm x 120mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700742;Zynlastic TM Sistema de Stent - ZY1612120X - stent X 16x12mm x 120mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700750;Zynlastic TM Sistema de Stent - ZY1614080P - stent P 16x14mm x 80mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700769;Zynlastic TM Sistema de Stent - ZY1614080X - stent X 16x14mm x 80mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700777;Zynlastic TM Sistema de Stent - ZY1614100X - stent X 16x14mm x 100mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700785;Zynlastic TM Sistema de Stent - ZY1614120X - stent X 16x14mm x 120mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700793;Zynlastic TM Sistema de Stent - ZY1616060P - stent P 16x16mm x 60mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700807;Zynlastic TM Sistema de Stent - ZY1616060X - stent X 16x16mm x 60mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700815;Zynlastic TM Sistema de Stent - ZY1616080P - stent P 16x16mm x 80mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700947;Zynlastic TM Sistema de Stent - ZY1616080X - stent X 16x16mm x 80mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700955;Zynlastic TM Sistema de Stent - ZY1616100X - stent X 16x16mm x 100mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;19;Terminologia de OPME;104700963;Zynlastic TM Sistema de Stent - ZY1616120X - stent X 16x16mm x 120mm sheath 10Fr;2026-02-01;;2026-04-30;Incluído
Janeiro/2026;20;Terminologia de Medicamentos;90620763;ZYNLONTA;2026-02-01;;2026-04-30;Incluído
