nome_tecnico;codigo_tuss
Componente femoral para artroplastia de joelho;77381270
COMPONENTES ACETABULARES;72023082
COMPONENTES DE CABEÇA FEMORAIS;72023090
COMPONENTES FEMORAIS - HASTES;72023112
COMPONENTES FEMORAIS NÃO MODULARES PARA ARTICULAÇÃO DO QUADRIL;72023120
COMPONENTES FEMORAIS PARA ARTICULAÇÃO DE JOELHO;72023139
COMPONENTES PATELARES;72392037
COMPONENTES TIBIAIS PARA ARTICULAÇÃO DE JOELHO;72023147
Inserto articular fixo para artroplastia de joelho;77381351
NÚCLEOS ACETABULARES;72023260
Plataforma tibial para artroplastia de joelho;77381688
PRÓTESES TOTAIS DE JOELHO;72392169
PRÓTESES TOTAIS DO QUADRIL;72392177
STENT FARMACOLÓGICO PARA ARTÉRIAS CORONÁRIAS;71447148
STENT PARA ARTÉRIAS CORONÁRIAS;71447180
