registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
80207450002;II;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA;SINO MEDICAL-DEVICE TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80207450004;II;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA;Sino Medical-Device Technology CO., Ltd;CHINA, REPÚBLICA POPULAR
80207450005;II;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA;SINO MEDICAL-DEVICE TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80207450011;II;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA;SINO MEDICAL-DEVICE TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80207450012;II;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA;PRECISION MEDICAL PLASTICS, LTD;CHINA, REPÚBLICA POPULAR
80207450013;II;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA;SHANDONG WEIGAO GROUP MEDICAL POLYMER CO., LTD.;CHINA, REPÚBLICA POPULAR
80207450014;II;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA;SHANDONG WEIGAO GROUP MEDICAL POLYMER CO., LTD.;CHINA, REPÚBLICA POPULAR
80207450015;II;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA;SHANDONG WEIGAO GROUP MEDICAL POLYMER CO., LTD.;CHINA, REPÚBLICA POPULAR
80207450016;II;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA;HMC Premedical Spa;ITÁLIA
80207459001;I;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA;EUROLATEX SDN. BHD.;MALÁSIA
80207459003;II;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA;ROKIT HEALTHCARE, INC.;CORÉIA DO SUL
82304250001;I;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA;1000MEDIC DISTRIBUIDORA IMPORTADORA EXPORTADORA DE MEDICAMENTOS LTDA;BRASIL
81130710005;I;2I PRODUTOS ODONTOLOGICOS E MEDICO-HOSPITALARES LTDA - EPP;2I PRODUTOS ODONTOLOGICOS E MEDICO-HOSPITALARES LTDA - EPP;BRASIL
81130710006;I;2I PRODUTOS ODONTOLOGICOS E MEDICO-HOSPITALARES LTDA - EPP;2I PRODUTOS ODONTOLOGICOS E MEDICO-HOSPITALARES LTDA - EPP;BRASIL
81130710007;I;2I PRODUTOS ODONTOLOGICOS E MEDICO-HOSPITALARES LTDA - EPP;2I PRODUTOS ODONTOLOGICOS E MEDICO-HOSPITALARES LTDA - EPP;BRASIL
81130710008;I;2I PRODUTOS ODONTOLOGICOS E MEDICO-HOSPITALARES LTDA - EPP;2I PRODUTOS ODONTOLOGICOS E MEDICO-HOSPITALARES LTDA - EPP;BRASIL
81130710009;I;2I PRODUTOS ODONTOLOGICOS E MEDICO-HOSPITALARES LTDA - EPP;2I PRODUTOS ODONTOLOGICOS E MEDICO-HOSPITALARES LTDA - EPP;BRASIL
