registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
81024200001;I;A B DESCARTÁVEIS INDUSTRIA E COMERCIO LTDA - ME;A B DESCARTÁVEIS INDUSTRIA E COMERCIO LTDA - ME;BRASIL
81024209001;I;A B DESCARTÁVEIS INDUSTRIA E COMERCIO LTDA - ME;A B DESCARTÁVEIS INDUSTRIA E COMERCIO LTDA - ME;BRASIL
81024209002;I;A B DESCARTÁVEIS INDUSTRIA E COMERCIO LTDA - ME;A B DESCARTÁVEIS INDUSTRIA E COMERCIO LTDA - ME;BRASIL
81366020001;II;A G INDUSTRIA E COMERCIO DE MATERIAIS HOSPITALAR LTDA;YANGZHOU MEDLINE INDUSTRY CO.LTD;CHINA, REPÚBLICA POPULAR
81366020002;I;A G INDUSTRIA E COMERCIO DE MATERIAIS HOSPITALAR LTDA;A G INDUSTRIA E COMERCIO DE MATERIAIS HOSPITALAR LTDA;BRASIL
81366020003;I;A G INDUSTRIA E COMERCIO DE MATERIAIS HOSPITALAR LTDA;A G INDUSTRIA E COMERCIO DE MATERIAIS HOSPITALAR LTDA;BRASIL
81366020006;I;A G INDUSTRIA E COMERCIO DE MATERIAIS HOSPITALAR LTDA;A G INDUSTRIA E COMERCIO DE MATERIAIS HOSPITALAR LTDA;BRASIL
81366020007;I;A G INDUSTRIA E COMERCIO DE MATERIAIS HOSPITALAR LTDA;A G INDUSTRIA E COMERCIO DE MATERIAIS HOSPITALAR LTDA;BRASIL
81366020009;I;A G INDUSTRIA E COMERCIO DE MATERIAIS HOSPITALAR LTDA;A G INDUSTRIA E COMERCIO DE MATERIAIS HOSPITALAR LTDA;BRASIL
81897190002;I;A GRINGS S. A.;A GRINGS S. A.;BRASIL
81897190003;I;A GRINGS S. A.;A GRINGS S. A.;BRASIL
80559230002;I;A MODERNA LINGERIE LTDA;A MODERNA LINGERIE LTDA;BRASIL
81481070033;II;A&B DO BRASIL COMERCIAL LTDA;FEATHER SAFETY RAZOR CO LTD;JAPÃO
81481070034;I;A&B DO BRASIL COMERCIAL LTDA;SUN OBERFLÄCHENTEHNIK GMBH;ALEMANHA
81481070035;I;A&B DO BRASIL COMERCIAL LTDA;SUN OBERFLÄCHENTEHNIK GMBH;ALEMANHA
81481070036;I;A&B DO BRASIL COMERCIAL LTDA;SUN OBERFLÄCHENTEHNIK GMBH;ALEMANHA
81481070037;I;A&B DO BRASIL COMERCIAL LTDA;SUN OBERFLÄCHENTEHNIK GMBH;ALEMANHA
81481070038;I;A&B DO BRASIL COMERCIAL LTDA;SUN OBERFLÄCHENTEHNIK GMBH;ALEMANHA
81481070045;I;A&B DO BRASIL COMERCIAL LTDA;SIKANDER AND BROTHER COMPANY;PAQUISTÃO
81481070047;I;A&B DO BRASIL COMERCIAL LTDA;SIKANDER AND BROTHER COMPANY;PAQUISTÃO
81481079001;II;A&B DO BRASIL COMERCIAL LTDA;PASCAL INTERNATIONAL, INC.;ESTADOS UNIDOS DA AMÉRICA
81481079006;II;A&B DO BRASIL COMERCIAL LTDA;DR, HOPF GMBH&CO.KG (SUNSHINE DIAMONDS);ALEMANHA
81481079007;II;A&B DO BRASIL COMERCIAL LTDA;DR, HOPF GMBH&CO.KG (SUNSHINE DIAMONDS);ALEMANHA
80410410001;I;A. G. INDÚSTRIA E COMÉRCIO DE ARTEFATOS PLÁSTICOS LTDA. - EPP;A. G. INDÚSTRIA E COMÉRCIO DE ARTEFATOS PLÁSTICOS LTDA. - EPP;BRASIL
80410410002;I;A. G. INDÚSTRIA E COMÉRCIO DE ARTEFATOS PLÁSTICOS LTDA. - EPP;A. G. INDÚSTRIA E COMÉRCIO DE ARTEFATOS PLÁSTICOS LTDA. - EPP;BRASIL
80410410007;I;A. G. INDÚSTRIA E COMÉRCIO DE ARTEFATOS PLÁSTICOS LTDA. - EPP;A. G. INDÚSTRIA E COMÉRCIO DE ARTEFATOS PLÁSTICOS LTDA. - EPP;BRASIL
80344980001;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;E-M MEDICAL TREATMENT AND ELECTRON (SUZHOU) CO. LTD.;CHINA, REPÚBLICA POPULAR
80344980005;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;E-M MEDICAL TREATMENT AND ELECTRON (SUZHOU) CO. LTD.;CHINA, REPÚBLICA POPULAR
80344980007;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;MT. DERM MEDICAL PRODUCTS PVT LTD;ÍNDIA
80344980007;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;MT.DERM GMBH;ALEMANHA
80344980008;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;E-M MEDICAL TREATMENT AND ELECTRON (SUZHOU) CO. LTD.;CHINA, REPÚBLICA POPULAR
80344980010;I;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;Yiwu Yuantai Import and Export CO., LTD;CHINA, REPÚBLICA POPULAR
80344980011;I;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;Yiwu Yuantai Import and Export CO., LTD;CHINA, REPÚBLICA POPULAR
80344980012;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980013;I;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;Yiwu Yuantai Import and Export CO., LTD;CHINA, REPÚBLICA POPULAR
80344980014;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980015;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;Yiwu Yuantai Import and Export CO., LTD;CHINA, REPÚBLICA POPULAR
80344980016;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980017;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980018;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980019;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980020;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980021;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980022;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980023;I;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980024;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980025;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980026;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980031;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980032;I;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980034;I;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980035;I;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;WUXI WEMADE HEALTHCARE PRODUCTS CO., LTD;CHINA, REPÚBLICA POPULAR
80344980036;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;Yiwu Yuantai Import and Export CO., LTD;CHINA, REPÚBLICA POPULAR
80344980037;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;SHANGHAI YOUDING INTERNATIONAL TRADING CO., LTD;CHINA, REPÚBLICA POPULAR
80344980038;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;SHANGHAI YOUDING INTERNATIONAL TRADING CO., LTD;CHINA, REPÚBLICA POPULAR
80344980039;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;SHANGHAI YOUDING INTERNATIONAL TRADING CO., LTD;CHINA, REPÚBLICA POPULAR
80344980040;I;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980042;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980044;I;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;Yiwu Yuantai Import and Export CO., LTD;CHINA, REPÚBLICA POPULAR
80344980046;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980048;I;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980051;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980052;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344980053;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989001;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989002;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989003;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989004;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989005;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989006;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989007;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989008;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989009;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989010;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989011;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989012;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;HANGZHOU WENMEI TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989013;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU AIMENG BEAUTY EQUIPMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989014;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU AIMENG BEAUTY EQUIPMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989015;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;HANGZHOU WENMEI TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989016;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;MT.DERM GMBH;ALEMANHA
80344989017;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;T.TECH TATTOO INC.;CANADÁ
80344989018;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989019;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;HANGZHOU WENMEI TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989021;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;BRASIL
80344989021;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989022;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;BRASIL
80344989022;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
