registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
82815139001;II;B & D IMPORTACOES LTDA;WUJIANG DINGLONG MEDICAL INSTRUMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
81766110001;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
81766110002;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
81766110003;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
81766110004;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
81766110005;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
81766110006;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
81766110007;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
81766110011;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
81766110012;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
81766110013;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
81766110014;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
81766110016;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
81766110017;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
81766110018;I;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;B HOVE COMERCIO E INDUSTRIA DE PRODUTOS ABRASIVOS LTDA;BRASIL
82164560001;I;B&C IMPORTACAO E EXPORTACAO LTDA;QINGYUAN ZHENXING MEDICAL DEVICE MANUFACTURING CO., LTD;CHINA, REPÚBLICA POPULAR
80170310004;III;BACE COMÉRCIO INTERNACIONAL LTDA;;
