registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
81451140001;I;C E C IMPORTACAO E COMERCIO DE PRODUTOS MEDICOS LTDA;GOLDSTAR MEDICAL INSTRUMENTS;PAQUISTÃO
81743340000;III;C R MONTEIRO PINTO APARELHOS AUDITIVOS;;
81743340000;III;C R MONTEIRO PINTO APARELHOS AUDITIVOS;HEINZ KURZ GMBH;ALEMANHA
81743340001;III;C R MONTEIRO PINTO APARELHOS AUDITIVOS;;
81743340001;III;C R MONTEIRO PINTO APARELHOS AUDITIVOS;HEINZ KURZ GMBH;ALEMANHA
10218510001;II;C.B.S. MEDICO CIENTIFICA LTDA;PARAMOUNT SURGIMED LIMITED;ÍNDIA
10218510002;II;C.B.S. MEDICO CIENTIFICA LTDA;PARAMOUNT SURGIMED LTDA;ÍNDIA
10218510003;II;C.B.S. MEDICO CIENTIFICA LTDA;PARAMOUNT SURGIMED LIMITED;ÍNDIA
82189810001;I;C.M. ORATHES CONFECCOES E EQUIPAMENTOS LTDA;C.M. ORATHES CONFECCOES E EQUIPAMENTOS LTDA;BRASIL
82189810003;I;C.M. ORATHES CONFECCOES E EQUIPAMENTOS LTDA;C.M. ORATHES CONFECCOES E EQUIPAMENTOS LTDA;BRASIL
82189810004;I;C.M. ORATHES CONFECCOES E EQUIPAMENTOS LTDA;C.M. ORATHES CONFECCOES E EQUIPAMENTOS LTDA;BRASIL
80286580001;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;FORTUNE MEDICAL INSTRUMENT CORP;TAIWAN
80286580002;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;Changzhou Jiuhong Medical Instrument Co. Ltd.;CHINA, REPÚBLICA POPULAR
80286580004;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;Changzhou Jiuhong Medical Instrument Co. Ltd.;CHINA, REPÚBLICA POPULAR
80286580005;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;Shangxian Minimal Invasive Inc.;CHINA, REPÚBLICA POPULAR
80286580006;I;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580008;I;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580009;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580010;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580011;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580012;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580013;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580014;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580015;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580016;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580017;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580018;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580019;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580020;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580021;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE AND TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80286580022;I;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;JIANGSU VEDKANG MEDICAL SCIENCE & TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
80286580023;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;CHANGZHOU JIUHONG MEDICAL INSTRUMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
80286589001;II;C.M.H. COMÉRCIO DE MATERIAIS HOSPITALARES LTDA;MARFLOW AG;SUÍÇA
82103010001;I;C3 BREATHE SUPRIMENTOS E EQUIPAMENTOS MEDICOS HOSPITALARES LTDA;C3 BREATHE SUPRIMENTOS E EQUIPAMENTOS MEDICOS HOSPITALARES LTDA;BRASIL
82103010002;I;C3 BREATHE SUPRIMENTOS E EQUIPAMENTOS MEDICOS HOSPITALARES LTDA;C3 BREATHE SUPRIMENTOS E EQUIPAMENTOS MEDICOS HOSPITALARES LTDA;BRASIL
82103010003;I;C3 BREATHE SUPRIMENTOS E EQUIPAMENTOS MEDICOS HOSPITALARES LTDA;C3 BREATHE SUPRIMENTOS E EQUIPAMENTOS MEDICOS HOSPITALARES LTDA;BRASIL
82103010004;I;C3 BREATHE SUPRIMENTOS E EQUIPAMENTOS MEDICOS HOSPITALARES LTDA;C3 BREATHE SUPRIMENTOS E EQUIPAMENTOS MEDICOS HOSPITALARES LTDA;BRASIL
82291380002;I;CADRI INDUSTRIA DE CONFECÇÃO LTDA;CADRI INDUSTRIA DE CONFECÇÃO LTDA;BRASIL
80403360001;I;CAITHEC COMERCIO E INDUSTRIA S.A;CAITHEC COMERCIO E INDUSTRIA S.A;BRASIL
80403360003;II;CAITHEC COMERCIO E INDUSTRIA S.A;CAITHEC COMERCIO E INDUSTRIA S.A;BRASIL
80403360005;I;CAITHEC COMERCIO E INDUSTRIA S.A;SHANGHAI DOCHEM INDUSTRIES CO.,LTD;CHINA, REPÚBLICA POPULAR
80403360006;I;CAITHEC COMERCIO E INDUSTRIA S.A;Shangai Dochen Industries Co. Ltd;CHINA, REPÚBLICA POPULAR
