registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
80522110004;I;D AQUINO INDUSTRIA E COMERCIO DE MOVEIS HOSPITALARES LTDA - EPP;D AQUINO INDUSTRIA E COMERCIO DE MOVEIS HOSPITALARES LTDA - EPP;BRASIL
80749650001;I;D´JOOL INDUSTRIA COMERCIO E REPRESENTAÇÕES LTDA;D´JOOL INDUSTRIA COMERCIO E REPRESENTAÇÕES LTDA;BRASIL
80749650003;I;D´JOOL INDUSTRIA COMERCIO E REPRESENTAÇÕES LTDA;D´JOOL INDUSTRIA COMERCIO E REPRESENTAÇÕES LTDA;BRASIL
82906840001;I;D&D PRODUTOS PARA A SAUDE LTDA;UHEALTH MEDICAL (BEIJING) PRODUCTS CO. LTD.;CHINA, REPÚBLICA POPULAR
82906840002;I;D&D PRODUTOS PARA A SAUDE LTDA;UHEALTH MEDICAL (BEIJING) PRODUCTS CO. LTD.;CHINA, REPÚBLICA POPULAR
82906840003;I;D&D PRODUTOS PARA A SAUDE LTDA;UHEALTH MEDICAL (BEIJING) PRODUCTS CO. LTD.;CHINA, REPÚBLICA POPULAR
81178350012;II;D&I COMÉRCIO DE EQUIPAMENTOS MÉDICOS LTDA.;Medin Medical Innovations GMBH;ALEMANHA
81178350013;I;D&I COMÉRCIO DE EQUIPAMENTOS MÉDICOS LTDA.;Medin Medical Innovations GMBH;ALEMANHA
81178350014;II;D&I COMÉRCIO DE EQUIPAMENTOS MÉDICOS LTDA.;Medin Medical Innovations GMBH;ALEMANHA
81178359003;II;D&I COMÉRCIO DE EQUIPAMENTOS MÉDICOS LTDA.;SHENZHEN LIFOTRONIC TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
81178359007;II;D&I COMÉRCIO DE EQUIPAMENTOS MÉDICOS LTDA.;SHENZHEN UPNMED EQUIPMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
81178359008;II;D&I COMÉRCIO DE EQUIPAMENTOS MÉDICOS LTDA.;SHENZHEN UPNMED EQUIPMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
81178359010;II;D&I COMÉRCIO DE EQUIPAMENTOS MÉDICOS LTDA.;SHENZHEN UPNMED EQUIPMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
81178359011;II;D&I COMÉRCIO DE EQUIPAMENTOS MÉDICOS LTDA.;SHENZHEN UPNMED EQUIPMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
82509179001;II;D. P. S. COMERCIO DE MATERIAIS MEDICOS E HOSPITALARES LTDA;TRANSMED (CHINA) CO., LTD.;CHINA, REPÚBLICA POPULAR
82509179002;II;D. P. S. COMERCIO DE MATERIAIS MEDICOS E HOSPITALARES LTDA;TRANSMED (CHINA) CO., LTD.;CHINA, REPÚBLICA POPULAR
80339810001;I;D.C.M.A. PRODUTOS MÉDICOS E ODONTOLÓGICOS LTDA - EPP;D.C.M.A. PRODUTOS MÉDICOS E ODONTOLÓGICOS LTDA - EPP;BRASIL
80339819001;I;D.C.M.A. PRODUTOS MÉDICOS E ODONTOLÓGICOS LTDA - EPP;D.C.M.A. PRODUTOS MÉDICOS E ODONTOLÓGICOS LTDA - EPP;BRASIL
80339819002;I;D.C.M.A. PRODUTOS MÉDICOS E ODONTOLÓGICOS LTDA - EPP;D.C.M.A. PRODUTOS MÉDICOS E ODONTOLÓGICOS LTDA - EPP;BRASIL
81516390001;III;D.I.B.I. MEDICAL DISTRIBUIDORA DE PRODUTOS PARA SAUDE E MEDICAMENTOS LTDA;;
81516390001;III;D.I.B.I. MEDICAL DISTRIBUIDORA DE PRODUTOS PARA SAUDE E MEDICAMENTOS LTDA;SHANGHAI WINNER PLASTIC SURGERY PRODUCTS CO. LTD;CHINA, REPÚBLICA POPULAR
10099430100;IV;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;;
10099430100;IV;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;NATUS MEDICAL INCORPORATED;ESTADOS UNIDOS DA AMÉRICA
10099430123;IV;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;;
10099430123;IV;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;NATUS MEDICAL INCORPORATED;ESTADOS UNIDOS DA AMÉRICA
10099430209;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;EVONOS GMBH & CO.KG;ALEMANHA
10099430217;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;BIEN-AIR SURGERY SA;SUÍÇA
10099430218;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;BIEN-AIR SURGERY SA;SUÍÇA
10099430219;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;BIEN-AIR SURGERY SA;SUÍÇA
10099430222;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;BIEN-AIR SURGERY SA;SUÍÇA
10099430223;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;BIEN-AIR SURGERY SA;SUÍÇA
10099439015;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;INTEGRA RADIONICS, INC.;ESTADOS UNIDOS DA AMÉRICA
10099439017;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;BIEN-AIR SURGERY SA;SUÍÇA
10099439018;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;BIEN-AIR SURGERY SA;SUÍÇA
10099439019;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;BRASIL
10099439020;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;BIEN-AIR SURGERY SA;SUÍÇA
10099439021;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;BIEN-AIR SURGERY SA;SUÍÇA
10099439024;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;MEDICON EG, CHIRURGIEMECHANIKER-GENOSSENSCHAFT;ALEMANHA
10099439027;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;EVONOS GMBH & CO. KG;ALEMANHA
10099439028;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;FLOW NEUROSCIENCE AB;SUÉCIA
10099439029;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;BIEN-AIR SURGERY SA;SUÍÇA
10099439032;II;DABASONS IMPORTACAO EXPORTACAO E COMERCIO LTDA;BIEN-AIR SURGERY SA;SUÍÇA
81565140001;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;EVEREAST MEDICAL PRODUCTS GROUP CO. LTD.;CHINA, REPÚBLICA POPULAR
81565140015;I;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;BEIJING HONGHUGAOXIANG SCIENCE AND TECHNOLOGY DEVELOPMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
81565149001;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;EVEREAST MEDICAL PRODUCTS GROUP CO. LTD.;CHINA, REPÚBLICA POPULAR
81565149002;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;EVEREAST MEDICAL PRODUCTS GROUP CO. LTD.;CHINA, REPÚBLICA POPULAR
81565149004;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;EVEREAST MEDICAL PRODUCTS GROUP CO. LTD.;CHINA, REPÚBLICA POPULAR
81565149005;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;TSUNAMI MEDICAL SRL;ITÁLIA
81565149006;III;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;;
81565149006;III;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;TSUNAMI MEDICAL SRL;ITÁLIA
81565149008;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;Jiangsu Province Huaxing Medical Apparatus Industry Co., Ltd.;CHINA, REPÚBLICA POPULAR
81565149009;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;EVEREAST MEDICAL PRODUCTS GROUP CO. LTD.;CHINA, REPÚBLICA POPULAR
81565149010;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;EVEREAST MEDICAL PRODUCTS GROUP CO. LTD.;CHINA, REPÚBLICA POPULAR
81565149011;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;PARAMOUNT SURGIMED LIMITED;ÍNDIA
81565149012;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;TSUNAMI MEDICAL SRL;ITÁLIA
81565149013;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;TSUNAMI MEDICAL SRL;ITÁLIA
81565149014;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;TSUNAMI MEDICAL SRL;ITÁLIA
81565149015;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;TSUNAMI MEDICAL SRL;ITÁLIA
81565149016;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;SHANGHAI KINDLY MEDICAL INSTRUMENTS CO., LTD.;CHINA, REPÚBLICA POPULAR
81565149017;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;JIANGSU PROVINCE HUAXING MEDICAL APPARATUS INDUSTRY CO., LTD;CHINA, REPÚBLICA POPULAR
81565149018;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;JIANGSU PROVINCE HUAXING MEDICAL APPARATUS INDUSTRY CO., LTD;CHINA, REPÚBLICA POPULAR
81565149019;II;DAFA SURGICAL DISTRIBUIDORA DE MATERIAIS CIRURGICOS LTDA EPP;JIANGSU PROVINCE HUAXING MEDICAL APPARATUS INDUSTRY CO., LTD;CHINA, REPÚBLICA POPULAR
