registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
80002190020;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190022;II;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190023;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190024;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190025;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190026;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190027;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190028;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190029;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190030;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190031;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190032;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190033;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190036;II;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190037;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190038;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190039;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190040;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190041;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190042;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190045;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190046;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
80002190047;I;E DE GODOY BRAGANCA TEXTIL-epp;E DE GODOY BRAGANCA TEXTIL;BRASIL
81890960001;I;E MEDIC BRASIL COMERCIO E IMPORTACAO DE PRODUTOS MEDICOS LTDA;WUHAN PAKCARE BIO-TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
81890960002;I;E MEDIC BRASIL COMERCIO E IMPORTACAO DE PRODUTOS MEDICOS LTDA;WUHAN PAKCARE BIO-TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
81890960003;I;E MEDIC BRASIL COMERCIO E IMPORTACAO DE PRODUTOS MEDICOS LTDA;WUHAN PAKCARE BIO-TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
81890960005;I;E MEDIC BRASIL COMERCIO E IMPORTACAO DE PRODUTOS MEDICOS LTDA;E MEDIC BRASIL COMERCIO E IMPORTACAO DE PRODUTOS MEDICOS LTDA;BRASIL
10212990001;II;E TAMUSSINO E CIA LTDA;COOK INCORPORATED;ESTADOS UNIDOS DA AMÉRICA
10212990007;IV;E TAMUSSINO E CIA LTDA;;
10212990007;IV;E TAMUSSINO E CIA LTDA;COOK INCORPORATED;ESTADOS UNIDOS DA AMÉRICA
10212990008;II;E TAMUSSINO E CIA LTDA;COOK INCORPORATED;ESTADOS UNIDOS DA AMÉRICA
10212990014;II;E TAMUSSINO E CIA LTDA;COOK INCORPORATED;ESTADOS UNIDOS DA AMÉRICA
10212990018;IV;E TAMUSSINO E CIA LTDA;;
10212990018;IV;E TAMUSSINO E CIA LTDA;COOK INCORPORATED;ESTADOS UNIDOS DA AMÉRICA
10212990019;IV;E TAMUSSINO E CIA LTDA;;
10212990019;IV;E TAMUSSINO E CIA LTDA;COOK INCORPORATED;ESTADOS UNIDOS DA AMÉRICA
10212990020;II;E TAMUSSINO E CIA LTDA;COOK INCORPORATED;ESTADOS UNIDOS DA AMÉRICA
10212990021;II;E TAMUSSINO E CIA LTDA;COOK INCORPORATED;ESTADOS UNIDOS DA AMÉRICA
10212990031;III;E TAMUSSINO E CIA LTDA;;
10212990031;III;E TAMUSSINO E CIA LTDA;COOK INCORPORATED;ESTADOS UNIDOS DA AMÉRICA
10212990037;IV;E TAMUSSINO E CIA LTDA;;
10212990037;IV;E TAMUSSINO E CIA LTDA;COOK INCORPORATED;ESTADOS UNIDOS DA AMÉRICA
10212990040;II;E TAMUSSINO E CIA LTDA;COOK ENDOSCOPY;ESTADOS UNIDOS DA AMÉRICA
10212990040;II;E TAMUSSINO E CIA LTDA;WILSON COOK MEDICAL, INC;ESTADOS UNIDOS DA AMÉRICA
10212990044;II;E TAMUSSINO E CIA LTDA;COOK ENDOSCOPY;ESTADOS UNIDOS DA AMÉRICA
