registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
80013980001;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980002;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980003;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980004;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980006;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980008;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980010;I;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980011;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980012;IV;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980013;I;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980014;IV;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980017;I;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980018;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980019;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980020;IV;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980024;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980025;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980026;I;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980027;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980028;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980029;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980030;IV;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980031;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980032;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980033;I;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;CONFI-DENTAL PRODUCTS CO.;ESTADOS UNIDOS DA AMÉRICA
80013980034;IV;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980035;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980036;IV;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980037;I;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980038;IV;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980039;I;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980040;II;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
80013980041;IV;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;F & A LABORATÓRIO FARMACÊUTICO LTDA-ME;BRASIL
81743480002;I;F B F IMPORTADORA, EXPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA SAÚDE - LTDA;;
81743480003;I;F B F IMPORTADORA, EXPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA SAÚDE - LTDA;SUZHOU ZHONGJING LIFE & SCIENCE TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
81743480004;II;F B F IMPORTADORA, EXPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA SAÚDE - LTDA;SUZHOU ZHONGJING LIFE & SCIENCE TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
81743489001;II;F B F IMPORTADORA, EXPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA SAÚDE - LTDA;SUZHOU ZHONGJING LIFE & SCIENCE TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
82596910001;I;F M NEIVA BEAUTY INDUSTRIA COSMETICO LTDA;F M NEIVA BEAUTY INDUSTRIA COSMETICO LTDA;BRASIL
82596910002;I;F M NEIVA BEAUTY INDUSTRIA COSMETICO LTDA;F M NEIVA BEAUTY INDUSTRIA COSMETICO LTDA;BRASIL
82349160001;I;F MEDICAL QUALIDADE EM PARAMENTACAO LTDA;F MEDICAL QUALIDADE EM PARAMENTACAO LTDA;BRASIL
82349160003;I;F MEDICAL QUALIDADE EM PARAMENTACAO LTDA;F MEDICAL QUALIDADE EM PARAMENTACAO LTDA;BRASIL
82349160005;I;F MEDICAL QUALIDADE EM PARAMENTACAO LTDA;F MEDICAL QUALIDADE EM PARAMENTACAO LTDA;BRASIL
