registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
80601260001;II;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;BERNHARD FORSTER GMBH;ALEMANHA
80601260002;II;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;BERNHARD FORSTER GMBH;ALEMANHA
80601260003;I;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;BERNHARD FORSTER GMBH;ALEMANHA
80601260005;I;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;DYNAFLEX LTD.;ESTADOS UNIDOS DA AMÉRICA
80601260007;II;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;BERNHARD FÖRSTER , GMBH;ALEMANHA
80601260008;II;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;BERNHARD FORSTER GMBH;ALEMANHA
80601260009;II;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;BERNHARD FORSTER GMBH;ALEMANHA
80601260011;I;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;SHANGHAI COHERZ TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
80601260012;I;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;SHANGHAI COHERZ TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
80601260013;I;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;SHANGHAI COHERZ TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
80601260014;I;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;SHANGHAI COHERZ TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
80601269001;I;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;BERNHARD FORSTER GMBH;ALEMANHA
80601269002;II;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;G & M ORTHODONTICS EQUIPAMENTOS ORTODONTICOS LTDA - EPP;BRASIL
81125210002;I;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210005;I;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210014;II;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210015;II;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210018;II;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210020;I;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210027;I;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210030;I;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210031;I;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210033;I;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210036;II;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210039;II;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210040;II;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210043;II;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125210046;II;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
81125219008;II;G C DE ALMEIDA E CIA LTDA - ME;G C DE ALMEIDA E CIA LTDA - ME;BRASIL
82240530001;I;G CAMPOS MATERIAL HOSPITALAR LTDA;NOVATECH SCIENTIFIC LLC;ESTADOS UNIDOS DA AMÉRICA
82240539001;II;G CAMPOS MATERIAL HOSPITALAR LTDA;NOVATECH SCIENTIFIC;ESTADOS UNIDOS DA AMÉRICA
82240539002;II;G CAMPOS MATERIAL HOSPITALAR LTDA;NOVATECH SCIENTIFIC;ESTADOS UNIDOS DA AMÉRICA
82240539004;II;G CAMPOS MATERIAL HOSPITALAR LTDA;NOVATECH SCIENTIFIC;ESTADOS UNIDOS DA AMÉRICA
82240539005;II;G CAMPOS MATERIAL HOSPITALAR LTDA;NOVATECH SCIENTIFIC;ESTADOS UNIDOS DA AMÉRICA
82240539006;II;G CAMPOS MATERIAL HOSPITALAR LTDA;NOVATECH SCIENTIFIC;ESTADOS UNIDOS DA AMÉRICA
82240539007;II;G CAMPOS MATERIAL HOSPITALAR LTDA;NOVATECH SCIENTIFIC;ESTADOS UNIDOS DA AMÉRICA
82240539008;II;G CAMPOS MATERIAL HOSPITALAR LTDA;NOVATECH SCIENTIFIC;ESTADOS UNIDOS DA AMÉRICA
82240539010;II;G CAMPOS MATERIAL HOSPITALAR LTDA;NOVATECH SCIENTIFIC LLC;ESTADOS UNIDOS DA AMÉRICA
82240539013;II;G CAMPOS MATERIAL HOSPITALAR LTDA;NOVATECH SCIENTIFIC LLC;ESTADOS UNIDOS DA AMÉRICA
82240539014;II;G CAMPOS MATERIAL HOSPITALAR LTDA;NOVATECH SCIENTIFIC LLC;ESTADOS UNIDOS DA AMÉRICA
82240539015;II;G CAMPOS MATERIAL HOSPITALAR LTDA;MEDLINK SCIENCE LLC;ESTADOS UNIDOS DA AMÉRICA
82240539016;II;G CAMPOS MATERIAL HOSPITALAR LTDA;OCN BUSINESS, LLC;ESTADOS UNIDOS DA AMÉRICA
80542260001;I;G D RUFINO LTDA EPP;G D RUFINO LTDA EPP;BRASIL
