registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
82720060001;I;H EGIDIO TRADE IMPORTACOES & EXPORTACOES LTDA;TEC GLOVES AMERICAS S.A.;ARGENTINA
82720060002;I;H EGIDIO TRADE IMPORTACOES & EXPORTACOES LTDA;TEC GLOVES AMERICAS S.A.;ARGENTINA
82720060003;I;H EGIDIO TRADE IMPORTACOES & EXPORTACOES LTDA;TEC GLOVES AMERICAS S.A.;ARGENTINA
82720060004;I;H EGIDIO TRADE IMPORTACOES & EXPORTACOES LTDA;TEC GLOVES AMERICAS S.A.;ARGENTINA
82720060005;I;H EGIDIO TRADE IMPORTACOES & EXPORTACOES LTDA;TEC GLOVES AMERICAS S.A.;ARGENTINA
82720060006;I;H EGIDIO TRADE IMPORTACOES & EXPORTACOES LTDA;TEC GLOVES AMERICAS S.A.;ARGENTINA
82720060007;I;H EGIDIO TRADE IMPORTACOES & EXPORTACOES LTDA;STERIMED SURGICALS INDIA PVT. LTD.;ÍNDIA
82720069001;II;H EGIDIO TRADE IMPORTACOES & EXPORTACOES LTDA;NUBENO HEALTHCARE PRIVATE LIMITED;ÍNDIA
10302860090;II;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860111;II;H STRATTNER E CIA LTDA;KARL STORZ GMBH & CO;ALEMANHA
10302860114;I;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860148;II;H STRATTNER E CIA LTDA;KARL STORZ GMBH & CO. KG;ALEMANHA
10302860149;I;H STRATTNER E CIA LTDA;MTP - MEDICAL TECHINICAL PROMOTION GMBH;ALEMANHA
10302860153;I;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860154;I;H STRATTNER E CIA LTDA;MICROTEK DOMINICA SA;DOMINICANA, REPÚBLICA
10302860154;I;H STRATTNER E CIA LTDA;MICROTEK MEDICAL INC;ESTADOS UNIDOS DA AMÉRICA
10302860155;I;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860162;I;H STRATTNER E CIA LTDA;MTP - MEDICAL TECHINICAL PROMOTION GMBH;ALEMANHA
10302860164;II;H STRATTNER E CIA LTDA;MTP - MEDICAL TECHINICAL PROMOTION GMBH;ALEMANHA
10302860165;II;H STRATTNER E CIA LTDA;MTP - MEDICAL TECHINICAL PROMOTION GMBH;ALEMANHA
10302860167;II;H STRATTNER E CIA LTDA;MTP - MEDICAL TECHINICAL PROMOTION GMBH;ALEMANHA
10302860169;II;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860172;I;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860173;II;H STRATTNER E CIA LTDA;MTP - MEDICAL TECHINICAL PROMOTION GMBH;ALEMANHA
10302860175;II;H STRATTNER E CIA LTDA;MTP - MEDICAL TECHINICAL PROMOTION GMBH;ALEMANHA
10302860176;II;H STRATTNER E CIA LTDA;MTP - MEDICAL TECHINICAL PROMOTION GMBH;ALEMANHA
10302860177;II;H STRATTNER E CIA LTDA;MTP - MEDICAL TECHINICAL PROMOTION GMBH;ALEMANHA
10302860179;II;H STRATTNER E CIA LTDA;KARL STORZ GMBH & CO. KG;ALEMANHA
10302860180;I;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860181;II;H STRATTNER E CIA LTDA;MTP - MEDICAL TECHNICAL PROMOTION GMBH;ALEMANHA
10302860183;II;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860184;I;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860188;I;H STRATTNER E CIA LTDA;BUSH & CO. GmbH & Co.KG;ALEMANHA
10302860190;I;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860191;I;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860194;I;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
