registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
81670000001;II;I-MEDIC COMERCIO DE PRODUTOS HOSPITALARES LTDA-EPP;EVEREAST MEDICAL PRODUCTS GROUP CO. LTD.;CHINA, REPÚBLICA POPULAR
81670000002;I;I-MEDIC COMERCIO DE PRODUTOS HOSPITALARES LTDA-EPP;NINGBO HICREN BIOTECHNOLOGY CO. LTD.;CHINA, REPÚBLICA POPULAR
81670009001;II;I-MEDIC COMERCIO DE PRODUTOS HOSPITALARES LTDA-EPP;AKUS INNOVATION IN ANAESTHESIA S.L.;ESPANHA
81670009002;II;I-MEDIC COMERCIO DE PRODUTOS HOSPITALARES LTDA-EPP;AKUS INNOVATION IN ANAESTHESIA S.L.;ESPANHA
81766600003;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;ZHANGJIAGANG HIGHSEE CO. LTD.;CHINA, REPÚBLICA POPULAR
81766600004;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;ZHANGJIAGANG HIGHSEE CO. LTD.;CHINA, REPÚBLICA POPULAR
81766600005;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;ZHANGJIAGANG HIGHSEE CO. LTD.;CHINA, REPÚBLICA POPULAR
81766600007;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;ZHANGJIAGANG HIGHSEE CO. LTD.;CHINA, REPÚBLICA POPULAR
81766600010;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;HANGZHOU FORMED MEDICAL DEVICES CO., LTD;CHINA, REPÚBLICA POPULAR
81766600015;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;SUZHOU LETAI MEDICAL TECHNOLOGY CO.,LTD;CHINA, REPÚBLICA POPULAR
81766600017;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;ZHANGJIAGANG HIGHSEE CO. LTD.;CHINA, REPÚBLICA POPULAR
81766600018;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;ZHANGJIAGANG HIGHSEE CO. LTD.;CHINA, REPÚBLICA POPULAR
81766600019;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;ZHANGJIAGANG HIGHSEE CO. LTD.;CHINA, REPÚBLICA POPULAR
81766600021;II;I. S. COSTA CENTRAL TELEMEDICINA - ME;HANGZHOU FORMED MEDICAL DEVICES CO., LTD;CHINA, REPÚBLICA POPULAR
81766600022;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;ZHANGJIAGANG HIGHSEE CO. LTD.;CHINA, REPÚBLICA POPULAR
81766600023;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;ZHANGJIAGANG HIGHSEE CO. LTD.;CHINA, REPÚBLICA POPULAR
81766600027;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;ZHANGJIAGANG HIGHSEE CO. LTD.;CHINA, REPÚBLICA POPULAR
81766600028;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;ZHANGJIAGANG HIGHSEE CO. LTD.;CHINA, REPÚBLICA POPULAR
81766600029;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;ZHANGJIAGANG HIGHSEE CO. LTD.;CHINA, REPÚBLICA POPULAR
81766600030;I;I. S. COSTA CENTRAL TELEMEDICINA - ME;HANGZHOU FORMED MEDICAL DEVICES CO., LTD;CHINA, REPÚBLICA POPULAR
