registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
81823880001;I;J T Freire me;PLUSCARE HEALTHCARE (HUBEI) CO. LTD.,;CHINA, REPÚBLICA POPULAR
81823880008;I;J T Freire me;PLUSCARE HEALTHCARE (HUBEI) CO. LTD.,;CHINA, REPÚBLICA POPULAR
81823880010;I;J T Freire me;RAIZ & SAJJAD SURGICAL PVT LTD;PAQUISTÃO
81823880014;I;J T Freire me;J T Freire me;BRASIL
81823880015;I;J T Freire me;PLUSCARE HEALTHCARE (HUBEI) CO. LTD.,;CHINA, REPÚBLICA POPULAR
81823880016;I;J T Freire me;VITAIMED INSTRUMENTS CO., LTD;CHINA, REPÚBLICA POPULAR
81823880017;I;J T Freire me;VITAIMED INSTRUMENTS CO., LTD;CHINA, REPÚBLICA POPULAR
81823880019;I;J T Freire me;J T Freire me;BRASIL
81823880020;I;J T Freire me;J T Freire me;BRASIL
81823880022;I;J T Freire me;J T Freire me;BRASIL
81823880023;I;J T Freire me;J T Freire me;BRASIL
81823880024;I;J T Freire me;J T Freire me;BRASIL
81823880027;I;J T Freire me;J T Freire me;BRASIL
81823880030;I;J T Freire me;J T Freire me;BRASIL
81823880031;I;J T Freire me;J T Freire me;BRASIL
81823880032;I;J T Freire me;J T Freire me;BRASIL
81823880034;I;J T Freire me;SAFE OPS SURGICAL CARE LTD.;ÍNDIA
81823880036;I;J T Freire me;PLUSCARE HEALTHCARE (HUBEI) CO. LTD.,;CHINA, REPÚBLICA POPULAR
81823880039;I;J T Freire me;SOCIAL ENTERPRISE;PAQUISTÃO
81823880043;I;J T Freire me;J T Freire me;BRASIL
81823880046;I;J T Freire me;J T Freire me;BRASIL
81823880049;I;J T Freire me;J T Freire me;BRASIL
81823880050;I;J T Freire me;J T Freire me;BRASIL
81823889001;II;J T Freire me;ZHEJIANG FERT MEDICAL DEVICES CO., LTD.;CHINA, REPÚBLICA POPULAR
82285270003;I;J T Freire me;J T Freire me;BRASIL
82285270036;I;J T Freire me;VITAIMED INSTRUMENTS CO., LTD;CHINA, REPÚBLICA POPULAR
82285270042;I;J T Freire me;J T Freire me;BRASIL
82285270045;I;J T Freire me;VITAIMED INSTRUMENTS CO., LTD;CHINA, REPÚBLICA POPULAR
82285270047;I;J T Freire me;HUBEI BEST IMPORT & EXPORT CO.,LTD;CHINA, REPÚBLICA POPULAR
82285270048;I;J T Freire me;J T Freire me;BRASIL
82285270050;I;J T Freire me;HUBEI BEST IMPORT & EXPORT CO.,LTD;CHINA, REPÚBLICA POPULAR
82285270051;I;J T Freire me;VITAIMED INSTRUMENTS CO., LTD;CHINA, REPÚBLICA POPULAR
82285270052;I;J T Freire me;J T Freire me;BRASIL
82285270053;I;J T Freire me;J T Freire me;BRASIL
82285279001;II;J T Freire me;YANGZHOU MEDLINE INDUSTRY CO., LTD;CHINA, REPÚBLICA POPULAR
82285279002;II;J T Freire me;YANGZHOU MEDLINE INDUSTRY CO., LTD;CHINA, REPÚBLICA POPULAR
83013900001;I;J. DOS SANTOS ANDRADE INDUSTRIA, COMERCIO E IMPORTACAO E EXPORTACAO;J. DOS SANTOS ANDRADE INDUSTRIA, COMERCIO E IMPORTACAO E EXPORTACAO;BRASIL
83013900002;I;J. DOS SANTOS ANDRADE INDUSTRIA, COMERCIO E IMPORTACAO E EXPORTACAO;J. DOS SANTOS ANDRADE INDUSTRIA, COMERCIO E IMPORTACAO E EXPORTACAO;BRASIL
80750730001;I;J. J. R. VIANA;J. J. R. VIANA;BRASIL
80750730002;I;J. J. R. VIANA;J. J. R. VIANA;BRASIL
80750730003;I;J. J. R. VIANA;J. J. R. VIANA;BRASIL
80750730004;I;J. J. R. VIANA;J. J. R. VIANA;BRASIL
80750730005;I;J. J. R. VIANA;J. J. R. VIANA;BRASIL
80750730006;I;J. J. R. VIANA;J. J. R. VIANA;BRASIL
80750730007;I;J. J. R. VIANA;J. J. R. VIANA;BRASIL
80750730008;I;J. J. R. VIANA;J. J. R. VIANA;BRASIL
80750739001;II;J. J. R. VIANA;J. J. R. VIANA;BRASIL
80750739002;II;J. J. R. VIANA;J. J. R. VIANA;BRASIL
80750739003;II;J. J. R. VIANA;J. J. R. VIANA;BRASIL
80750739004;II;J. J. R. VIANA;J. J. R. VIANA;BRASIL
80750739005;II;J. J. R. VIANA;J. J. R. VIANA;BRASIL
80834500001;I;J. JORGE INDUSTRIA DE MATERIAL HOSPITALAR LTDA - ME;J. JORGE INDUSTRIA DE MATERIAL HOSPITALAR LTDA - ME;BRASIL
80767220001;II;J. P. CORREA IMPORTACAO - LTDA;FLYDRAGON TATTO SUPPLIES CO., LIMITED;CHINA, REPÚBLICA POPULAR
80767220005;II;J. P. CORREA IMPORTACAO - LTDA;YUEQING XINBORUI LASER EQUIPMENT FACTORY;CHINA, REPÚBLICA POPULAR
80767220006;I;J. P. CORREA IMPORTACAO - LTDA;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80767220015;II;J. P. CORREA IMPORTACAO - LTDA;WENZHOU YIKELAI MACHINERY CO. LTD.;CHINA, REPÚBLICA POPULAR
80767220016;II;J. P. CORREA IMPORTACAO - LTDA;YIWU YUAN TAI IMPORT AND EXPORT CO.LTD.;CHINA, REPÚBLICA POPULAR
80767220030;I;J. P. CORREA IMPORTACAO - LTDA;JIANGSU GUANGYI MEDICAL DRESSING CO., LTD.;CHINA, REPÚBLICA POPULAR
80767229003;II;J. P. CORREA IMPORTACAO - LTDA;WENZHOU YIKELAI MACHINERY CO. LTD.;CHINA, REPÚBLICA POPULAR
80767229004;II;J. P. CORREA IMPORTACAO - LTDA;WENZHOU YIKELAI MACHINERY CO. LTD.;CHINA, REPÚBLICA POPULAR
80767229005;II;J. P. CORREA IMPORTACAO - LTDA;YIWU YUAN TAI IMPORT AND EXPORT CO.LTD.;CHINA, REPÚBLICA POPULAR
80767229006;II;J. P. CORREA IMPORTACAO - LTDA;YIWU YUAN TAI IMPORT & EXPORT CO., LTD.,;CHINA, REPÚBLICA POPULAR
80767229007;II;J. P. CORREA IMPORTACAO - LTDA;YIWU YUAN TAI IMPORT AND EXPORT CO.LTD.;CHINA, REPÚBLICA POPULAR
80767229008;II;J. P. CORREA IMPORTACAO - LTDA;SHIJIAZHUANG DRAGONHAWK TATTOO EQUIPAMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
80767229009;II;J. P. CORREA IMPORTACAO - LTDA;GUIXI CITY JINLONG TATTOO EQUIPMENT MANUFACTORY;CHINA, REPÚBLICA POPULAR
80767229011;II;J. P. CORREA IMPORTACAO - LTDA;YIWU YUAN TAI IMPORT & EXPORT CO., LTD.,;CHINA, REPÚBLICA POPULAR
80767229012;II;J. P. CORREA IMPORTACAO - LTDA;E-M MEDICAL TREATMENT AND ELECTON (SUZHOU) CO., LTD;CHINA, REPÚBLICA POPULAR
80725520007;III;J.A COMERCIO DE MATERIAIS CIRURGICOS LTDA;;
80725520007;III;J.A COMERCIO DE MATERIAIS CIRURGICOS LTDA;GPC MEDICAL LIMITED.;ÍNDIA
83005590002;I;J.BLU DISTRIBUIDORA, IMPORTACAO, EXPORTACAO, COMERCIO E DISTRIBUICAO DE MATERIAIS PARA SAUDE E ORTOPEDICOS LTDA;BEIJING CHONG LANG REHABILITATION AIDS CO., LTD;CHINA, REPÚBLICA POPULAR
83005590003;I;J.BLU DISTRIBUIDORA, IMPORTACAO, EXPORTACAO, COMERCIO E DISTRIBUICAO DE MATERIAIS PARA SAUDE E ORTOPEDICOS LTDA;TURBOMED ORTHOTICS INC.;CANADÁ
83005590004;I;J.BLU DISTRIBUIDORA, IMPORTACAO, EXPORTACAO, COMERCIO E DISTRIBUICAO DE MATERIAIS PARA SAUDE E ORTOPEDICOS LTDA;WILLOWWOOD GLOBAL LLC;ESTADOS UNIDOS DA AMÉRICA
83005590005;I;J.BLU DISTRIBUIDORA, IMPORTACAO, EXPORTACAO, COMERCIO E DISTRIBUICAO DE MATERIAIS PARA SAUDE E ORTOPEDICOS LTDA;CIRCLEG AG;SUÍÇA
83005590006;I;J.BLU DISTRIBUIDORA, IMPORTACAO, EXPORTACAO, COMERCIO E DISTRIBUICAO DE MATERIAIS PARA SAUDE E ORTOPEDICOS LTDA;PAOLA ARALID IZAGUIRRE PEREZ;MÉXICO
80776410003;I;J.J. TATTOO EQUIPAMENTOS LTDA ME;WUJIANG KANGTAI MEDICAL INSTRUMENT CO.LTD.;CHINA, REPÚBLICA POPULAR
80034140001;IV;J.L. MATERIAL CIRURGICO LTDA;;
80034140001;IV;J.L. MATERIAL CIRURGICO LTDA;LABORATORIOS SL S.A.;ARGENTINA
80034140002;IV;J.L. MATERIAL CIRURGICO LTDA;;
80034140002;IV;J.L. MATERIAL CIRURGICO LTDA;LABORATORIO SL S.A;ARGENTINA
80034140003;II;J.L. MATERIAL CIRURGICO LTDA;LABORATORIOS SL S.A.;ARGENTINA
80034140004;II;J.L. MATERIAL CIRURGICO LTDA;Euroband – Pollak International Ltd;ISRAEL
80034140005;II;J.L. MATERIAL CIRURGICO LTDA;Shanghai Kindly Enterprise Development Group Medical Instruments CO,.LTD;CHINA, REPÚBLICA POPULAR
80034140006;I;J.L. MATERIAL CIRURGICO LTDA;Shanghai Kindly Enterprise Development Group Medical Instruments CO,.LTD;CHINA, REPÚBLICA POPULAR
80034140008;II;J.L. MATERIAL CIRURGICO LTDA;Shangai Kindly Enterprise Development Group Medical Instruments CO,. LTD;CHINA, REPÚBLICA POPULAR
80034140009;II;J.L. MATERIAL CIRURGICO LTDA;Shanghai Kindly Enterprise Development Group Medical Instruments CO,.LTD;CHINA, REPÚBLICA POPULAR
80034140010;II;J.L. MATERIAL CIRURGICO LTDA;Zaklad Tworzyw Sztucznych HAGMED Zajac i Tomaszewski Sp. j.;POLÔNIA
80034140011;I;J.L. MATERIAL CIRURGICO LTDA;MDD sp. Zoo;POLÔNIA
80034140012;II;J.L. MATERIAL CIRURGICO LTDA;Shanghai Kindly Enterprise Development Group Medical Instruments CO,.LTD;CHINA, REPÚBLICA POPULAR
80034140013;I;J.L. MATERIAL CIRURGICO LTDA;Shanghai Kindly Enterprise Development Group Medical Instruments CO,.LTD;CHINA, REPÚBLICA POPULAR
80034140014;II;J.L. MATERIAL CIRURGICO LTDA;Shanghai Kindly Enterprise Development Group Medical Instruments CO,.LTD;CHINA, REPÚBLICA POPULAR
80034140015;II;J.L. MATERIAL CIRURGICO LTDA;Shanghai Kindly Enterprise Development Group Medical Instruments CO,.LTD;CHINA, REPÚBLICA POPULAR
