registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
80624960001;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;;
80624960001;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC.;ESTADOS UNIDOS DA AMÉRICA
80624960002;II;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC.;ESTADOS UNIDOS DA AMÉRICA
80624960003;II;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC.;ESTADOS UNIDOS DA AMÉRICA
80624960004;II;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC;ESTADOS UNIDOS DA AMÉRICA
80624960006;II;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC;ESTADOS UNIDOS DA AMÉRICA
80624960009;II;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC;ESTADOS UNIDOS DA AMÉRICA
80624960010;II;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC.;ESTADOS UNIDOS DA AMÉRICA
80624960011;I;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC.;ESTADOS UNIDOS DA AMÉRICA
80624960012;II;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC;ESTADOS UNIDOS DA AMÉRICA
80624960014;I;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI MANUFACTURING;IRLANDA
80624960014;I;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC;ESTADOS UNIDOS DA AMÉRICA
80624960016;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;;
80624960016;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC.;ESTADOS UNIDOS DA AMÉRICA
80624960017;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;;
80624960017;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC.;ESTADOS UNIDOS DA AMÉRICA
80624960018;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;;
80624960018;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC.;ESTADOS UNIDOS DA AMÉRICA
80624960020;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;;
80624960020;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;KCI USA, INC.;ESTADOS UNIDOS DA AMÉRICA
80624960023;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;;
80624960023;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;3M DEUTSCHLAND GMBH (NEUSS);ALEMANHA
80624960024;IV;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;;
80624960024;IV;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;ADVANCED MEDICAL SOLUTION LTD;REINO UNIDO
80624960025;IV;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;;
80624960025;IV;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;3M DEUTSCHLAND GMBH (NEUSS);ALEMANHA
80624960026;IV;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;;
80624960026;IV;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;3M DEUTSCHLAND GMBH (NEUSS);ALEMANHA
80624960028;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;;
80624960028;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;3M DEUTSCHLAND GMBH (NEUSS);ALEMANHA
80624960029;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;;
80624960029;III;K.C.I. BRASIL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA A SAÚDE LTDA;3M DEUTSCHLAND GMBH (NEUSS);ALEMANHA
