registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
80447050007;II;L & G MATERIAIS CIRURGICOS LTDA;VILEX INCORPORATED;ESTADOS UNIDOS DA AMÉRICA
80447050008;I;L & G MATERIAIS CIRURGICOS LTDA;PAONAN BIOTECH LTD;TAIWAN
81868650001;I;L & M CONFECÇÃO E COMÉRCIO DE MALHAS LTDA ME;L & M CONFECÇÃO E COMÉRCIO DE MALHAS LTDA ME;BRASIL
80691420009;I;L&L DO BRASIL IMPORTAÇÃO EXPORTAÇÃO COMÉRCIO LTDA.;Heaven & Earth products co., ltd.;CHINA, REPÚBLICA POPULAR
80691420048;II;L&L DO BRASIL IMPORTAÇÃO EXPORTAÇÃO COMÉRCIO LTDA.;IVT Medical Ltd.;ISRAEL
80691420049;II;L&L DO BRASIL IMPORTAÇÃO EXPORTAÇÃO COMÉRCIO LTDA.;IVT Medical Ltd.;ISRAEL
80691420062;III;L&L DO BRASIL IMPORTAÇÃO EXPORTAÇÃO COMÉRCIO LTDA.;;
80691420062;III;L&L DO BRASIL IMPORTAÇÃO EXPORTAÇÃO COMÉRCIO LTDA.;XERIDIEM MEDICAL DEVICES, INC.;ESTADOS UNIDOS DA AMÉRICA
80665750001;I;L&P8 COMERCIO LTDA;DRENDEL + ZWEILING GMBH;ALEMANHA
80665750003;I;L&P8 COMERCIO LTDA;INH. PABLO ULLRICH;ALEMANHA
80665750004;I;L&P8 COMERCIO LTDA;Drendel + Zweiling DIAMANT GmbH;ALEMANHA
80665750005;I;L&P8 COMERCIO LTDA;INH. PABLO ULLRICH;ALEMANHA
80665750006;I;L&P8 COMERCIO LTDA;DIALOM DIAMOND TOOLS LTD;ISRAEL
80665750007;I;L&P8 COMERCIO LTDA;Frank Dental GMBH;ALEMANHA
80665750008;I;L&P8 COMERCIO LTDA;SUN OBERFLÄCHENTEHNIK GMBH;ALEMANHA
80665750009;I;L&P8 COMERCIO LTDA;STODDARD MANUFACTURING CO. LTD;REINO UNIDO
80665750010;I;L&P8 COMERCIO LTDA;STODDARD MANUFACTURING CO. LTD;REINO UNIDO
80665750011;I;L&P8 COMERCIO LTDA;STODDARD MANUFACTURING CO. LTD;REINO UNIDO
82513010002;I;L&S IMPORT PRODUTOS DE PIGMENTACAO LTDA;YIWU SKY MACHINE ELECTRIC TOOL CO., LTD.;CHINA, REPÚBLICA POPULAR
82513019001;II;L&S IMPORT PRODUTOS DE PIGMENTACAO LTDA;YIWU SKY MACHINE ELECTRIC TOOL CO., LTD.;CHINA, REPÚBLICA POPULAR
82513019002;II;L&S IMPORT PRODUTOS DE PIGMENTACAO LTDA;YIWU SKY MACHINE ELECTRIC TOOL CO., LTD.;CHINA, REPÚBLICA POPULAR
80246910002;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910003;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910004;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910005;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910006;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910007;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910008;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910010;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910011;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910012;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910013;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910014;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910015;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910016;III;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910020;I;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910023;IV;L.M. FARMA INDUSTRIA E COMERCIO LTDA;L.M. FARMA INDUSTRIA E COMERCIO LTDA;BRASIL
80246910026;I;L.M. FARMA INDUSTRIA E COMERCIO LTDA;LM Farma Indústria e Comércio Ltda;BRASIL
80246910036;I;L.M. FARMA INDUSTRIA E COMERCIO LTDA;LABORATOIRES URGO;FRANÇA
