registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
81038850006;III;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;;
81038850006;III;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;SOCIETÉ SERF;FRANÇA
81038850007;III;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;;
81038850007;III;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;SERF;FRANÇA
81038850009;III;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;;
81038850009;III;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;SERF;FRANÇA
81038850010;III;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;;
81038850010;III;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;SERF;FRANÇA
81038850011;III;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;;
81038850011;III;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;SERF;FRANÇA
81038850012;IV;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;;
81038850012;IV;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;SERF;FRANÇA
81038850013;III;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;;
81038850013;III;M & LIMA COMERCIO DE MATERIAIS MEDICOS LTDA - ME;SERF;FRANÇA
82549190002;III;M 30 MEDICAL DEVICES LTDA;M 30 MEDICAL DEVICES LTDA;BRASIL
82549199001;II;M 30 MEDICAL DEVICES LTDA;M 30 MEDICAL DEVICES LTDA;BRASIL
82549199002;II;M 30 MEDICAL DEVICES LTDA;M 30 MEDICAL DEVICES LTDA;BRASIL
82151269001;II;M A S IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICOS LTDA;AKUS INNOVATION IN ANAESTHESIA S.L.;ESPANHA
82151269002;I;M A S IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICOS LTDA;BAHOLZER ENDOSKOPIE SYSTEME GMBH & CO.KG.;ALEMANHA
82151269011;II;M A S IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICOS LTDA;M.D.L. S.R.L.;ITÁLIA
82151269012;II;M A S IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICOS LTDA;ADRIA S.R.L.;ITÁLIA
82151269013;II;M A S IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICOS LTDA;M.D.L. S.R.L.;ITÁLIA
81117900001;II;M DI BUONO RIATO LTDA;Gemtier Medical (Shanghai) Inc.;CHINA, REPÚBLICA POPULAR
81117900002;II;M DI BUONO RIATO LTDA;Gemtier Medical (Shanghai) Inc.;CHINA, REPÚBLICA POPULAR
81117909001;II;M DI BUONO RIATO LTDA;GLOBAL MEDIKIT PVT. LTD.;ÍNDIA
81117909002;II;M DI BUONO RIATO LTDA;GLOBAL MEDIKIT PVT. LTD.;ÍNDIA
81117909003;II;M DI BUONO RIATO LTDA;GLOBAL MEDIKIT PVT. LTD.;ÍNDIA
80305560008;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560011;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560014;I;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560016;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560017;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560018;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560019;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560022;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560023;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560024;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560025;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560026;I;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560027;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560028;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560029;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560031;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560034;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560035;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;;
80305560036;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560037;I;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560038;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560039;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560040;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560041;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560042;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560043;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560044;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560045;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560046;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560047;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560048;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560049;I;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560050;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560051;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560052;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560053;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560054;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560055;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560056;I;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560057;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560058;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560059;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560060;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560061;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560062;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560063;I;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560065;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;TROGE MEDICAL GMBH;ALEMANHA
80305560066;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560067;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560068;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560069;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560070;I;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560071;I;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560072;II;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
80305560073;I;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;M P - COMERCIO E INDUSTRIA DE MATERIAIS HOSPITALARES LTDA;BRASIL
