registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
82579019004;II;N K de Souza Pereira LTDA;GANSU CONSTAR TECHNOLOGY GROUP CO., LTD.;CHINA, REPÚBLICA POPULAR
82579019005;II;N K de Souza Pereira LTDA;GANSU CONSTAR TECHNOLOGY GROUP CO., LTD.;CHINA, REPÚBLICA POPULAR
82579019006;II;N K de Souza Pereira LTDA;GANSU CONSTAR TECHNOLOGY GROUP CO., LTD.;CHINA, REPÚBLICA POPULAR
82579019007;II;N K de Souza Pereira LTDA;JILIN REALCON OPTICAL TECHNOLOGY CO LTD;CHINA, REPÚBLICA POPULAR
82579019008;II;N K de Souza Pereira LTDA;JILIN REALCON OPTICAL TECHNOLOGY CO LTD;CHINA, REPÚBLICA POPULAR
82579019009;II;N K de Souza Pereira LTDA;JILIN REALCON OPTICAL TECHNOLOGY CO LTD;CHINA, REPÚBLICA POPULAR
10376790005;I;N MARTINS INDUSTRIA E COMERCIO LTDA ME;N MARTINS INDUSTRIA E COMERCIO LTDA ME;BRASIL
80210490001;II;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS INC;ESTADOS UNIDOS DA AMÉRICA
80210490002;II;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS, INC - RMO;ESTADOS UNIDOS DA AMÉRICA
80210490004;II;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS - RMO;ESTADOS UNIDOS DA AMÉRICA
80210490004;II;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS, INC - RMO;ESTADOS UNIDOS DA AMÉRICA
80210490005;II;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS - RMO;ESTADOS UNIDOS DA AMÉRICA
80210490005;II;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS, INC - RMO;ESTADOS UNIDOS DA AMÉRICA
80210490010;I;N&F Ortho Dental Ltda;Lewa-Dental GmbH & Co. KG;ALEMANHA
80210490014;II;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS INC;ESTADOS UNIDOS DA AMÉRICA
80210490015;II;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS - RMO;ESTADOS UNIDOS DA AMÉRICA
80210490015;II;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS, INC - RMO;ESTADOS UNIDOS DA AMÉRICA
80210490016;II;N&F Ortho Dental Ltda;ROCKY MONTAIN ORTHODONTICS INC.;ESTADOS UNIDOS DA AMÉRICA
80210490017;II;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS INC;ESTADOS UNIDOS DA AMÉRICA
80210490019;II;N&F Ortho Dental Ltda;JM ORTHO CORPORATION;JAPÃO
80210490020;I;N&F Ortho Dental Ltda;JM ORTHO CORPORATION;JAPÃO
80210490023;I;N&F Ortho Dental Ltda;RMO EUROPE;FRANÇA
80210490024;I;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS INC;ESTADOS UNIDOS DA AMÉRICA
80210490025;I;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS INC;ESTADOS UNIDOS DA AMÉRICA
80210490033;II;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS INC;ESTADOS UNIDOS DA AMÉRICA
80210490034;II;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS INC;ESTADOS UNIDOS DA AMÉRICA
80210490035;II;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS INC;ESTADOS UNIDOS DA AMÉRICA
80210490037;I;N&F Ortho Dental Ltda;ROCKY MOUNTAIN ORTHODONTICS INC;ESTADOS UNIDOS DA AMÉRICA
