registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
81316530003;I;O&C COMERCIO IMPORTACAO E EXPORTACAO DE PRODUTOS HOSPITALARES E CONSTRUCAO LTDA;HUBEI BEST IMPORT AND EXPORT CO., LTD;CHINA, REPÚBLICA POPULAR
82249100009;IV;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249100010;III;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249100011;III;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249100013;IV;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249100014;III;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249100015;III;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249100016;III;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249100019;I;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249100020;IV;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249109001;II;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249109003;II;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249109004;II;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249109005;II;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249109011;II;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249109012;II;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249109013;II;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249109014;II;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249109015;II;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249109016;II;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249109017;II;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
82249109018;II;O-LINKE MEDICAL LTDA.;O-LINKE MEDICAL LTDA.;BRASIL
81323079001;II;O.S.S. INDUSTRIA E COMERCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;O.S.S. INDUSTRIA E COMERCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;BRASIL
81323079002;II;O.S.S. INDUSTRIA E COMERCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;O.S.S. INDUSTRIA E COMERCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;BRASIL
81323079003;II;O.S.S. INDUSTRIA E COMERCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;O.S.S. INDUSTRIA E COMERCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;BRASIL
81323079004;II;O.S.S. INDUSTRIA E COMERCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;O.S.S. INDUSTRIA E COMERCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;BRASIL
81306310009;III;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306310010;III;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306310011;III;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306310012;III;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306310014;III;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306310016;III;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306310017;III;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306310018;III;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306310019;III;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306319002;II;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306319003;II;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306319004;II;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306319010;II;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306319011;II;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306319012;II;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306319013;II;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306319021;II;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81306319022;II;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;OBL INDUSTRIA E COMERCIO DE PRODUTOS DENTARIOS LTDA;BRASIL
81163850001;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850002;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850003;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850004;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850005;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850006;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850007;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850008;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850009;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850010;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850011;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850012;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850013;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850014;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
81163850015;III;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;OCX - IMPLANTES ESPECIALIZADOS LTDA - EPP;BRASIL
