registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
80801150001;I;PACK COMÉRCIO DE PRODUTOS DESCARTÁVEIS LTDA - EPP;SHIJIAZHUANG HONGRAY GROUP CO. LTD;CHINA, REPÚBLICA POPULAR
80801150005;I;PACK COMÉRCIO DE PRODUTOS DESCARTÁVEIS LTDA - EPP;SHIJIAZHUANG HONGRAY GROUP CO. LTD;CHINA, REPÚBLICA POPULAR
80801150006;I;PACK COMÉRCIO DE PRODUTOS DESCARTÁVEIS LTDA - EPP;Shijiazhuang Wally Plastic CO., Ltd;CHINA, REPÚBLICA POPULAR
80801150007;I;PACK COMÉRCIO DE PRODUTOS DESCARTÁVEIS LTDA - EPP;Bytech (Dongtai) Co., Ltd;CHINA, REPÚBLICA POPULAR
80801150008;I;PACK COMÉRCIO DE PRODUTOS DESCARTÁVEIS LTDA - EPP;TG MEDICAL SDN BHD;MALÁSIA
80038090006;II;PADRÃO DIST. DE PRODUTOS E EQUIP. HOSPITALARES PADRE CALLOU LTDA;WUXI YUSHOU MEDICAL APPLIANCES CO., LTD;CHINA, REPÚBLICA POPULAR
80038090007;II;PADRÃO DIST. DE PRODUTOS E EQUIP. HOSPITALARES PADRE CALLOU LTDA;WUXI YUSHOU MEDICAL APPLIANCES CO., LTD;CHINA, REPÚBLICA POPULAR
80038090008;II;PADRÃO DIST. DE PRODUTOS E EQUIP. HOSPITALARES PADRE CALLOU LTDA;WUXI YUSHOU MEDICAL APPLIANCES CO., LTD;CHINA, REPÚBLICA POPULAR
80038099001;II;PADRÃO DIST. DE PRODUTOS E EQUIP. HOSPITALARES PADRE CALLOU LTDA;WUXI YUSHOU MEDICAL APLLIANCES CO. LTD.;CHINA, REPÚBLICA POPULAR
80038099002;II;PADRÃO DIST. DE PRODUTOS E EQUIP. HOSPITALARES PADRE CALLOU LTDA;WUXI YUSHOU MEDICAL APLLIANCES CO. LTD.;CHINA, REPÚBLICA POPULAR
80038099003;II;PADRÃO DIST. DE PRODUTOS E EQUIP. HOSPITALARES PADRE CALLOU LTDA;WUXI YUSHOU MEDICAL APLLIANCES CO. LTD.;CHINA, REPÚBLICA POPULAR
80038099004;II;PADRÃO DIST. DE PRODUTOS E EQUIP. HOSPITALARES PADRE CALLOU LTDA;WUXI YUSHOU MEDICAL APPLIANCES CO., LTD;CHINA, REPÚBLICA POPULAR
80038099005;II;PADRÃO DIST. DE PRODUTOS E EQUIP. HOSPITALARES PADRE CALLOU LTDA;WUXI YUSHOU MEDICAL APPLIANCES CO., LTD;CHINA, REPÚBLICA POPULAR
80038099006;II;PADRÃO DIST. DE PRODUTOS E EQUIP. HOSPITALARES PADRE CALLOU LTDA;WUXI YUSHOU MEDICAL APPLIANCES CO., LTD;CHINA, REPÚBLICA POPULAR
80038099007;II;PADRÃO DIST. DE PRODUTOS E EQUIP. HOSPITALARES PADRE CALLOU LTDA;WUXI YUSHOU MEDICAL APPLIANCES CO., LTD;CHINA, REPÚBLICA POPULAR
80038099008;II;PADRÃO DIST. DE PRODUTOS E EQUIP. HOSPITALARES PADRE CALLOU LTDA;WUXI YUSHOU MEDICAL APPLIANCES CO., LTD;CHINA, REPÚBLICA POPULAR
80038099009;II;PADRÃO DIST. DE PRODUTOS E EQUIP. HOSPITALARES PADRE CALLOU LTDA;WUXI YUSHOU MEDICAL APPLIANCES CO., LTD;CHINA, REPÚBLICA POPULAR
80484650001;I;PALTERM INDÚSTRIA E COMÉRCIO LTDA.;PALTERM INDÚSTRIA E COMÉRCIO LTDA.;BRASIL
80484650002;I;PALTERM INDÚSTRIA E COMÉRCIO LTDA.;PALTERM INDÚSTRIA E COMÉRCIO LTDA.;BRASIL
10234370026;IV;PANAMEDICAL SISTEMAS LTDA;;
10234370026;IV;PANAMEDICAL SISTEMAS LTDA;MIZUHO CORPORATION;JAPÃO
10234370037;I;PANAMEDICAL SISTEMAS LTDA;COOPER SURGICAL, INC.;ESTADOS UNIDOS DA AMÉRICA
10234370039;I;PANAMEDICAL SISTEMAS LTDA;KANMED AB;SUÉCIA
10234370042;I;PANAMEDICAL SISTEMAS LTDA;COOPER SURGICAL, INC.;ESTADOS UNIDOS DA AMÉRICA
10234370052;II;PANAMEDICAL SISTEMAS LTDA;NSK NAKANISHI INC.;JAPÃO
10234370055;I;PANAMEDICAL SISTEMAS LTDA;MIZUHO AMERICA INC.;ESTADOS UNIDOS DA AMÉRICA
10234370055;I;PANAMEDICAL SISTEMAS LTDA;MIZUHO CORPORATION;JAPÃO
10234370063;I;PANAMEDICAL SISTEMAS LTDA;COOPER SURGICAL, INC.;ESTADOS UNIDOS DA AMÉRICA
10234370065;II;PANAMEDICAL SISTEMAS LTDA;FEATHER SAFETY RAZOR CO LTD;JAPÃO
10234370067;I;PANAMEDICAL SISTEMAS LTDA;NAKANISHI INC.;JAPÃO
10234370068;II;PANAMEDICAL SISTEMAS LTDA;NSK NAKANISHI INC.;JAPÃO
10234379007;I;PANAMEDICAL SISTEMAS LTDA;MIZUHO CORPORATION;JAPÃO
10234379010;I;PANAMEDICAL SISTEMAS LTDA;MIZUHO CORPORATION;JAPÃO
10234379017;II;PANAMEDICAL SISTEMAS LTDA;KANMED AB;SUÉCIA
10171610052;III;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;;
10171610052;III;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SORING GMBH;ALEMANHA
10171610055;I;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;TechTrade;ESTADOS UNIDOS DA AMÉRICA
10171610061;I;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;Adroit Medical Systems, Inc.;ESTADOS UNIDOS DA AMÉRICA
10171610062;I;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;LEVABO APS;DINAMARCA
10171610064;I;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;Adroit Medical Systems, Inc.;ESTADOS UNIDOS DA AMÉRICA
10171610065;III;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;;
10171610065;III;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SÖRING GmbH;ALEMANHA
10171610066;I;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;PFM MEDICAL HICO GMBH;ALEMANHA
10171610067;III;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;;
10171610067;III;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SÖRING GmbH;ALEMANHA
10171610068;III;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;;
10171610068;III;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SORING GMBH;ALEMANHA
10171619002;II;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SÖRING GmbH;ALEMANHA
