registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
10322259008;I;QIAGEN BIOTECNOLOGIA BRASIL LTDA.;QIAGEN GMBH;ALEMANHA
82036520001;I;QLS - QUALITY LIFE SCIENCES IMPORTAÇÃO E EXPORTAÇÃO LTDA;XUCHANG ZHENGDE ENVIRONSTAR MEDICAL PRODUCTS CO.,LTD - 461200;CHINA, REPÚBLICA POPULAR
82036520002;I;QLS - QUALITY LIFE SCIENCES IMPORTAÇÃO E EXPORTAÇÃO LTDA;XUCHANG ZHENGDE ENVIRONSTAR MEDICAL PRODUCTS CO.,LTD - 461200;CHINA, REPÚBLICA POPULAR
82036520003;I;QLS - QUALITY LIFE SCIENCES IMPORTAÇÃO E EXPORTAÇÃO LTDA;XUCHANG ZHENGDE ENVIRONSTAR MEDICAL PRODUCTS CO.,LTD - 461200;CHINA, REPÚBLICA POPULAR
82036520014;I;QLS - QUALITY LIFE SCIENCES IMPORTAÇÃO E EXPORTAÇÃO LTDA;XUCHANG ZHENGDE ENVIRONSTAR MEDICAL PRODUCTS CO.,LTD - 461200;CHINA, REPÚBLICA POPULAR
82036520016;I;QLS - QUALITY LIFE SCIENCES IMPORTAÇÃO E EXPORTAÇÃO LTDA;XUCHANG ZHENGDE ENVIRONSTAR MEDICAL PRODUCTS CO.,LTD - 461200;CHINA, REPÚBLICA POPULAR
82036520020;I;QLS - QUALITY LIFE SCIENCES IMPORTAÇÃO E EXPORTAÇÃO LTDA;XUCHANG ZHENGDE ENVIRONSTAR MEDICAL PRODUCTS CO.,LTD - 461200;CHINA, REPÚBLICA POPULAR
82036520021;I;QLS - QUALITY LIFE SCIENCES IMPORTAÇÃO E EXPORTAÇÃO LTDA;XUCHANG ZHENGDE ENVIRONSTAR MEDICAL PRODUCTS CO.,LTD - 461200;CHINA, REPÚBLICA POPULAR
82036520022;I;QLS - QUALITY LIFE SCIENCES IMPORTAÇÃO E EXPORTAÇÃO LTDA;XUCHANG ZHENGDE ENVIRONSTAR MEDICAL PRODUCTS CO.,LTD - 461200;CHINA, REPÚBLICA POPULAR
82036520023;I;QLS - QUALITY LIFE SCIENCES IMPORTAÇÃO E EXPORTAÇÃO LTDA;ANHUI INTCO MEDICAL PRODUCTS CO, LTD;CHINA, REPÚBLICA POPULAR
82036520024;I;QLS - QUALITY LIFE SCIENCES IMPORTAÇÃO E EXPORTAÇÃO LTDA;XUCHANG ZHENGDE ENVIRONSTAR MEDICAL PRODUCTS CO.,LTD - 461200;CHINA, REPÚBLICA POPULAR
82036520025;I;QLS - QUALITY LIFE SCIENCES IMPORTAÇÃO E EXPORTAÇÃO LTDA;XUCHANG ZHENGDE ENVIRONSTAR MEDICAL PRODUCTS CO.,LTD - 461200;CHINA, REPÚBLICA POPULAR
82036520026;I;QLS - QUALITY LIFE SCIENCES IMPORTAÇÃO E EXPORTAÇÃO LTDA;XUCHANG ZHENGDE ENVIRONSTAR MEDICAL PRODUCTS CO.,LTD - 461200;CHINA, REPÚBLICA POPULAR
82036520036;IV;QLS - QUALITY LIFE SCIENCES IMPORTAÇÃO E EXPORTAÇÃO LTDA;;
