registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
81019890001;I;R M S RIBEIRO - EPP;SHIJIAZHUANG HONGRAY GROUP CO. LTD;CHINA, REPÚBLICA POPULAR
81019890002;I;R M S RIBEIRO - EPP;YTY INDUSTRY (MANJUNG) SDN BHD.;MALÁSIA
80911650001;II;R&A COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA - ME;HONG QIANGXING (SHEN ZHEN) ELECTRONICS LIMITED;CHINA, REPÚBLICA POPULAR
80911659001;II;R&A COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA - ME;HONG QIANGXING (SHENZEN) ELETRONICS LIMITED;CHINA, REPÚBLICA POPULAR
80209920004;III;R&D MEDIQ EQUIPAMENTOS E SERVICOS ESPECIALIZADOS LTDA - EPP;R&D MEDIQ EQUIPAMENTOS E SERVICOS ESPECIALIZADOS LTDA - EPP;BRASIL
81791810001;II;R&R INDÚSTRIA, COMÉRCIO, IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS HOSPITALARES LTDA;R&R INDÚSTRIA, COMÉRCIO, IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS HOSPITALARES LTDA;BRASIL
82967950001;I;R. S. Sousa LTDA;HUBEI QIANJIANG KINGPHAR MEDICAL MATERIAL CO., LTD;CHINA, REPÚBLICA POPULAR
82967950002;I;R. S. Sousa LTDA;HUBEI QIANJIANG KINGPHAR MEDICAL MATERIAL CO., LTD;CHINA, REPÚBLICA POPULAR
82967950003;I;R. S. Sousa LTDA;HUBEI QIANJIANG KINGPHAR MEDICAL MATERIAL CO., LTD;CHINA, REPÚBLICA POPULAR
82967950004;I;R. S. Sousa LTDA;HUBEI QIANJIANG KINGPHAR MEDICAL MATERIAL CO., LTD;CHINA, REPÚBLICA POPULAR
80989250001;I;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989250005;I;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989250013;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989250016;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989250021;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989250023;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989250024;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989250026;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989250036;III;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259001;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259002;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259004;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259005;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259006;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259007;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259008;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259009;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259010;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259011;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259012;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259013;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259014;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259016;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259018;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259019;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259020;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259021;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259022;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259023;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259025;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259026;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259027;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259028;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259029;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259030;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259031;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80989259033;II;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;R3A MEDICAL INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
