registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
82813140001;I;S B PROTECAO HOSPITALAR INDUSTRIA E COMERCIO LTDA;S B PROTECAO HOSPITALAR INDUSTRIA E COMERCIO LTDA;BRASIL
82813140002;I;S B PROTECAO HOSPITALAR INDUSTRIA E COMERCIO LTDA;S B PROTECAO HOSPITALAR INDUSTRIA E COMERCIO LTDA;BRASIL
82813140003;I;S B PROTECAO HOSPITALAR INDUSTRIA E COMERCIO LTDA;S B PROTECAO HOSPITALAR INDUSTRIA E COMERCIO LTDA;BRASIL
82813140006;I;S B PROTECAO HOSPITALAR INDUSTRIA E COMERCIO LTDA;S B PROTECAO HOSPITALAR INDUSTRIA E COMERCIO LTDA;BRASIL
82813140007;I;S B PROTECAO HOSPITALAR INDUSTRIA E COMERCIO LTDA;S B PROTECAO HOSPITALAR INDUSTRIA E COMERCIO LTDA;BRASIL
10041120131;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
10041120135;II;S S WHITE ARTIGOS DENTARIOS S/A;;
10041120161;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
10041120164;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
10041120167;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
10041120168;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
10041120176;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710180;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710185;II;S S WHITE ARTIGOS DENTARIOS S/A;IDENTAL MATERIAL GMBH;ALEMANHA
80149710187;II;S S WHITE ARTIGOS DENTARIOS S/A;IDENTAL MATERIAL GMBH;ALEMANHA
80149710188;II;S S WHITE ARTIGOS DENTARIOS S/A;IDENTAL MATERIAL GMBH;ALEMANHA
80149710203;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710209;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710210;I;S S WHITE ARTIGOS DENTARIOS S/A;S. S. WHITE BURS, INC.;ESTADOS UNIDOS DA AMÉRICA
80149710223;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710226;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710231;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710232;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710233;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710235;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710236;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710240;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710241;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710247;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710255;I;S S WHITE ARTIGOS DENTARIOS S/A;S.S.WHITE ARTIGOS DENTÁRIOS LTDA.;BRASIL
80149710256;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710257;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710258;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710259;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710260;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710264;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710268;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710269;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710270;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710287;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710292;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710299;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710301;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710302;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710309;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149710310;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719032;I;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719033;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719034;II;S S WHITE ARTIGOS DENTARIOS S/A;S.S.WHITE ARTIGOS DENTÁRIOS LTDA.;BRASIL
80149719035;II;S S WHITE ARTIGOS DENTARIOS S/A;S.S.WHITE ARTIGOS DENTÁRIOS LTDA.;BRASIL
80149719036;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719037;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719038;II;S S WHITE ARTIGOS DENTARIOS S/A;S.S.WHITE ARTIGOS DENTÁRIOS LTDA.;BRASIL
80149719039;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719040;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719041;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719042;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719043;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719044;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719045;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719046;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719047;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719049;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719050;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719051;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719053;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719055;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719056;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719057;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719059;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719060;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719061;II;S S WHITE ARTIGOS DENTARIOS S/A;S S WHITE ARTIGOS DENTARIOS S/A;BRASIL
80149719064;II;S S WHITE ARTIGOS DENTARIOS S/A;UNILENE S.A.C.;PERU
80149719065;II;S S WHITE ARTIGOS DENTARIOS S/A;UNILENE S.A.C.;PERU
80149719067;II;S S WHITE ARTIGOS DENTARIOS S/A;UNILENE S.A.C.;PERU
83206250001;I;S V SAUDE LTDA;S V SAUDE LTDA;BRASIL
83206250002;I;S V SAUDE LTDA;S V SAUDE LTDA;BRASIL
83206250004;I;S V SAUDE LTDA;S V SAUDE LTDA;BRASIL
81082060001;II;S.E. COMERCIAL DE PRODUTOS DESCARTAVEIS LTDA;HEFEI MLUSH SANITARY PRODUCTS CO.,LTD;CHINA, REPÚBLICA POPULAR
81082060002;I;S.E. COMERCIAL DE PRODUTOS DESCARTAVEIS LTDA;HEFEI MLUSH SANITARY PRODUCTS CO.,LTD;CHINA, REPÚBLICA POPULAR
81082060003;II;S.E. COMERCIAL DE PRODUTOS DESCARTAVEIS LTDA;MEDICO (HUAIAN) CO.,LTD.;CHINA, REPÚBLICA POPULAR
81082060004;II;S.E. COMERCIAL DE PRODUTOS DESCARTAVEIS LTDA;MEDICO (HUAIAN) CO.,LTD.;CHINA, REPÚBLICA POPULAR
81082060006;I;S.E. COMERCIAL DE PRODUTOS DESCARTAVEIS LTDA;HEFEI MLUSH SANITARY PRODUCTS CO.,LTD;CHINA, REPÚBLICA POPULAR
81082060007;I;S.E. COMERCIAL DE PRODUTOS DESCARTAVEIS LTDA;STARDENT EQUIPMENT CO.,LIMITED;CHINA, REPÚBLICA POPULAR
80108910009;III;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910012;III;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910017;III;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910018;III;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910019;III;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910021;I;S.I.N. IMPLANT SYSTEM LTDA;SIN SISTEMA DE IMPLANTE NACIONAL LTDA;BRASIL
80108910024;I;S.I.N. IMPLANT SYSTEM LTDA;SIN SISTEMA DE IMPLANTE NACIONAL LTDA;BRASIL
80108910025;III;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910027;III;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910028;III;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910030;III;S.I.N. IMPLANT SYSTEM LTDA;SIN - SISTEMA DE IMPLANTE NACIONAL S.A.;BRASIL
80108910032;I;S.I.N. IMPLANT SYSTEM LTDA;SIN SISTEMA DE IMPLANTE NACIONAL LTDA;BRASIL
80108910033;III;S.I.N. IMPLANT SYSTEM LTDA;SIN - SISTEMA DE IMPLANTE NACIONAL S.A.;BRASIL
80108910037;I;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910042;II;S.I.N. IMPLANT SYSTEM LTDA;SIN - SISTEMA DE IMPLANTE NACIONAL S.A.;BRASIL
80108910050;II;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910051;II;S.I.N. IMPLANT SYSTEM LTDA;SIN - SISTEMA DE IMPLANTE NACIONAL S.A.;BRASIL
80108910052;III;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910054;I;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910063;I;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910068;III;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910069;III;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910076;II;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910078;I;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910079;I;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910080;I;S.I.N. IMPLANT SYSTEM LTDA;SIN - SISTEMA DE IMPLANTE NACIONAL S.A.;BRASIL
80108910082;I;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910083;I;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
80108910084;I;S.I.N. IMPLANT SYSTEM LTDA;S.I.N. IMPLANT SYSTEM LTDA;BRASIL
