registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
81866180002;II;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866180003;I;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866180004;II;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866180005;II;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866180006;IV;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866189001;II;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866189003;II;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866189004;II;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866189005;II;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866189006;II;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866189009;II;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866189011;II;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866189012;II;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866189014;II;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
81866189015;II;T C I LABORATORIO BIOTECNOLOGICO LTDA;T C I LABORATORIO BIOTECNOLOGICO LTDA;BRASIL
80679519001;II;T.D. & V. COMERCIO DE PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA;MAIS INDIA MEDICAL DEVICES PVT. LTD.;ÍNDIA
80679519002;II;T.D. & V. COMERCIO DE PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA;MAIS INDIA MEDICAL DEVICES PVT. LTD.;ÍNDIA
80679519003;II;T.D. & V. COMERCIO DE PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA;MAIS INDIA MEDICAL DEVICES PVT. LTD.;ÍNDIA
80679519004;II;T.D. & V. COMERCIO DE PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA;LARS MEDICARE PVT. LTD.;ÍNDIA
80679519005;II;T.D. & V. COMERCIO DE PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA;LARS MEDICARE PVT. LTD.;ÍNDIA
80679519006;II;T.D. & V. COMERCIO DE PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA;YANCHENG HUIDA MEDICAL INSTRUMENTS CO.,LTD (YANCHENG);CHINA, REPÚBLICA POPULAR
80679519007;II;T.D. & V. COMERCIO DE PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA;SUZHOU KYUAN MEDICAL APPARATUS;CHINA, REPÚBLICA POPULAR
80679519008;II;T.D. & V. COMERCIO DE PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA;BERPU MEDICAL TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80679519009;II;T.D. & V. COMERCIO DE PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA;WORLD WORK SRL;ITÁLIA
80679519010;II;T.D. & V. COMERCIO DE PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA;HUAIYIN MEDICAL INSTRUMENTS CO. LTD.;CHINA, REPÚBLICA POPULAR
80679519011;II;T.D. & V. COMERCIO DE PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA;HUAIYIN MEDICAL INSTRUMENTS CO. LTD.;CHINA, REPÚBLICA POPULAR
80159590001;I;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;BRASIL
80159590002;I;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;BRASIL
80159590006;II;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;BRASIL
80159590007;I;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;BRASIL
80159590008;I;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;BRASIL
80159590010;I;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;BRASIL
80159599002;II;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;BRASIL
80159599003;II;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;BRASIL
80159599004;II;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;TAB INSTRUMENTOS CIRÚRGICOS LTDA-EPP.;BRASIL
82037610001;II;TAG COMERCIO INTERNACIONAL LTDA;HANGZHOU SEPLOU HEALTHCARE CO., LIMITED;CHINA, REPÚBLICA POPULAR
82037610002;II;TAG COMERCIO INTERNACIONAL LTDA;HANGZHOU SEPLOU HEALTHCARE CO., LIMITED;CHINA, REPÚBLICA POPULAR
82037619002;II;TAG COMERCIO INTERNACIONAL LTDA;HANGZHOU SEPLOU HEALTHCARE CO., LIMITED;CHINA, REPÚBLICA POPULAR
82037619003;II;TAG COMERCIO INTERNACIONAL LTDA;HANGZHOU SEPLOU HEALTHCARE CO., LIMITED;CHINA, REPÚBLICA POPULAR
82037619004;II;TAG COMERCIO INTERNACIONAL LTDA;HANGZHOU SEPLOU HEALTHCARE CO., LIMITED;CHINA, REPÚBLICA POPULAR
82037619005;II;TAG COMERCIO INTERNACIONAL LTDA;HANGZHOU SEPLOU HEALTHCARE CO., LIMITED;CHINA, REPÚBLICA POPULAR
82037619006;II;TAG COMERCIO INTERNACIONAL LTDA;HANGZHOU SEPLOU HEALTHCARE CO., LIMITED;CHINA, REPÚBLICA POPULAR
82037619007;II;TAG COMERCIO INTERNACIONAL LTDA;HANGZHOU SEPLOU HEALTHCARE CO., LIMITED;CHINA, REPÚBLICA POPULAR
82037619008;II;TAG COMERCIO INTERNACIONAL LTDA;HANGZHOU SEPLOU HEALTHCARE CO., LIMITED;CHINA, REPÚBLICA POPULAR
82037619009;II;TAG COMERCIO INTERNACIONAL LTDA;HANGZHOU SEPLOU HEALTHCARE CO., LIMITED;CHINA, REPÚBLICA POPULAR
82037619010;II;TAG COMERCIO INTERNACIONAL LTDA;HANGZHOU SEPLOU HEALTHCARE CO., LIMITED;CHINA, REPÚBLICA POPULAR
81854310001;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310002;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310003;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310004;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310005;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310006;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310007;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310008;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310009;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310010;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310011;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310012;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310014;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310015;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310016;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310017;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310018;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310019;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
81854310020;I;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;TAG-FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA LTDA;BRASIL
