registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
81965540006;I;UDILIFE com Importação e Exportação LTDA;SHENZHEN CITY TEVEIK TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
81965540007;I;UDILIFE com Importação e Exportação LTDA;SHENZHEN CITY TEVEIK TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
81965549001;II;UDILIFE com Importação e Exportação LTDA;AYGUN CERRAHI ALETLER A.S.;TURQUIA
81965549002;II;UDILIFE com Importação e Exportação LTDA;AKADEMI TIBBI ALETLER VE INS.SAN.TIC.LTD.STI;TURQUIA
81965549004;II;UDILIFE com Importação e Exportação LTDA;SHENZHEN CITY TEVEIK TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
80125540006;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540010;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540011;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540012;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540013;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540014;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540016;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540017;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540018;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540020;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540021;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540022;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540023;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540024;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540025;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
80125540026;I;Udine Produtos Ortopédicos industria e Comercio Ltda.;UDINE PRODUTOS ORTOPEDICOS INDUSTRIA E COMERCIO LTDA;BRASIL
81479560001;I;UGHC BRASIL IMPORTADORA LTDA - EPP;N.S. UNI-GLOVES SDN. BHD.;MALÁSIA
81479560002;I;UGHC BRASIL IMPORTADORA LTDA - EPP;N.S. UNI-GLOVES SDN. BHD.;MALÁSIA
81479560003;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560004;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560005;I;UGHC BRASIL IMPORTADORA LTDA - EPP;N.S. UNI-GLOVES SDN. BHD.;MALÁSIA
81479560006;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560007;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560008;I;UGHC BRASIL IMPORTADORA LTDA - EPP;N.S. UNI-GLOVES SDN. BHD.;MALÁSIA
81479560009;II;UGHC BRASIL IMPORTADORA LTDA - EPP;N.S. UNI-GLOVES SDN. BHD.;MALÁSIA
81479560010;I;UGHC BRASIL IMPORTADORA LTDA - EPP;N.S. UNI-GLOVES SDN. BHD.;MALÁSIA
81479560011;II;UGHC BRASIL IMPORTADORA LTDA - EPP;N.S. UNI-GLOVES SDN. BHD.;MALÁSIA
81479560012;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560013;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560014;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560015;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560016;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560017;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560018;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560019;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560020;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560021;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
81479560022;I;UGHC BRASIL IMPORTADORA LTDA - EPP;UG GLOBAL RESOURCES SDN.BHD.;MALÁSIA
