registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
80238460002;I;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80238460003;I;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80238460004;I;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80238460005;II;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80238460006;II;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80238460007;II;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80238460008;II;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80238460009;I;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;V & E INDÚSTRIA E COMÉRCIO DE PRODUTOS HOSPITALARES LTDA;BRASIL
80604819001;I;V OITO COMERCIO DE ELETRONICOS LTDA;HARTALEGA SDN BHD;MALÁSIA
81474710001;I;VAD MEDICAL COMERCIO LTDA;HANGZHOU SHANYOU MEDICAL EQUIPMENT CO. LTD.;CHINA, REPÚBLICA POPULAR
81474710002;II;VAD MEDICAL COMERCIO LTDA;NON-CHANGE ENTERPRISE CO. LTD;TAIWAN
81474710003;II;VAD MEDICAL COMERCIO LTDA;Henan Tuoren Medical Device Co. Ltd;CHINA, REPÚBLICA POPULAR
81474710004;II;VAD MEDICAL COMERCIO LTDA;Henan Tuoren Medical Device Co. Ltd;CHINA, REPÚBLICA POPULAR
81474710006;II;VAD MEDICAL COMERCIO LTDA;VBM MEDIZINTECHNIK GMBH;ALEMANHA
81474710007;II;VAD MEDICAL COMERCIO LTDA;VBM MEDIZINTECHNIK GMBH;ALEMANHA
81474710008;II;VAD MEDICAL COMERCIO LTDA;GCMMEDICA ENTERPRISE LTD;CHINA, REPÚBLICA POPULAR
81474710009;II;VAD MEDICAL COMERCIO LTDA;TIANJIN MEDAN MEDICAL ELECTRONIC TECH,. CO.,LTD;CHINA, REPÚBLICA POPULAR
81474710010;I;VAD MEDICAL COMERCIO LTDA;HANGZHOU FORMED MEDICAL DEVICES CO., LTD;CHINA, REPÚBLICA POPULAR
81474710011;I;VAD MEDICAL COMERCIO LTDA;HANGZHOU FORMED MEDICAL DEVICES CO., LTD;CHINA, REPÚBLICA POPULAR
