registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
81204830021;I;W AHMED COMÉRCIO, IMPORTAÇÃO E EXPORTAÇÃO DE ARTIGOS DE CUTELARIA - ME;MARYAM TRADING;PAQUISTÃO
80506679001;I;W BARBOSA LTDA;W BARBOSA LTDA;BRASIL
10428770002;I;W L COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;ZHEJIANG KANG LI DI MEDICAL ARTICLES CO., LTD;CHINA, REPÚBLICA POPULAR
10428770003;II;W L COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;SUZHOU HUANQIU ACUPUNCTURE MEDICAL APPLIANCE CO., LTD.;CHINA, REPÚBLICA POPULAR
10428770005;II;W L COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;SUZHOU HUANQIU ACUPUNCTURE MEDICAL APPLIANCE CO., LTD.;CHINA, REPÚBLICA POPULAR
10428770006;I;W L COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;Suzhou Huanqiu Acupuncture Medical Appliance Co., Ltd.;CHINA, REPÚBLICA POPULAR
10428770007;I;W L COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;SUZHOU MEDICAL APPLIANCE FACTORY;CHINA, REPÚBLICA POPULAR
10428770008;I;W L COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;Suzhou Huanqiu Acupuncture Medical Appliance Co., Ltd.;CHINA, REPÚBLICA POPULAR
10428770009;I;W L COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;SUZHOU HUANQIU ACUPUNCTURE MEDICAL APPLIANCE CO., LTD.;CHINA, REPÚBLICA POPULAR
10428779001;I;W L COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;Wujiang Cita Shenli Medical & Health Material Co.,Ltd.;CHINA, REPÚBLICA POPULAR
10428779002;I;W L COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;Wujiang Cita Shenli Medical & Health Material Co.,Ltd.;CHINA, REPÚBLICA POPULAR
10428779004;II;W L COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;SUZHOU HUANQIU ACUPUNCTURE MEDICAL APPLIANCE CO., LTD.;CHINA, REPÚBLICA POPULAR
10428779005;II;W L COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;SUZHOU HUANQIU ACUPUNCTURE MEDICAL APPLIANCE CO., LTD.;CHINA, REPÚBLICA POPULAR
10428779006;II;W L COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;SUZHOU HUANQIU ACUPUNCTURE MEDICAL APPLIANCE CO., LTD.;CHINA, REPÚBLICA POPULAR
80896650001;I;W L COMERCIO DE PRODUTOS FARMACEUTICOS LTDA EPP;PROTECTIVE MASK CO. LTD;CHINA, REPÚBLICA POPULAR
80896650002;I;W L COMERCIO DE PRODUTOS FARMACEUTICOS LTDA EPP;PROTECTIVE MASK CO. LTD;CHINA, REPÚBLICA POPULAR
80896659001;II;W L COMERCIO DE PRODUTOS FARMACEUTICOS LTDA EPP;JIANGXI HONGDA MEDICAL EQUIPAMENT GROUP LTD.;CHINA, REPÚBLICA POPULAR
