registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
81236270001;II;X - SAFE COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA - EPP;RANFAC CORP;ESTADOS UNIDOS DA AMÉRICA
81236270002;II;X - SAFE COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA - EPP;NEUROENTERPRISES LLC;ESTADOS UNIDOS DA AMÉRICA
81236270004;II;X - SAFE COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA - EPP;SURGEN TEC LLC;ESTADOS UNIDOS DA AMÉRICA
81236270006;IV;X - SAFE COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA - EPP;;
81236270006;IV;X - SAFE COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA - EPP;AUDIO TECHNOLOGIES S.R.L;ITÁLIA
81236270007;IV;X - SAFE COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA - EPP;;
81236270007;IV;X - SAFE COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA - EPP;AUDIO TECHNOLOGIES S.R.L;ITÁLIA
80680560001;I;X&X Dental Importação e Exportação Ltda - EPP;LATEXX MANUFACTURING SDN BHD;MALÁSIA
80680560002;I;X&X Dental Importação e Exportação Ltda - EPP;LATEXX PARTNERS BERHAD;MALÁSIA
80680560003;I;X&X Dental Importação e Exportação Ltda - EPP;TG MEDICAL SDN BHD;MALÁSIA
80680560004;II;X&X Dental Importação e Exportação Ltda - EPP;TG Medical Sdn Bhd.;MALÁSIA
82684010001;III;X-TREMITIES IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA SAUDE LTDA;;
82684010001;III;X-TREMITIES IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA SAUDE LTDA;NEWCLIP TECHNICS S.A.S.;FRANÇA
82684010002;III;X-TREMITIES IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA SAUDE LTDA;;
82684010002;III;X-TREMITIES IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA SAUDE LTDA;NEWCLIP TECHNICS S.A.S.;FRANÇA
82684010003;III;X-TREMITIES IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA SAUDE LTDA;;
82684010003;III;X-TREMITIES IMPORTADORA E DISTRIBUIDORA DE PRODUTOS PARA SAUDE LTDA;NEWCLIP TECHNICS S.A.S.;FRANÇA
80151490034;I;XENON MEDICAL BIO SISTEMAS LTDA;IT DR. GAMBERT GMBH;ALEMANHA
80151490037;II;XENON MEDICAL BIO SISTEMAS LTDA;TELIC S.A.;ESPANHA
80151490038;II;XENON MEDICAL BIO SISTEMAS LTDA;TELIC S.A.;ESPANHA
80151490040;II;XENON MEDICAL BIO SISTEMAS LTDA;JIANGMEN CITY XINHUI BAISHENG MEDICAL EQUIPMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
80151490045;II;XENON MEDICAL BIO SISTEMAS LTDA;OXIGENOTERAPIA NORTE S/A;ARGENTINA
80151490048;II;XENON MEDICAL BIO SISTEMAS LTDA;XENON MEDICAL BIO SISTEMAS LTDA;BRASIL
80151499004;II;XENON MEDICAL BIO SISTEMAS LTDA;TELIC S.A.;ESPANHA
10390380001;II;XU LI COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;DONG BANG MEDICAL CO., LTD;CORÉIA DO SUL
10390380002;I;XU LI COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;HAN SOL MEDICAL CO;CORÉIA DO SUL
10390380003;II;XU LI COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;Feel Tech Co.;CORÉIA DO SUL
10390380005;II;XU LI COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;Feel Tech Co.;CORÉIA DO SUL
10390380006;II;XU LI COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;MEDI FIRST CO. LTD;CORÉIA DO SUL
10390380007;II;XU LI COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;DONG BANG MEDICAL CO., LTD;CORÉIA DO SUL
10390389001;II;XU LI COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;DONG BANG MEDICAL CO., LTD;CORÉIA DO SUL
10390389002;I;XU LI COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;ATEX MEDICAL CO.LTDA.;CORÉIA DO SUL
10390389003;I;XU LI COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;ATEX MEDICAL CO.LTDA.;CORÉIA DO SUL
82572899001;II;XYZ COMÉRCIO LTDA;SHENZHEN YURUCHENG DENTAL MATERIALS CO., LTD;CHINA, REPÚBLICA POPULAR
82572899002;II;XYZ COMÉRCIO LTDA;SHENZHEN YURUCHENG DENTAL MATERIALS CO., LTD;CHINA, REPÚBLICA POPULAR
